min_alignment_ratio,min_momentum_ratio,min_filter_score,min_signal_score,min_zscore,min_price_filter,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Profit_Score,Expected_Gain_USD,FP_Cost_USD,FN_Cost_USD,Signals_Per_Run,Signal_Rate_Pct
0.5,0.67,3,2,2.0,10.0,1,0,430,9215,1.0,0.0023,0.0046,0.9554,-2124.76,25.24,0.0,2150.0,0.01,0.01
0.5,0.67,3,3,0.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,0.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,0.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.5,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.5,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,1.5,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.67,3,3,2.0,2.0,1,0,430,9215,1.0,0.0023,0.0046,0.9554,-2124.76,25.24,0.0,2150.0,0.01,0.01
0.5,0.67,3,3,2.0,5.0,1,0,430,9215,1.0,0.0023,0.0046,0.9554,-2124.76,25.24,0.0,2150.0,0.01,0.01
0.5,0.67,3,3,2.0,10.0,1,0,430,9215,1.0,0.0023,0.0046,0.9554,-2124.76,25.24,0.0,2150.0,0.01,0.01
0.6,0.4,0,1,0.0,2.0,343,1984,88,7231,0.1474,0.7958,0.2487,0.7852,-21542.68,8657.32,29760.0,440.0,19.23,24.12
0.6,0.4,0,1,0.0,5.0,336,1957,95,7258,0.1465,0.7796,0.2467,0.7873,-21349.36,8480.64,29355.0,475.0,18.95,23.77
0.6,0.4,0,1,0.0,10.0,323,1890,108,7325,0.146,0.7494,0.2443,0.7929,-20737.48,8152.52,28350.0,540.0,18.29,22.94
0.6,0.4,0,1,1.0,2.0,206,126,225,9089,0.6205,0.478,0.54,0.9636,2184.44,5199.44,1890.0,1125.0,2.74,3.44
0.6,0.4,0,1,1.0,5.0,200,118,231,9097,0.6289,0.464,0.534,0.9638,2123.0,5048.0,1770.0,1155.0,2.63,3.3
0.6,0.4,0,1,1.0,10.0,190,111,241,9104,0.6312,0.4408,0.5191,0.9635,1925.6,4795.6,1665.0,1205.0,2.49,3.12
0.6,0.4,0,1,1.5,2.0,206,126,225,9089,0.6205,0.478,0.54,0.9636,2184.44,5199.44,1890.0,1125.0,2.74,3.44
0.6,0.4,0,1,1.5,5.0,200,118,231,9097,0.6289,0.464,0.534,0.9638,2123.0,5048.0,1770.0,1155.0,2.63,3.3
0.6,0.4,0,1,1.5,10.0,190,111,241,9104,0.6312,0.4408,0.5191,0.9635,1925.6,4795.6,1665.0,1205.0,2.49,3.12
0.6,0.4,0,1,2.0,2.0,152,97,279,9118,0.6104,0.3527,0.4471,0.961,986.48,3836.48,1455.0,1395.0,2.06,2.58
0.6,0.4,0,1,2.0,5.0,147,90,284,9125,0.6203,0.3411,0.4401,0.9612,940.28,3710.28,1350.0,1420.0,1.96,2.46
0.6,0.4,0,1,2.0,10.0,142,86,289,9129,0.6228,0.3295,0.431,0.9611,849.08,3584.08,1290.0,1445.0,1.88,2.36
0.6,0.4,0,2,0.0,2.0,343,33,88,9182,0.9122,0.7958,0.8501,0.9875,7722.32,8657.32,495.0,440.0,3.11,3.9
0.6,0.4,0,2,0.0,5.0,336,30,95,9185,0.918,0.7796,0.8432,0.987,7555.64,8480.64,450.0,475.0,3.02,3.79
0.6,0.4,0,2,0.0,10.0,323,27,108,9188,0.9229,0.7494,0.8271,0.986,7207.52,8152.52,405.0,540.0,2.89,3.63
0.6,0.4,0,2,1.0,2.0,206,24,225,9191,0.8957,0.478,0.6233,0.9742,3714.44,5199.44,360.0,1125.0,1.9,2.38
0.6,0.4,0,2,1.0,5.0,200,21,231,9194,0.905,0.464,0.6135,0.9739,3578.0,5048.0,315.0,1155.0,1.83,2.29
0.6,0.4,0,2,1.0,10.0,190,18,241,9197,0.9135,0.4408,0.5947,0.9731,3320.6,4795.6,270.0,1205.0,1.72,2.16
0.6,0.4,0,2,1.5,2.0,206,24,225,9191,0.8957,0.478,0.6233,0.9742,3714.44,5199.44,360.0,1125.0,1.9,2.38
0.6,0.4,0,2,1.5,5.0,200,21,231,9194,0.905,0.464,0.6135,0.9739,3578.0,5048.0,315.0,1155.0,1.83,2.29
0.6,0.4,0,2,1.5,10.0,190,18,241,9197,0.9135,0.4408,0.5947,0.9731,3320.6,4795.6,270.0,1205.0,1.72,2.16
0.6,0.4,0,2,2.0,2.0,152,21,279,9194,0.8786,0.3527,0.5033,0.9689,2126.48,3836.48,315.0,1395.0,1.43,1.79
0.6,0.4,0,2,2.0,5.0,147,18,284,9197,0.8909,0.3411,0.4933,0.9687,2020.28,3710.28,270.0,1420.0,1.36,1.71
0.6,0.4,0,2,2.0,10.0,142,16,289,9199,0.8987,0.3295,0.4822,0.9684,1899.08,3584.08,240.0,1445.0,1.31,1.64
0.6,0.4,0,3,0.0,2.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.6,0.4,0,3,0.0,5.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.6,0.4,0,3,0.0,10.0,41,5,390,9210,0.8913,0.0951,0.1719,0.9591,-990.16,1034.84,75.0,1950.0,0.38,0.48
0.6,0.4,0,3,1.0,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.6,0.4,0,3,1.0,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.6,0.4,0,3,1.0,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.6,0.4,0,3,1.5,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.6,0.4,0,3,1.5,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.6,0.4,0,3,1.5,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.6,0.4,0,3,2.0,2.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.6,0.4,0,3,2.0,5.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.6,0.4,0,3,2.0,10.0,20,5,411,9210,0.8,0.0464,0.0877,0.9569,-1625.2,504.8,75.0,2055.0,0.21,0.26
0.6,0.4,1,1,0.0,2.0,343,1823,88,7392,0.1584,0.7958,0.2642,0.8019,-19127.68,8657.32,27345.0,440.0,17.9,22.45
0.6,0.4,1,1,0.0,5.0,336,1803,95,7412,0.1571,0.7796,0.2615,0.8032,-19039.36,8480.64,27045.0,475.0,17.68,22.17
0.6,0.4,1,1,0.0,10.0,323,1744,108,7471,0.1563,0.7494,0.2586,0.808,-18547.48,8152.52,26160.0,540.0,17.08,21.43
0.6,0.4,1,1,1.0,2.0,206,94,225,9121,0.6867,0.478,0.5636,0.9669,2664.44,5199.44,1410.0,1125.0,2.48,3.11
0.6,0.4,1,1,1.0,5.0,200,90,231,9125,0.6897,0.464,0.5548,0.9667,2543.0,5048.0,1350.0,1155.0,2.4,3.01
0.6,0.4,1,1,1.0,10.0,190,87,241,9128,0.6859,0.4408,0.5367,0.966,2285.6,4795.6,1305.0,1205.0,2.29,2.87
0.6,0.4,1,1,1.5,2.0,206,94,225,9121,0.6867,0.478,0.5636,0.9669,2664.44,5199.44,1410.0,1125.0,2.48,3.11
0.6,0.4,1,1,1.5,5.0,200,90,231,9125,0.6897,0.464,0.5548,0.9667,2543.0,5048.0,1350.0,1155.0,2.4,3.01
0.6,0.4,1,1,1.5,10.0,190,87,241,9128,0.6859,0.4408,0.5367,0.966,2285.6,4795.6,1305.0,1205.0,2.29,2.87
0.6,0.4,1,1,2.0,2.0,152,71,279,9144,0.6816,0.3527,0.4648,0.9637,1376.48,3836.48,1065.0,1395.0,1.84,2.31
0.6,0.4,1,1,2.0,5.0,147,68,284,9147,0.6837,0.3411,0.4551,0.9635,1270.28,3710.28,1020.0,1420.0,1.78,2.23
0.6,0.4,1,1,2.0,10.0,142,66,289,9149,0.6827,0.3295,0.4444,0.9632,1149.08,3584.08,990.0,1445.0,1.72,2.16
0.6,0.4,1,2,0.0,2.0,343,0,88,9215,1.0,0.7958,0.8863,0.9909,8217.32,8657.32,0.0,440.0,2.83,3.56
0.6,0.4,1,2,0.0,5.0,336,0,95,9215,1.0,0.7796,0.8761,0.9902,8005.64,8480.64,0.0,475.0,2.78,3.48
0.6,0.4,1,2,0.0,10.0,323,0,108,9215,1.0,0.7494,0.8568,0.9888,7612.52,8152.52,0.0,540.0,2.67,3.35
0.6,0.4,1,2,1.0,2.0,206,0,225,9215,1.0,0.478,0.6468,0.9767,4074.44,5199.44,0.0,1125.0,1.7,2.14
0.6,0.4,1,2,1.0,5.0,200,0,231,9215,1.0,0.464,0.6339,0.9761,3893.0,5048.0,0.0,1155.0,1.65,2.07
0.6,0.4,1,2,1.0,10.0,190,0,241,9215,1.0,0.4408,0.6119,0.975,3590.6,4795.6,0.0,1205.0,1.57,1.97
0.6,0.4,1,2,1.5,2.0,206,0,225,9215,1.0,0.478,0.6468,0.9767,4074.44,5199.44,0.0,1125.0,1.7,2.14
0.6,0.4,1,2,1.5,5.0,200,0,231,9215,1.0,0.464,0.6339,0.9761,3893.0,5048.0,0.0,1155.0,1.65,2.07
0.6,0.4,1,2,1.5,10.0,190,0,241,9215,1.0,0.4408,0.6119,0.975,3590.6,4795.6,0.0,1205.0,1.57,1.97
0.6,0.4,1,2,2.0,2.0,152,0,279,9215,1.0,0.3527,0.5214,0.9711,2441.48,3836.48,0.0,1395.0,1.26,1.58
0.6,0.4,1,2,2.0,5.0,147,0,284,9215,1.0,0.3411,0.5087,0.9706,2290.28,3710.28,0.0,1420.0,1.21,1.52
0.6,0.4,1,2,2.0,10.0,142,0,289,9215,1.0,0.3295,0.4956,0.97,2139.08,3584.08,0.0,1445.0,1.17,1.47
0.6,0.4,1,3,0.0,2.0,45,0,386,9215,1.0,0.1044,0.1891,0.96,-794.2,1135.8,0.0,1930.0,0.37,0.47
0.6,0.4,1,3,0.0,5.0,45,0,386,9215,1.0,0.1044,0.1891,0.96,-794.2,1135.8,0.0,1930.0,0.37,0.47
0.6,0.4,1,3,0.0,10.0,41,0,390,9215,1.0,0.0951,0.1737,0.9596,-915.16,1034.84,0.0,1950.0,0.34,0.43
0.6,0.4,1,3,1.0,2.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.6,0.4,1,3,1.0,5.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.6,0.4,1,3,1.0,10.0,30,0,401,9215,1.0,0.0696,0.1302,0.9584,-1247.8,757.2,0.0,2005.0,0.25,0.31
0.6,0.4,1,3,1.5,2.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.6,0.4,1,3,1.5,5.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.6,0.4,1,3,1.5,10.0,30,0,401,9215,1.0,0.0696,0.1302,0.9584,-1247.8,757.2,0.0,2005.0,0.25,0.31
0.6,0.4,1,3,2.0,2.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.6,0.4,1,3,2.0,5.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.6,0.4,1,3,2.0,10.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.6,0.4,2,1,0.0,2.0,107,548,324,8667,0.1634,0.2483,0.1971,0.9096,-7139.32,2700.68,8220.0,1620.0,5.41,6.79
0.6,0.4,2,1,0.0,5.0,104,542,327,8673,0.161,0.2413,0.1931,0.9099,-7140.04,2624.96,8130.0,1635.0,5.34,6.7
0.6,0.4,2,1,0.0,10.0,97,503,334,8712,0.1617,0.2251,0.1882,0.9132,-6766.72,2448.28,7545.0,1670.0,4.96,6.22
0.6,0.4,2,1,1.0,2.0,61,2,370,9213,0.9683,0.1415,0.247,0.9614,-340.36,1539.64,30.0,1850.0,0.52,0.65
0.6,0.4,2,1,1.0,5.0,58,2,373,9213,0.9667,0.1346,0.2363,0.9611,-431.08,1463.92,30.0,1865.0,0.5,0.62
0.6,0.4,2,1,1.0,10.0,53,2,378,9213,0.9636,0.123,0.2181,0.9606,-582.28,1337.72,30.0,1890.0,0.45,0.57
0.6,0.4,2,1,1.5,2.0,61,2,370,9213,0.9683,0.1415,0.247,0.9614,-340.36,1539.64,30.0,1850.0,0.52,0.65
0.6,0.4,2,1,1.5,5.0,58,2,373,9213,0.9667,0.1346,0.2363,0.9611,-431.08,1463.92,30.0,1865.0,0.5,0.62
0.6,0.4,2,1,1.5,10.0,53,2,378,9213,0.9636,0.123,0.2181,0.9606,-582.28,1337.72,30.0,1890.0,0.45,0.57
0.6,0.4,2,1,2.0,2.0,42,1,389,9214,0.9767,0.0974,0.1772,0.9596,-899.92,1060.08,15.0,1945.0,0.36,0.45
0.6,0.4,2,1,2.0,5.0,40,1,391,9214,0.9756,0.0928,0.1695,0.9594,-960.4,1009.6,15.0,1955.0,0.34,0.43
0.6,0.4,2,1,2.0,10.0,39,1,392,9214,0.975,0.0905,0.1656,0.9593,-990.64,984.36,15.0,1960.0,0.33,0.41
0.6,0.4,2,2,0.0,2.0,107,0,324,9215,1.0,0.2483,0.3978,0.9664,1080.68,2700.68,0.0,1620.0,0.88,1.11
0.6,0.4,2,2,0.0,5.0,104,0,327,9215,1.0,0.2413,0.3888,0.9661,989.96,2624.96,0.0,1635.0,0.86,1.08
0.6,0.4,2,2,0.0,10.0,97,0,334,9215,1.0,0.2251,0.3674,0.9654,778.28,2448.28,0.0,1670.0,0.8,1.01
0.6,0.4,2,2,1.0,2.0,61,0,370,9215,1.0,0.1415,0.248,0.9616,-310.36,1539.64,0.0,1850.0,0.5,0.63
0.6,0.4,2,2,1.0,5.0,58,0,373,9215,1.0,0.1346,0.2372,0.9613,-401.08,1463.92,0.0,1865.0,0.48,0.6
0.6,0.4,2,2,1.0,10.0,53,0,378,9215,1.0,0.123,0.219,0.9608,-552.28,1337.72,0.0,1890.0,0.44,0.55
0.6,0.4,2,2,1.5,2.0,61,0,370,9215,1.0,0.1415,0.248,0.9616,-310.36,1539.64,0.0,1850.0,0.5,0.63
0.6,0.4,2,2,1.5,5.0,58,0,373,9215,1.0,0.1346,0.2372,0.9613,-401.08,1463.92,0.0,1865.0,0.48,0.6
0.6,0.4,2,2,1.5,10.0,53,0,378,9215,1.0,0.123,0.219,0.9608,-552.28,1337.72,0.0,1890.0,0.44,0.55
0.6,0.4,2,2,2.0,2.0,42,0,389,9215,1.0,0.0974,0.1776,0.9597,-884.92,1060.08,0.0,1945.0,0.35,0.44
0.6,0.4,2,2,2.0,5.0,40,0,391,9215,1.0,0.0928,0.1699,0.9595,-945.4,1009.6,0.0,1955.0,0.33,0.41
0.6,0.4,2,2,2.0,10.0,39,0,392,9215,1.0,0.0905,0.166,0.9594,-975.64,984.36,0.0,1960.0,0.32,0.4
0.6,0.4,2,3,0.0,2.0,24,0,407,9215,1.0,0.0557,0.1055,0.9578,-1429.24,605.76,0.0,2035.0,0.2,0.25
0.6,0.4,2,3,0.0,5.0,24,0,407,9215,1.0,0.0557,0.1055,0.9578,-1429.24,605.76,0.0,2035.0,0.2,0.25
0.6,0.4,2,3,0.0,10.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.6,0.4,2,3,1.0,2.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.6,0.4,2,3,1.0,5.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.6,0.4,2,3,1.0,10.0,19,0,412,9215,1.0,0.0441,0.0844,0.9573,-1580.44,479.56,0.0,2060.0,0.16,0.2
0.6,0.4,2,3,1.5,2.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.6,0.4,2,3,1.5,5.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.6,0.4,2,3,1.5,10.0,19,0,412,9215,1.0,0.0441,0.0844,0.9573,-1580.44,479.56,0.0,2060.0,0.16,0.2
0.6,0.4,2,3,2.0,2.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.6,0.4,2,3,2.0,5.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.6,0.4,2,3,2.0,10.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.6,0.4,3,1,0.0,2.0,9,89,422,9126,0.0918,0.0209,0.034,0.947,-3217.84,227.16,1335.0,2110.0,0.81,1.02
0.6,0.4,3,1,0.0,5.0,9,89,422,9126,0.0918,0.0209,0.034,0.947,-3217.84,227.16,1335.0,2110.0,0.81,1.02
0.6,0.4,3,1,0.0,10.0,6,77,425,9138,0.0723,0.0139,0.0233,0.948,-3128.56,151.44,1155.0,2125.0,0.69,0.86
0.6,0.4,3,1,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,1,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,1,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,1,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,1,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,1,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,1,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,1,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,1,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,2,0.0,2.0,9,0,422,9215,1.0,0.0209,0.0409,0.9563,-1882.84,227.16,0.0,2110.0,0.07,0.09
0.6,0.4,3,2,0.0,5.0,9,0,422,9215,1.0,0.0209,0.0409,0.9563,-1882.84,227.16,0.0,2110.0,0.07,0.09
0.6,0.4,3,2,0.0,10.0,6,0,425,9215,1.0,0.0139,0.0275,0.9559,-1973.56,151.44,0.0,2125.0,0.05,0.06
0.6,0.4,3,2,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,2,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,2,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,2,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,2,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,2,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,2,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,2,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,2,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,3,0.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,0.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,0.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,3,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,3,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.6,0.4,3,3,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.6,0.4,3,3,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,3,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.4,3,3,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.6,0.5,0,1,0.0,2.0,343,1984,88,7231,0.1474,0.7958,0.2487,0.7852,-21542.68,8657.32,29760.0,440.0,19.23,24.12
0.6,0.5,0,1,0.0,5.0,336,1957,95,7258,0.1465,0.7796,0.2467,0.7873,-21349.36,8480.64,29355.0,475.0,18.95,23.77
0.6,0.5,0,1,0.0,10.0,323,1890,108,7325,0.146,0.7494,0.2443,0.7929,-20737.48,8152.52,28350.0,540.0,18.29,22.94
0.6,0.5,0,1,1.0,2.0,206,126,225,9089,0.6205,0.478,0.54,0.9636,2184.44,5199.44,1890.0,1125.0,2.74,3.44
0.6,0.5,0,1,1.0,5.0,200,118,231,9097,0.6289,0.464,0.534,0.9638,2123.0,5048.0,1770.0,1155.0,2.63,3.3
0.6,0.5,0,1,1.0,10.0,190,111,241,9104,0.6312,0.4408,0.5191,0.9635,1925.6,4795.6,1665.0,1205.0,2.49,3.12
0.6,0.5,0,1,1.5,2.0,206,126,225,9089,0.6205,0.478,0.54,0.9636,2184.44,5199.44,1890.0,1125.0,2.74,3.44
0.6,0.5,0,1,1.5,5.0,200,118,231,9097,0.6289,0.464,0.534,0.9638,2123.0,5048.0,1770.0,1155.0,2.63,3.3
0.6,0.5,0,1,1.5,10.0,190,111,241,9104,0.6312,0.4408,0.5191,0.9635,1925.6,4795.6,1665.0,1205.0,2.49,3.12
0.6,0.5,0,1,2.0,2.0,152,97,279,9118,0.6104,0.3527,0.4471,0.961,986.48,3836.48,1455.0,1395.0,2.06,2.58
0.6,0.5,0,1,2.0,5.0,147,90,284,9125,0.6203,0.3411,0.4401,0.9612,940.28,3710.28,1350.0,1420.0,1.96,2.46
0.6,0.5,0,1,2.0,10.0,142,86,289,9129,0.6228,0.3295,0.431,0.9611,849.08,3584.08,1290.0,1445.0,1.88,2.36
0.6,0.5,0,2,0.0,2.0,343,33,88,9182,0.9122,0.7958,0.8501,0.9875,7722.32,8657.32,495.0,440.0,3.11,3.9
0.6,0.5,0,2,0.0,5.0,336,30,95,9185,0.918,0.7796,0.8432,0.987,7555.64,8480.64,450.0,475.0,3.02,3.79
0.6,0.5,0,2,0.0,10.0,323,27,108,9188,0.9229,0.7494,0.8271,0.986,7207.52,8152.52,405.0,540.0,2.89,3.63
0.6,0.5,0,2,1.0,2.0,206,24,225,9191,0.8957,0.478,0.6233,0.9742,3714.44,5199.44,360.0,1125.0,1.9,2.38
0.6,0.5,0,2,1.0,5.0,200,21,231,9194,0.905,0.464,0.6135,0.9739,3578.0,5048.0,315.0,1155.0,1.83,2.29
0.6,0.5,0,2,1.0,10.0,190,18,241,9197,0.9135,0.4408,0.5947,0.9731,3320.6,4795.6,270.0,1205.0,1.72,2.16
0.6,0.5,0,2,1.5,2.0,206,24,225,9191,0.8957,0.478,0.6233,0.9742,3714.44,5199.44,360.0,1125.0,1.9,2.38
0.6,0.5,0,2,1.5,5.0,200,21,231,9194,0.905,0.464,0.6135,0.9739,3578.0,5048.0,315.0,1155.0,1.83,2.29
0.6,0.5,0,2,1.5,10.0,190,18,241,9197,0.9135,0.4408,0.5947,0.9731,3320.6,4795.6,270.0,1205.0,1.72,2.16
0.6,0.5,0,2,2.0,2.0,152,21,279,9194,0.8786,0.3527,0.5033,0.9689,2126.48,3836.48,315.0,1395.0,1.43,1.79
0.6,0.5,0,2,2.0,5.0,147,18,284,9197,0.8909,0.3411,0.4933,0.9687,2020.28,3710.28,270.0,1420.0,1.36,1.71
0.6,0.5,0,2,2.0,10.0,142,16,289,9199,0.8987,0.3295,0.4822,0.9684,1899.08,3584.08,240.0,1445.0,1.31,1.64
0.6,0.5,0,3,0.0,2.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.6,0.5,0,3,0.0,5.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.6,0.5,0,3,0.0,10.0,41,5,390,9210,0.8913,0.0951,0.1719,0.9591,-990.16,1034.84,75.0,1950.0,0.38,0.48
