Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UXIN,Uxin Limited ADS,3.43,-0.07,-2.0,707160483.0,China,2018.0,34283,Real Estate,Real Estate
UDMY,Udemy Inc. Common Stock,4.78,-0.07,-1.443,699680937.0,United States,2021.0,1326664,Real Estate,Other Consumer Services
GRABW,Grab Holdings Limited Warrant,0.17,0.0154,9.961,692603472.0,Singapore,,20579,Real Estate,Real Estate
QNST,QuinStreet Inc. Common Stock,11.52,0.02,0.174,656570177.0,United States,2010.0,774097,Real Estate,Real Estate
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,12.55,0.54,4.496,607434495.0,United States,2003.0,961238,Real Estate,Real Estate
CASS,Cass Information Systems Inc Common Stock,44.71,0.14,0.314,584998114.0,United States,,184648,Real Estate,Real Estate
NHPAP,National Healthcare Properties Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,19.56,0.05,0.256,556026135.0,United States,,1451,Real Estate,Real Estate Investment Trusts
NHPBP,National Healthcare Properties Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,19.062,0.062,0.326,541869641.0,United States,,1145,Real Estate,Real Estate Investment Trusts
IMXI,International Money Express Inc. Common Stock,15.69,0.18,1.161,466286889.0,United States,2017.0,470008,Real Estate,Real Estate
PRTH,Priority Technology Holdings Inc. Common Stock,5.51,0.0,0.0,451112340.0,United States,2016.0,341124,Real Estate,Real Estate
GRVY,GRAVITY Co. Ltd. American Depository Shares,64.62,-0.63,-0.966,449037918.0,South Korea,2005.0,14432,Real Estate,Real Estate
LAND,Gladstone Land Corporation Common Stock,10.91,-0.08,-0.728,406581148.0,United States,2013.0,553569,Real Estate,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,5.84,0.07,1.213,389254273.0,United States,2018.0,253703,Real Estate,Real Estate Investment Trusts
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,18.82,-0.09,-0.476,385631229.0,United States,,332,Real Estate,Real Estate Investment Trusts
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,18.36,0.0,0.0,376205598.0,United States,,451,Real Estate,Real Estate Investment Trusts
SVC,Service Properties Trust Common Stock,2.14,0.01,0.469,359704474.0,United States,,892282,Real Estate,Real Estate Investment Trusts
SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,16.3701,0.01,0.061,335431550.0,United States,,842,Real Estate,Real Estate Investment Trusts
RMNI,Rimini Street Inc. (DE) Common Stock,3.59,0.62,20.875,329389680.0,United States,2015.0,1688143,Real Estate,Real Estate
RPAY,Repay Holdings Corporation Class A Common Stock,3.27,0.13,4.14,281423502.0,United States,2018.0,1271046,Real Estate,Real Estate
REFI,Chicago Atlantic Real Estate Finance Inc. Common Stock,11.95,0.22,1.876,251909250.0,United States,2021.0,147315,Real Estate,Real Estate Investment Trusts
CNDT,Conduent Incorporated Common Stock ,1.59,0.16,11.189,243094291.0,United States,,2515460,Real Estate,Real Estate
STRS,Stratus Properties Inc. Common Stock,29.32,0.57,1.983,234405953.0,United States,,4523,Real Estate,Homebuilding
HERE,Here Group Limited American Depositary Shares,4.2,0.1,2.439,228415383.0,China,2023.0,79938,Real Estate,Other Consumer Services
ADV,Advantage Solutions Inc. Class A Common Stock,0.6199,0.0026,0.421,202255960.0,United States,2019.0,291627,Real Estate,Real Estate
SEVN,Seven Hills Realty Trust Common Stock,8.59,-0.13,-1.491,194107294.0,United States,,160553,Real Estate,Real Estate Investment Trusts
CURR,Currenc Group Inc. Ordinary Shares,2.03,0.02,0.995,155521231.0,Singapore,,96064,Real Estate,Real Estate
OPRX,OptimizeRx Corporation Common Stock,8.2,-0.43,-4.983,152853346.0,United States,,337752,Real Estate,Real Estate
KRKR,36Kr Holdings Inc. American Depositary Shares,3.76,-0.11,-2.842,148202066.0,China,2019.0,20721,Real Estate,Real Estate
SUNS,Sunrise Realty Trust Inc. Common Stock,9.37,0.03,0.321,125754639.0,United States,,62558,Real Estate,Real Estate Investment Trusts
RGP,Resources Connection Inc. Common Stock,3.72,-0.1,-2.618,124628013.0,United States,,407232,Real Estate,Real Estate
MAYS,J. W. Mays Inc. Common Stock,55.0,3.0101,5.79,110867900.0,United States,,2390,Real Estate,Building operators
STHO,Star Holdings Shares of Beneficial Interest,8.66,0.28,3.341,104688748.0,United States,,52796,Real Estate,Real Estate
YOUL,Youlife Group Inc. American Depositary Shares,1.15,0.01,0.877,87455890.0,China,,17795,Real Estate,Other Consumer Services
WHLRL,Wheeler Real Estate Investment Trust Inc. 7.00% Senior Subordinated Convertible Notes Due 2031,97.0,0.0,0.0,76701683.0,United States,,60,Real Estate,Real Estate Investment Trusts
INTG,Intergroup Corporation (The) Common Stock,27.75,-0.61,-2.151,59629533.0,United States,,23333,Real Estate,Building operators
MNY,MoneyHero Limited Class A Ordinary Shares,1.38,0.0,0.0,59621563.0,Singapore,,19361,Real Estate,Real Estate
SELF,Global Self Storage Inc. Common Stock,4.97,0.0,0.0,56348468.0,United States,,25834,Real Estate,Real Estate Investment Trusts
LOAN,Manhattan Bridge Capital Inc,4.42,0.0,0.0,50558837.0,United States,,23120,Real Estate,Real Estate Investment Trusts
HGBL,Heritage Global Inc. Common Stock,1.31,-0.05,-3.676,45511434.0,United States,,13526,Real Estate,Real Estate
NAMI,Jinxin Technology Holding Company American Depositary Shares,0.5,0.0082,1.667,39535706.0,China,2024.0,7837,Real Estate,Other Consumer Services
AACG,ATA Creativity Global American Depositary Shares,0.91,0.03,3.409,39110830.0,China,2008.0,19831,Real Estate,Other Consumer Services
SCOR,comScore Inc. Common Stock,7.635,-0.075,-0.973,38294595.0,United States,2018.0,11844,Real Estate,Real Estate
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,39.5,0.5,1.282,31234191.0,United States,,126,Real Estate,Real Estate Investment Trusts
YQ,17 Education & Technology Group Inc. American Depositary Shares,3.3801,-0.1649,-4.652,29919665.0,China,2020.0,2572,Real Estate,Other Consumer Services
TDTH,Trident Digital Tech Holdings Ltd American Depository Shares,0.2377,-0.0031,-1.287,27358230.0,Singapore,2024.0,67753,Real Estate,Real Estate
CREG,Smart Powerr Corp. Common Stock,1.29,0.02,1.575,26843769.0,China,,33752,Real Estate,Real Estate
TC,Token Cat Limited American Depositary Shares,12.05,-0.0899,-0.741,23952737.0,China,2018.0,15361,Real Estate,Real Estate
EPOW,E-Power Inc. Class A Ordinary Shares,0.7615,-0.0435,-5.404,20550562.0,China,2021.0,68023,Real Estate,Real Estate
GYRO,Gyrodyne LLC Common Stock,8.87,0.0,0.0,19507862.0,United States,,3,Real Estate,Building operators
SGRP,SPAR Group Inc. Common Stock,0.7815,0.0015,0.192,18716918.0,United States,,38928,Real Estate,Real Estate
SWVL,Swvl Holdings Corp Class A Common Shares,1.536,-0.044,-2.785,15204121.0,United Arab Emirates,,25082,Real Estate,Real Estate
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,0.8615,-0.0235,-2.655,13723222.0,China,2020.0,2108,Real Estate,Other Consumer Services
MDRR,Medalist Diversified REIT Inc. Common Stock,11.755,-0.455,-3.726,13076321.0,United States,2018.0,181,Real Estate,Real Estate Investment Trusts
GSUN,Golden Sun Technology Group Limited Class A Ordinary Shares,1.2,-0.06,-4.762,12034644.0,China,2022.0,9362,Real Estate,Other Consumer Services
OLB,The OLB Group Inc. Common Stock,0.8295,-0.014,-1.66,11143847.0,United States,,3840017,Real Estate,Real Estate
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,6.1265,-0.3635,-5.601,8816640.0,United States,,23385,Real Estate,Real Estate Investment Trusts
FTFT,Future FinTech Group Inc. Common Stock,1.63,0.02,1.242,8228775.0,China,,5848,Real Estate,Real Estate
MIMI,Mint Incorporation Limited Class A Ordinary Shares,0.3085,-0.0025,-0.804,7716356.0,Hong Kong,2025.0,550586,Real Estate,Real Estate
BTCT,BTC Digital Ltd. Ordinary Shares,1.19,0.01,0.847,7656508.0,China,,21604,Real Estate,Other Consumer Services
MKZR,MacKenzie Realty Capital Inc. Common Stock,3.88,-0.05,-1.272,7629632.0,United States,,17948,Real Estate,Real Estate Investment Trusts
WAFU,Wah Fu Education Group Limited Ordinary Shares,1.7085,0.0385,2.305,7535440.0,China,2019.0,2424,Real Estate,Other Consumer Services
TGL,Treasure Global Inc. Common Stock,4.32,-0.42,-8.861,7239132.0,United States,2022.0,24855,Real Estate,Real Estate
CJMB,Callan JMB Inc. Common Stock,1.48,0.0,0.0,6842080.0,United States,2025.0,41399,Real Estate,Real Estate
BOXL,Boxlight Corporation Class A Common Stock,1.46,0.03,2.098,6083334.0,United States,2017.0,1028803,Real Estate,Other Consumer Services
ZCMD,Zhongchao Inc. Class A Ordinary Shares,0.2308,0.0282,13.919,5859759.0,China,2020.0,713054,Real Estate,Other Consumer Services
GV,Visionary Holdings Inc. Common Shares,1.02,-0.08,-7.273,5719495.0,Canada,2022.0,90972,Real Estate,Other Consumer Services
SOPA,Society Pass Incorporated Common Stock,0.6973,-0.0399,-5.412,5303333.0,United States,2021.0,1105397,Real Estate,Real Estate
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,6.6,-0.044,-0.662,5218877.0,United States,,1379,Real Estate,Real Estate Investment Trusts
XHLD,TEN Holdings Inc. Common Stock,1.72,-0.15,-8.021,5113269.0,United States,2025.0,50924,Real Estate,Real Estate
QH,Quhuo Limited American Depository Shares,0.9118,-0.0556,-5.747,4739902.0,China,2020.0,36798,Real Estate,Real Estate
EEIQ,EpicQuest Education Group International Limited Common Stock,3.12,0.01,0.322,4615974.0,United States,2021.0,23315,Real Estate,Other Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,0.2362,-0.0038,-1.583,4527167.0,China,2020.0,1303031,Real Estate,Other Consumer Services
SQFT,Presidio Property Trust Inc. Class A Common Stock,2.96,0.2,7.246,4259733.0,United States,2020.0,7474,Real Estate,Real Estate Investment Trusts
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,2.68,0.0,0.0,4112425.0,China,2021.0,11292,Real Estate,Real Estate
WAI,Top KingWin Ltd Class A Ordinary Shares,2.43,-0.11,-4.331,4024379.0,China,2023.0,8507,Real Estate,Real Estate
GIPR,Generation Income Properties Inc. Common Stock,0.575,0.0044,0.771,3132469.0,United States,,44910,Real Estate,Real Estate Investment Trusts
KIDZ,Classover Holdings Inc. Class B Common Stock,0.1003,-0.0194,-16.207,2811262.0,United States,,5138776,Real Estate,Other Consumer Services
JZ,Jianzhi Education Technology Group Company Limited American Depositary Shs,0.9379,-0.1621,-14.736,2643471.0,China,2022.0,191199,Real Estate,Other Consumer Services
CMCT,Creative Media & Community Trust Corporation Common stock,2.62,-0.05,-1.873,2481219.0,United States,,26784,Real Estate,Real Estate Investment Trusts
MNYWW,MoneyHero Limited Warrants,0.0551,-0.0049,-8.167,2380542.0,Singapore,,35199,Real Estate,Real Estate
VSA,VisionSys AI Inc. American Depositary Shares,1.73,0.12,7.453,1923032.0,China,2014.0,39295,Real Estate,Other Consumer Services
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,1.6,-0.1,-5.882,1265182.0,United States,2012.0,72854,Real Estate,Real Estate Investment Trusts
UK,Ucommune International Ltd Ordinary Shares,0.4998,0.0048,0.97,1059513.0,United States,2019.0,21751,Real Estate,Real Estate
JDZG,JIADE LIMITED Class A Ordinary Shares,0.1826,-0.035,-16.085,615213.0,China,2024.0,8016292,Real Estate,Other Consumer Services
KIDZW,Classover Holdings Inc. Warrants,0.0124,-0.0006,-4.615,347554.0,United States,,11355,Real Estate,Other Consumer Services
GIPRW,Generation Income Properties Inc Warrant,0.0596,0.0,0.0,324687.0,United States,,200,Real Estate,Real Estate Investment Trusts
SWVLW,Swvl Holdings Corp Warrant,0.0063,-0.0012,-16.0,62361.0,United Arab Emirates,,4872,Real Estate,Real Estate
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,0.0194,-0.0001,-0.513,27919.0,United States,,7717,Real Estate,Real Estate Investment Trusts
