Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MANH,Manhattan Associates Inc. Common Stock,144.27,0.73,0.509,8634205750.0,United States,1998.0,886404,Technology,Computer Software: Prepackaged Software
SANM,Sanmina Corporation Common Stock,149.365,1.265,0.854,8156059096.0,United States,1993.0,436348,Technology,Electrical Products
SMTC,Semtech Corporation Common Stock,86.77,1.81,2.13,8029700746.0,United States,,1043372,Technology,Semiconductors
SAIL,SailPoint Inc. Common Stock,14.19,-1.48,-9.445,7969469534.0,United States,2025.0,7727024,Technology,Computer Software: Prepackaged Software
PEGA,Pegasystems Inc. Common Stock,45.36,0.6,1.34,7667822958.0,United States,1996.0,2605322,Technology,EDP Services
QRVO,Qorvo Inc. Common Stock,82.24,0.93,1.144,7624115041.0,United States,,1084619,Technology,Semiconductors
MBLY,Mobileye Global Inc. Class A Common Stock,9.05,-0.14,-1.523,7614502702.0,Israel,2022.0,2994536,Technology,Computer Software: Prepackaged Software
BZ,KANZHUN LIMITED American Depository Shares,17.48,0.27,1.569,7599180088.0,China,2021.0,2091907,Technology,Computer Software: Programming Data Processing
VICR,Vicor Corporation Common Stock,170.01,17.17,11.234,7591393966.0,United States,,1730888,Technology,Industrial Machinery/Components
DOX,Amdocs Limited Ordinary Shares,70.17,0.35,0.501,7574819152.0,Guernsey,,1984104,Technology,EDP Services
MTCH,Match Group Inc. Common Stock,31.83,1.14,3.715,7514114116.0,United States,,3031163,Technology,Computer Software: Programming Data Processing
NICE,NICE Ltd American Depositary Shares,117.69,6.14,5.504,7443874023.0,Israel,,1033728,Technology,Computer Software: Prepackaged Software
FORM,FormFactor Inc. FormFactor Inc. Common Stock,94.56,2.28,2.471,7330016692.0,United States,2003.0,1001071,Technology,Semiconductors
CRUS,Cirrus Logic Inc. Common Stock,142.14,1.85,1.319,7253459492.0,United States,1989.0,480570,Technology,Semiconductors
ALGM,Allegro MicroSystems Inc. Common Stock,38.93,2.67,7.363,7213373569.0,United States,2020.0,5599376,Technology,Semiconductors
CAMT,Camtek Ltd. Ordinary Shares,148.1,-5.09,-3.323,6752541599.0,Israel,2000.0,875900,Technology,Electronic Components
SLAB,Silicon Laboratories Inc. Common Stock,204.64,-0.15,-0.073,6744101311.0,United States,2000.0,738581,Technology,Semiconductors
DBX,Dropbox Inc. Class A Common Stock,25.48,0.75,3.033,6592677899.0,United States,2018.0,7343710,Technology,Computer Software: Prepackaged Software
VIAV,Viavi Solutions Inc. Common Stock,27.53,1.2,4.558,6370148668.0,United States,,5285759,Technology,Semiconductors
