Symbol,Score,Signal,Price,Change%,Stop,TP,UpsideToTP%,DownsideToStop%,R/R,Regime,Sentiment,Momentum,Entry OK,HQ Signal
IREN,91,BUY,61.18,7.62,59.5,68.23,11.52,-2.75,3.33,Trend,Bullish,bullish,Yes,Yes
MRNA,87,BUY,55.01,0.0,53.46,60.18,9.4,-2.82,3.33,Trend,Bullish,bullish,Yes,Yes
PTCT,87,BUY,76.38,0.0,74.61,82.29,7.74,-2.32,3.33,Trend,Bullish,bullish,Yes,Yes
BIDU,87,BUY,140.94,0.76,140.2,147.75,4.83,-0.53,3.33,Trend,Bullish,bullish,Yes,Yes
RKLB,86,BUY,101.89,29.66,99.13,109.07,7.05,-2.71,3.33,Trend,Bullish,bullish,Yes,Yes
AKAM,84,BUY,149.176,0.0,145.17,162.54,8.96,-2.69,3.33,Trend,Bullish,bullish,Yes,Yes
MCFT,84,BUY,27.73,8.15,27.56,29.35,5.84,-0.61,3.33,Trend,Bullish,bullish,No,Yes
NVAX,82,BUY,10.425,0.0,10.16,11.31,8.49,-2.54,3.33,Trend,Bullish,bullish,Yes,Yes
NAMS,80,BUY,39.05,0.0,38.18,41.93,7.38,-2.23,3.33,Trend,Bullish,bullish,Yes,Yes
TWIN,80,BUY,19.33,5.0,18.63,21.05,8.9,-3.62,3.33,Trend,Bullish,bullish,No,Yes
