Rank,Symbol,Score,Signal,Price,Change%,Stop,TP,UpsideToTP%,DownsideToStop%,R/R,Regime,Sentiment,Momentum,Entry OK,HQ Signal
51,JAZZ,67,CAUTION,226.56,0.0,225.1,231.43,2.15,-0.64,3.33,Trend,Bullish,bullish,No,No
52,ACT,67,CAUTION,44.03,0.0,43.61,45.13,2.5,-0.95,2.6,Trend,Bullish,bullish,No,No
53,LUNR,67,CAUTION,29.02,20.36,27.79,31.93,10.03,-4.24,2.6,Trend,Bullish,bullish,No,No
54,SITM,67,CAUTION,832.43,4.4,820.22,887.47,6.61,-1.47,3.33,Trend,Bullish,bullish,No,No
55,BRKRP,67,HOLD,340.6,0.0,336.1,355.6,4.4,-1.32,3.33,Range,Bullish,bullish,No,No
56,STRL,67,CAUTION,831.35,2.46,816.29,871.38,4.82,-1.81,3.33,Trend,Bullish,bullish,No,No
57,DGII,67,CAUTION,65.335,0.0,64.59,67.82,3.8,-1.14,3.33,Trend,Bullish,bullish,No,No
58,BILL,66,HOLD,40.76,0.0,39.84,43.81,7.48,-2.26,3.33,Volatile,Bullish,bullish,No,No
59,ARTV,66,BUY,11.58,0.0,10.76,13.71,18.39,-7.08,2.6,Trend,Neutral,neutral,Yes,Yes
60,CVS,66,CAUTION,89.38,0.0,88.79,91.34,2.19,-0.66,3.33,Trend,Bullish,bullish,No,No
61,MIRM,66,BUY,107.59,0.0,106.06,112.68,4.73,-1.42,3.33,Trend,Neutral,neutral,Yes,Yes
62,MTSI,66,CAUTION,356.03,3.36,351.62,376.07,5.63,-1.24,3.33,Trend,Bullish,bullish,No,No
63,VTRS,66,CAUTION,16.865,0.0,16.66,17.56,4.12,-1.22,3.33,Trend,Bullish,bullish,No,No
64,HWC,66,BUY,68.96,0.0,68.62,70.11,1.67,-0.49,3.33,Trend,Neutral,neutral,Yes,Yes
65,TRS,66,CAUTION,43.1,2.91,42.83,44.64,3.57,-0.63,3.33,Trend,Bullish,bullish,No,No
66,FSTR,66,CAUTION,41.65,3.2,41.13,43.55,4.56,-1.25,3.33,Trend,Bullish,bullish,No,No
67,PNRG,66,BUY,235.76,0.0,232.02,248.23,5.29,-1.59,3.33,Trend,Neutral,neutral,No,Yes
68,LINC,66,BUY,44.54,0.0,43.93,46.57,4.56,-1.37,3.33,Trend,Neutral,neutral,Yes,Yes
69,TC,66,HOLD,10.37,0.0,9.86,12.08,16.49,-4.92,3.33,Volatile,Bullish,bullish,No,No
70,EVRG,66,BUY,82.295,0.0,81.9,83.61,1.6,-0.48,3.33,Trend,Neutral,neutral,Yes,Yes
71,CTLP,66,CAUTION,11.2,0.0,11.19,11.24,0.36,-0.09,3.33,Trend,Neutral,neutral,No,No
72,AMD,64,CAUTION,444.31,8.78,439.96,465.93,4.87,-0.98,3.33,Trend,Bullish,bullish,No,No
73,MU,64,CAUTION,729.2,12.8,715.71,769.56,5.53,-1.85,3.33,Trend,Bullish,bullish,No,No
74,DOCN,64,CAUTION,163.5,0.0,160.6,173.18,5.92,-1.77,3.33,Trend,Bullish,bullish,No,No
75,INCY,64,BUY,99.635,0.0,98.99,101.79,2.16,-0.65,3.33,Trend,Neutral,neutral,Yes,Yes
76,SPCE,64,HOLD,2.955,0.0,2.88,3.2,8.29,-2.54,3.33,Volatile,Bullish,bullish,No,No
77,SMCI,64,BUY,34.99,4.07,34.2,37.4,6.89,-2.26,3.33,Range,Bullish,bullish,Yes,Yes
78,KRYS,64,CAUTION,303.07,0.0,299.66,314.45,3.75,-1.13,3.33,Trend,Bullish,bullish,No,No
79,TGTX,64,CAUTION,43.285,0.0,42.66,45.35,4.77,-1.44,3.33,Trend,Bullish,bullish,No,No
80,COLB,64,BUY,29.945,0.0,29.81,30.39,1.49,-0.45,3.33,Trend,Neutral,neutral,Yes,Yes
81,FTAI,64,BUY,270.02,-0.92,267.69,282.6,4.66,-0.86,3.33,Trend,Neutral,neutral,Yes,Yes
82,NXT,64,BUY,126.29,4.49,124.17,131.98,4.51,-1.68,3.33,Trend,Neutral,neutral,Yes,Yes
83,SNES,64,HOLD,1.78,-9.64,1.71,2.0,12.36,-3.93,3.33,Volatile,Bullish,bullish,No,No
84,TXRH,64,BUY,180.785,0.0,178.78,187.46,3.69,-1.11,3.33,Range,Bullish,bullish,Yes,Yes
85,MCW,64,BUY,7.03,0.0,7.01,7.09,0.85,-0.28,2.6,Trend,Neutral,neutral,Yes,Yes
86,APC,64,HOLD,19.33,0.0,19.23,19.65,1.66,-0.52,3.33,Range,Neutral,neutral,No,No
87,VLGEA,64,BUY,44.56,0.0,44.24,45.61,2.36,-0.72,3.33,Trend,Neutral,neutral,No,Yes
88,DHCNI,64,BUY,18.45,0.0,18.28,19.03,3.14,-0.92,3.33,Trend,Neutral,neutral,No,Yes
89,RELY,64,CAUTION,23.87,0.0,23.51,25.07,5.03,-1.51,3.33,Trend,Neutral,neutral,No,No
90,CAMT,62,BUY,202.34,4.8,200.5,209.35,3.46,-0.91,3.33,Trend,Neutral,neutral,Yes,Yes
91,ACMR,62,BUY,59.65,0.0,58.59,63.18,5.92,-1.78,3.33,Trend,Neutral,neutral,Yes,Yes
92,BIIB,62,BUY,194.62,0.0,193.5,198.36,1.92,-0.58,3.33,Trend,Neutral,neutral,Yes,Yes
93,BEAM,62,BUY,32.055,0.0,31.56,33.69,5.1,-1.54,3.33,Trend,Neutral,neutral,Yes,Yes
94,ABVX,62,BUY,123.75,-0.72,123.21,128.31,3.68,-0.44,3.33,Trend,Neutral,neutral,Yes,Yes
95,BA,62,BUY,236.28,0.0,234.63,241.79,2.33,-0.7,3.33,Trend,Neutral,neutral,Yes,Yes
96,VSAT,62,BUY,69.32,0.0,68.3,72.74,4.93,-1.47,3.33,Trend,Neutral,neutral,Yes,Yes
