symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
SCOR,7.125,2,True,False,0.110819,False,Varsayılan,2026-05-11 19:30,False,True,False,True,2,1.88,-0.35,1,-0.79,-3.19,neutral,1.87,1.5,1.4,2.18,low_liquidity,3,60,3.64,False,0.33,False,0.0,False,False,6.85,7.85,1000,2.6,3.89,0.5,0.0,0.0,47
TDTH,1.725,0,False,False,0.035052,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.66,-12.44,1,-0.95,-8.73,neutral,1.97,1.5,1.4,2.35,low_liquidity,3,60,-69.41,False,0.0,False,0.17,False,False,1.64,1.95,1000,2.6,5.08,0.5,0.0,0.0,2
CREG,0.1768,2,False,False,0.017466,False,Varsayılan,2026-05-11 19:45,False,False,False,False,0,0.86,-66.0,1,-2.01,-39.03,neutral,2.28,1.5,2.0,2.47,high_liquidity,3,60,-58.9,False,0.0,False,0.17,False,False,0.13,0.29,1000,2.6,24.7,0.5,0.0,0.0,13
TC,10.0,3,False,False,0.30726,False,Varsayılan,2026-05-11 19:00,False,False,True,False,1,1.23,8.11,3,2.94,8.11,bullish,2.35,1.5,1.4,2.98,low_liquidity,3,60,-19.71,False,0.0,True,0.5,False,False,9.23,12.0,1000,2.6,7.68,0.5,0.0,0.0,33
EPOW,0.698,2,False,False,0.01783,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.23,16.33,3,1.45,16.33,neutral,2.44,1.5,1.6,3.0,mid_liquidity,3,60,-12.13,False,0.0,False,0.17,False,False,0.65,0.81,1000,2.6,6.39,0.5,0.0,0.0,13
SGRP,0.65,1,False,False,0.019375,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.52,-7.14,3,-1.0,-7.14,neutral,2.14,1.5,1.4,2.63,low_liquidity,3,60,-25.28,False,0.0,False,0.33,False,False,0.6,0.78,1000,2.6,7.45,0.5,0.0,0.0,9
SWVL,1.8,1,False,True,0.044551,False,Varsayılan,2026-05-11 17:30,False,False,False,False,0,0.35,0.0,5,-0.71,-4.76,neutral,2.05,1.5,1.4,2.48,low_liquidity,3,60,-28.79,False,0.33,True,0.5,False,False,1.69,2.09,1000,2.6,6.19,0.5,0.0,0.0,26
GSUN,0.495,1,False,False,0.011135,False,Varsayılan,2026-05-11 19:00,False,False,False,False,0,0.1,-18.85,3,-0.81,-18.85,neutral,2.12,1.5,2.0,2.19,high_liquidity,3,60,-55.32,False,0.0,False,0.17,False,False,0.47,0.57,1000,2.6,5.62,0.5,0.0,0.0,7
OLB,0.4742,1,False,False,0.006895,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.44,-7.38,5,-0.47,-13.94,neutral,2.33,1.5,1.6,2.81,mid_liquidity,3,60,-38.2,False,0.0,False,0.17,False,False,0.46,0.52,1000,2.6,3.63,0.5,0.0,0.0,7
SQFTP,6.3651,1,False,False,0.124245,False,Varsayılan,2026-05-11 19:00,False,False,False,False,0,0.63,0.24,1,-0.65,-3.56,neutral,2.09,1.5,1.4,2.55,low_liquidity,3,60,-30.51,False,0.0,False,0.33,False,False,6.05,7.17,1000,2.6,4.88,0.5,0.0,0.0,9
