symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.78,2,True,True,0.623576,True,2025-09-15 19:45,False,False,True,1,0.85,0.24,17.05,True,1.0,True,0.67,True,False,176.53,180.27,160,2.0,0.7
TGT,88.55,3,False,False,0.221101,False,2025-09-15 19:45,False,False,False,0,1.16,-2.45,-10.48,False,0.0,True,0.5,False,False,88.11,89.43,452,2.0,0.5
SNOW,225.64,2,True,True,0.947216,False,2025-09-15 19:45,False,False,True,1,0.65,-0.03,13.63,True,1.0,True,0.67,False,False,223.75,229.43,105,2.0,0.84
ORCL,302.11,2,True,True,1.970567,False,2025-09-15 19:45,False,False,True,1,1.0,-7.98,23.26,True,1.0,True,0.67,False,False,298.17,309.99,50,2.0,1.3
ADBE,347.1,2,False,False,1.565783,False,2025-09-15 19:45,False,False,False,0,1.07,-0.87,-10.51,False,0.0,True,0.5,False,False,343.97,353.36,63,2.0,0.9
ADP,290.91,2,False,False,0.626206,False,2025-09-15 19:45,False,False,False,0,0.81,-0.0,1.58,False,0.0,False,0.17,False,False,289.66,293.41,159,2.0,0.43
PANW,201.31,2,True,True,0.694918,False,2025-09-15 19:45,False,True,False,1,1.08,2.0,2.37,True,1.0,True,0.67,False,False,199.92,204.09,143,2.0,0.69
ABNB,120.36,2,False,False,0.44176,False,2025-09-15 19:45,False,False,False,0,1.37,-2.46,-2.55,False,0.0,False,0.33,False,False,119.48,122.13,226,2.0,0.73
SHOP,147.88,2,True,True,0.632481,False,2025-09-15 19:45,False,True,True,2,1.17,4.0,18.89,True,1.0,True,0.67,False,False,146.62,150.41,158,2.0,0.86
TMO,474.48,2,False,False,1.939085,False,2025-09-15 19:45,False,False,False,0,1.09,-0.35,-2.26,False,0.0,False,0.33,False,False,470.6,482.24,51,2.0,0.82
GS,787.31,2,True,True,1.988735,False,2025-09-15 19:45,False,True,True,2,0.72,2.23,14.77,True,1.0,True,0.5,False,False,783.33,795.26,50,2.0,0.51
SCHW,92.09,2,True,False,0.255128,False,2025-09-15 19:45,False,False,True,1,0.94,-0.15,9.92,False,0.33,False,0.17,False,False,91.58,93.11,391,2.0,0.55
XOM,112.385,2,True,True,0.252655,False,2025-09-15 19:45,False,False,False,0,0.91,-0.13,0.83,True,1.0,True,0.83,False,False,111.88,113.4,395,2.0,0.45
DVN,33.77,2,False,False,0.122595,False,2025-09-15 19:45,False,False,False,0,1.3,-4.27,-2.09,False,0.0,False,0.33,False,False,33.52,34.26,815,2.0,0.73
V,339.06,2,True,False,0.698142,False,2025-09-15 19:45,False,False,True,1,0.91,0.28,3.16,False,0.33,False,0.33,False,False,337.66,341.85,143,2.0,0.41
MA,583.16,2,True,False,1.20863,False,2025-09-15 19:45,False,False,True,1,1.01,0.62,4.95,False,0.33,True,0.83,False,False,580.74,587.99,82,2.0,0.41
XLK,273.32,2,True,True,0.370101,False,2025-09-15 19:45,False,False,True,1,0.75,1.17,8.5,True,1.0,True,0.5,False,False,272.58,274.8,270,2.0,0.27
XLF,53.68,2,True,True,0.079419,False,2025-09-15 19:45,False,False,True,1,0.84,0.98,5.14,False,0.67,True,0.5,False,False,53.52,54.0,1259,2.0,0.3
XLE,88.3,2,True,True,0.191863,False,2025-09-15 19:45,False,False,False,0,0.74,-0.91,0.64,False,0.67,False,0.33,False,False,87.92,89.07,521,2.0,0.43
XLB,90.94,2,True,False,0.17345,False,2025-09-15 19:45,False,False,False,0,0.82,0.25,2.1,False,0.33,False,0.33,False,False,90.59,91.63,576,2.0,0.38
XLI,152.28,2,True,True,0.230106,False,2025-09-15 19:45,False,False,True,1,0.75,0.61,6.23,True,1.0,True,0.83,False,False,151.82,153.2,434,2.0,0.3
SMH,307.17,2,True,True,0.54373,False,2025-09-15 19:45,False,True,True,2,0.68,2.11,10.84,True,1.0,True,0.5,False,False,306.08,309.34,183,2.0,0.35
QCOM,161.23,2,True,True,0.490497,False,2025-09-15 19:45,False,False,False,0,0.8,1.43,0.06,True,1.0,True,0.83,False,False,160.25,163.19,203,2.0,0.61
GILD,112.59,2,True,False,0.39755,False,2025-09-15 19:45,False,False,True,1,0.89,-1.67,9.0,False,0.33,False,0.33,False,False,111.79,114.18,251,2.0,0.71
SBUX,82.67,2,False,False,0.244775,False,2025-09-15 19:45,False,False,False,0,1.03,-0.24,-2.22,False,0.0,False,0.17,False,False,82.18,83.65,408,2.0,0.59
ROST,147.05,2,True,False,0.344295,False,2025-09-15 19:45,False,False,False,0,0.84,-1.47,2.41,False,0.33,True,0.5,False,False,146.36,148.43,290,2.0,0.47
BA,215.73,2,True,False,0.650742,False,2025-09-15 19:45,False,False,True,1,0.97,-5.17,12.24,False,0.33,True,0.5,False,False,214.43,218.33,153,2.0,0.6
LMT,473.16,2,True,True,1.07368,False,2025-09-15 19:45,False,True,False,1,0.85,2.02,-2.33,True,1.0,True,0.67,False,False,471.01,477.45,93,2.0,0.45
META,764.84,1,True,True,2.548023,False,2025-09-15 19:45,False,False,True,1,1.04,1.69,11.29,True,1.0,True,0.83,False,False,759.74,775.03,39,2.0,0.67
AAPL,236.76,1,True,True,0.594702,False,2025-09-15 19:45,False,True,True,2,0.76,4.37,3.2,True,1.0,True,0.67,True,False,235.57,239.14,168,2.0,0.5
MSFT,515.45,1,True,True,1.068609,False,2025-09-15 19:45,False,True,True,2,0.88,3.0,9.12,True,1.0,True,0.83,True,False,513.31,519.72,93,2.0,0.41
AMZN,231.44,1,True,True,0.63052,False,2025-09-15 19:45,False,False,True,1,0.84,0.48,6.26,True,1.0,True,0.67,False,False,230.18,233.96,158,2.0,0.54
TSLA,410.245,1,True,True,3.494004,False,2025-09-15 19:45,True,True,True,3,1.71,17.9,8.15,True,1.0,True,0.67,False,False,403.26,424.22,28,2.0,1.7
