symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.045,0,True,True,0.714071,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.83,True,False,175.62,179.9,140,2.0,0.81
TSLA,422.435,0,True,True,4.323262,False,2025-09-15 15:30,True,True,True,3,True,1.0,True,0.67,False,False,413.79,439.73,23,2.0,2.05
GOOGL,248.55,0,True,True,1.295547,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.67,True,False,245.96,253.73,77,2.0,1.04
META,763.34,0,True,True,3.035954,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.83,False,False,757.27,775.48,32,2.0,0.8
AMZN,232.565,0,True,True,0.870027,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.5,False,False,230.82,236.05,114,2.0,0.75
AAPL,236.97,0,True,True,0.792916,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.67,True,False,235.38,240.14,126,2.0,0.67
MSFT,513.08,0,True,True,1.443573,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.83,True,False,510.19,518.85,69,2.0,0.56
NFLX,1193.705,0,True,False,4.901641,False,2025-09-15 15:30,False,False,True,1,False,0.33,True,0.5,False,False,1183.9,1213.31,20,2.0,0.82
AMD,160.2351,0,True,False,0.894228,False,2025-09-15 15:30,False,True,True,2,False,0.67,True,0.83,False,False,158.45,163.81,111,2.0,1.12
SMCI,44.88,0,False,True,0.344208,False,2025-09-15 15:30,True,True,False,2,False,0.67,True,0.5,False,False,44.19,46.26,290,2.0,1.53
AVGO,360.495,0,True,True,1.730399,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.5,False,False,357.03,367.42,57,2.0,0.96
ARM,152.58,0,True,True,0.92425,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.67,False,False,150.73,156.28,108,2.0,1.21
PLTR,167.655,0,True,True,1.029133,False,2025-09-15 15:30,False,True,True,2,True,1.0,False,0.33,False,False,165.6,171.77,97,2.0,1.23
SNOW,226.82,0,True,True,1.103606,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.83,False,False,224.61,231.23,90,2.0,0.97
COIN,324.85,0,True,True,2.346421,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.67,False,False,320.16,334.24,42,2.0,1.44
RBLX,138.9151,0,True,True,0.965748,False,2025-09-15 15:30,False,False,True,1,True,1.0,True,0.5,False,False,136.98,142.78,103,2.0,1.39
CRWD,445.32,0,True,True,2.302359,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.67,False,False,440.72,454.53,43,2.0,1.03
ZS,285.695,0,True,True,1.19943,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.83,False,False,283.3,290.49,83,2.0,0.84
PANW,200.565,0,True,True,0.839929,False,2025-09-15 15:30,False,True,True,2,True,1.0,False,0.33,False,False,198.89,203.92,119,2.0,0.84
ABNB,120.71,0,False,False,0.517631,False,2025-09-15 15:30,False,False,False,0,False,0.0,False,0.0,False,False,119.67,122.78,193,2.0,0.86
UBER,97.2814,0,True,True,0.530266,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.83,False,False,96.22,99.4,188,2.0,1.09
SHOP,144.13,0,True,True,0.675329,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.67,False,False,142.78,146.83,148,2.0,0.94
RIOT,16.675,0,True,True,0.164277,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.67,False,False,16.35,17.33,608,2.0,1.97
MARA,15.845,0,False,False,0.151612,False,2025-09-15 15:30,False,True,False,1,False,0.0,True,0.5,False,False,15.54,16.45,659,2.0,1.91
MSTR,321.31,0,False,False,2.321935,False,2025-09-15 15:30,False,False,True,1,False,0.0,False,0.17,False,False,316.67,330.6,43,2.0,1.45
SOFI,27.1988,0,True,True,0.23404,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.83,False,False,26.73,28.13,427,2.0,1.72
RIVN,13.565,0,True,True,0.129704,False,2025-09-15 15:30,False,False,True,1,False,0.67,True,0.67,False,False,13.31,14.08,770,2.0,1.91
LCID,19.42,0,False,False,0.184705,False,2025-09-15 15:30,False,False,False,0,False,0.33,True,0.67,False,False,19.05,20.16,541,2.0,1.9
CRM,242.07,0,False,False,0.99913,False,2025-09-15 15:30,False,False,False,0,False,0.0,False,0.0,False,False,240.07,246.07,100,2.0,0.83
ORCL,302.48,0,True,True,2.862119,False,2025-09-15 15:30,True,True,True,3,True,1.0,True,0.5,False,False,296.76,313.93,34,2.0,1.89
ADBE,347.655,0,False,False,2.721145,False,2025-09-15 15:30,False,False,False,0,False,0.0,False,0.33,False,False,342.21,358.54,36,2.0,1.57
NOW,947.99,0,True,True,3.428204,False,2025-09-15 15:30,False,True,False,1,True,1.0,True,0.83,False,False,941.13,961.7,29,2.0,0.72
WDAY,222.25,0,False,False,0.936926,False,2025-09-15 15:30,False,False,False,0,False,0.0,False,0.0,False,False,220.38,226.0,106,2.0,0.84
VEEV,278.0,0,True,False,1.164819,False,2025-09-15 15:30,False,True,True,2,False,0.67,True,0.83,False,False,275.67,282.66,85,2.0,0.84
ZM,84.22,0,True,True,0.286313,False,2025-09-15 15:30,False,False,True,1,False,0.67,True,0.5,False,False,83.65,85.37,349,2.0,0.68
OKTA,90.29,0,False,False,0.376673,False,2025-09-15 15:30,False,False,False,0,False,0.0,False,0.33,False,False,89.54,91.8,265,2.0,0.83
FTNT,79.8475,0,False,False,0.319014,False,2025-09-15 15:30,False,False,False,0,False,0.0,True,0.5,False,False,79.21,81.12,313,2.0,0.8
NET,227.24,0,True,True,1.181143,False,2025-09-15 15:30,False,True,True,2,True,1.0,True,0.67,False,False,224.88,231.96,84,2.0,1.04
