symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
AAPL,229.95,0,True,True,0.60013,False,2025-09-12 13:30,False,False,False,0,228.75,232.35,166,2.0,0.52
MSFT,505.57,0,True,False,1.362111,False,2025-09-12 13:30,False,False,True,1,502.85,511.02,73,2.0,0.54
TSLA,376.4999,0,True,True,2.529938,False,2025-09-12 13:30,False,True,True,2,371.44,386.62,39,2.0,1.34
NVDA,176.78,0,True,True,0.593166,False,2025-09-12 13:30,False,True,True,2,175.59,179.15,168,2.0,0.67
SPY,657.52,0,True,True,0.576287,False,2025-09-12 13:30,False,False,True,1,656.37,659.83,173,2.0,0.18
