symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
SCOR,7.35,1,True,True,0.077741,False,Varsayılan,2026-05-11 14:45,False,False,False,True,1,0.83,2.8,3,0.43,2.8,neutral,1.87,1.5,1.4,2.18,low_liquidity,3,60,3.73,False,0.67,True,0.67,False,False,7.16,7.86,1000,2.6,2.64,0.5,0.0,0.0,53
TDTH,1.8871,1,False,False,0.036228,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.22,-4.21,5,-0.37,-14.61,neutral,1.98,1.5,1.4,2.36,low_liquidity,3,60,-69.37,False,0.0,True,0.5,False,False,1.8,2.12,1000,2.6,4.8,0.5,0.0,0.0,11
CREG,0.2246,1,False,False,0.023607,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.23,-56.81,3,-1.7,-56.81,neutral,2.29,1.5,2.0,2.48,high_liquidity,3,60,-58.8,False,0.0,False,0.0,False,False,0.17,0.38,1000,2.6,26.28,0.5,0.0,0.0,5
TC,10.3,3,False,False,0.287297,False,Varsayılan,2026-05-11 14:45,False,False,True,False,1,0.94,11.35,3,3.76,11.35,bullish,2.31,1.5,1.4,2.92,low_liquidity,3,60,-19.64,False,0.33,True,0.83,False,False,9.58,12.17,1000,2.6,6.97,0.5,0.0,0.0,40
EPOW,0.72,2,False,False,0.033185,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.14,20.0,3,1.76,20.0,neutral,2.44,1.5,1.6,3.0,mid_liquidity,3,60,-12.05,False,0.0,False,0.33,False,False,0.64,0.94,1000,2.6,11.52,0.5,0.0,0.0,15
SGRP,0.668,1,False,False,0.01939,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.09,-4.57,3,-0.62,-4.57,neutral,2.15,1.5,1.4,2.64,low_liquidity,3,60,-25.22,False,0.33,True,0.5,False,False,0.62,0.79,1000,2.6,7.26,0.5,0.0,0.0,15
SWVL,1.8471,1,False,True,0.053816,False,Varsayılan,2026-05-11 14:15,False,False,False,False,0,0.13,2.62,1,1.16,5.55,neutral,2.05,1.5,1.4,2.48,low_liquidity,3,60,-28.72,False,0.67,True,0.67,False,False,1.71,2.2,1000,2.6,7.28,0.5,0.0,0.0,31
GSUN,0.4703,1,False,False,0.012793,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.05,-22.9,3,-0.99,-22.9,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,-55.38,False,0.0,False,0.0,False,False,0.44,0.55,1000,2.6,6.8,0.5,0.0,0.0,5
OLB,0.4865,1,False,False,0.008077,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.17,-4.98,5,-0.42,-11.71,neutral,2.33,1.5,1.6,2.81,mid_liquidity,3,60,-38.16,False,0.0,True,0.5,False,False,0.47,0.54,1000,2.6,4.15,0.5,0.0,0.0,11
SQFTP,6.6,2,False,False,0.130273,False,Varsayılan,2026-05-08 19:00,False,True,False,False,1,2.01,1.69,1,0.27,2.17,neutral,2.18,1.5,1.4,2.7,low_liquidity,3,60,-30.5,False,0.33,True,0.67,False,False,6.27,7.45,1000,2.6,4.93,0.5,0.0,0.0,33
FTFT,1.2686,1,False,False,0.019988,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.05,-8.73,5,-1.11,-18.15,neutral,2.16,1.5,1.4,2.67,low_liquidity,3,60,-60.51,False,0.0,True,0.5,False,False,1.22,1.4,1000,2.6,3.94,0.5,0.0,0.0,11
MIMI,2.925,1,False,False,0.069031,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.36,11.64,5,0.64,13.37,neutral,1.95,1.5,1.4,2.32,low_liquidity,3,60,-83.18,False,0.33,True,0.83,False,False,2.75,3.37,1000,2.6,5.9,0.5,0.0,0.0,18
BTCT,1.215,1,False,False,0.008242,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.33,-2.02,5,-0.97,-6.54,neutral,1.82,1.5,1.4,2.11,low_liquidity,3,60,-33.63,False,0.0,False,0.17,False,False,1.19,1.27,1000,2.6,1.7,0.5,0.0,0.0,7
MKZR,2.4,0,False,False,0.052716,False,Varsayılan,2026-05-11 14:00,False,False,False,False,0,0.17,-2.44,1,-0.75,-4.0,neutral,1.99,1.5,1.4,2.38,low_liquidity,3,60,-43.25,False,0.0,False,0.17,False,False,2.27,2.74,1000,2.6,5.49,0.5,0.0,0.0,2
WAFU,1.61,1,False,False,0.021465,False,Varsayılan,2026-05-11 14:00,False,False,False,False,0,0.11,-0.62,5,0.36,0.62,neutral,2.1,1.5,1.4,2.57,low_liquidity,3,60,-1.15,False,0.0,False,0.33,False,False,1.56,1.75,1000,2.6,3.33,0.5,0.0,0.0,9
TGL,4.555,1,False,True,0.085355,False,Varsayılan,2026-05-11 14:15,False,False,False,False,0,0.1,-4.91,3,-0.74,-4.91,neutral,1.92,1.5,1.4,2.26,low_liquidity,3,60,-89.36,False,0.33,True,0.5,False,False,4.43,4.98,1000,3.33,2.81,0.5,0.0,0.0,26
CJMB,1.08,1,False,False,0.019086,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.02,-0.92,1,-0.83,-5.26,neutral,2.02,1.5,1.4,2.44,low_liquidity,3,60,-45.77,False,0.0,False,0.17,False,False,1.03,1.2,1000,2.6,4.42,0.5,0.0,0.0,7
BOXL,0.8137,1,False,False,0.019225,False,Varsayılan,2026-05-11 14:45,False,True,False,False,1,1.76,-19.44,1,-2.03,-13.71,neutral,2.04,1.5,1.4,2.47,low_liquidity,3,60,-73.06,False,0.0,False,0.17,False,False,0.77,0.94,1000,2.6,5.91,0.5,0.0,0.0,18
ZCMD,1.585,0,False,False,0.086472,False,Varsayılan,2026-05-11 14:00,False,False,False,False,0,0.41,-28.6,3,-2.96,-28.6,bearish,2.16,1.5,1.4,2.66,low_liquidity,3,60,-53.89,False,0.0,False,0.0,False,False,1.37,2.15,1000,2.6,13.64,0.5,0.0,0.0,0
GV,0.1862,2,False,False,0.007754,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.22,16.37,3,1.19,16.37,neutral,2.22,1.5,2.0,2.36,high_liquidity,3,60,-63.61,False,0.33,True,0.5,False,False,0.17,0.24,1000,2.6,10.41,0.5,0.0,0.0,20
SOPA,0.3786,2,False,False,0.009441,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.3,-1.92,1,0.16,1.23,neutral,2.1,1.5,1.4,2.56,low_liquidity,3,60,-48.79,False,0.0,True,0.5,False,False,0.35,0.44,1000,2.6,6.23,0.5,0.0,0.0,16
