symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
DVN,46.62,1,True,False,0.303373,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.2,0.03,5,-1.85,-9.06,neutral,1.98,1.5,2.0,1.96,high_liquidity,3,60,14.85,False,0.67,True,0.5,False,False,45.86,48.59,1000,2.6,1.63,0.5,0.0,0.0,40
FANG,193.26,1,True,True,1.137159,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.13,-0.93,5,-2.44,-9.56,bearish,2.1,1.5,2.0,2.16,high_liquidity,3,60,13.15,False,0.67,True,0.67,False,False,190.42,200.65,1000,2.6,1.47,0.5,0.0,0.0,53
APA,36.44,1,True,False,0.279432,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.19,-4.86,5,-2.15,-13.28,neutral,2.19,1.5,2.0,2.32,high_liquidity,3,60,26.04,False,0.33,True,0.5,False,False,35.74,38.26,1000,2.6,1.92,0.5,0.0,0.0,36
HAL,39.865,1,True,True,0.205236,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.15,-1.32,5,-1.48,-5.04,neutral,2.0,1.5,2.0,2.01,high_liquidity,3,60,19.95,False,0.67,True,0.67,False,False,39.35,41.2,1000,2.6,1.29,0.5,0.0,0.0,53
BKR,63.995,1,True,True,0.360704,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.16,-4.01,5,-1.22,-6.96,neutral,2.04,1.5,2.0,2.07,high_liquidity,3,60,16.25,False,0.33,True,0.5,False,False,63.09,66.34,1000,2.6,1.41,0.5,0.0,0.0,47
OVV,58.09,1,True,True,0.327063,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.28,-3.02,5,-1.94,-7.69,neutral,2.03,1.5,2.0,2.04,high_liquidity,3,60,18.67,False,0.67,True,0.83,False,False,57.27,60.22,1000,2.6,1.41,0.5,0.0,0.0,55
CTRA,32.555,1,True,False,0.260532,False,Varsayılan,2026-05-06 19:45,True,False,False,True,1,0.0,-9.2,3,-2.57,-9.2,bearish,2.04,1.5,2.0,2.07,high_liquidity,3,60,14.23,False,0.33,False,0.17,False,False,31.9,34.25,1000,2.6,2.0,0.5,0.0,0.0,33
RRC,40.85,1,True,False,0.197528,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.12,-0.78,5,-1.39,-5.0,neutral,2.0,1.5,2.0,2.0,high_liquidity,3,60,7.53,False,0.33,True,0.5,False,False,40.36,42.13,1000,2.6,1.21,0.5,0.0,0.0,36
EQT,56.21,1,False,False,0.233648,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.17,-2.0,5,-1.16,-4.59,neutral,2.21,1.5,2.0,2.35,high_liquidity,3,60,4.74,False,0.0,True,0.5,False,False,55.63,57.73,1000,2.6,1.04,0.5,0.0,0.0,22
AR,36.25,1,True,False,0.188242,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.16,-1.6,5,-1.55,-8.3,neutral,2.01,1.5,2.0,2.01,high_liquidity,3,60,5.37,False,0.33,True,0.5,False,False,35.78,37.47,1000,2.6,1.3,0.5,0.0,0.0,36
MTDR,55.905,1,True,False,0.389391,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.13,-2.55,5,-2.25,-11.81,bearish,2.12,1.5,2.0,2.2,high_liquidity,3,60,13.81,False,0.33,True,0.5,False,False,54.93,58.44,1000,2.6,1.74,0.5,0.0,0.0,36
CHRD,138.995,1,True,True,0.857828,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.1,-1.33,5,-1.73,-6.89,neutral,1.88,1.5,1.6,2.06,mid_liquidity,3,60,17.36,True,1.0,True,0.67,False,False,136.85,144.57,1000,2.6,1.54,0.5,0.0,0.0,56
GPOR,180.3725,1,False,False,1.329822,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.12,-0.04,5,-1.47,-7.39,neutral,1.98,1.5,1.6,2.23,mid_liquidity,3,60,0.95,False,0.0,True,0.5,False,False,177.05,189.02,1000,2.6,1.84,0.5,0.0,0.0,11
