symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
ADP,287.25,2,False,False,1.19796,False,2025-09-16 15:45,False,False,False,0,0.64,-3.12,1.45,False,0.0,False,0.33,False,False,284.85,292.04,83,2.0,0.83
AMD,159.69,1,True,False,0.706265,False,2025-09-16 15:45,False,False,True,1,0.83,1.02,13.29,False,0.67,False,0.33,False,False,158.28,162.52,141,2.0,0.88
CRM,239.645,1,False,False,0.997437,False,2025-09-16 15:45,False,False,False,0,0.57,-0.02,-7.05,False,0.0,False,0.17,False,False,237.65,243.63,100,2.0,0.83
WDAY,220.62,1,False,False,1.027577,False,2025-09-16 15:45,False,False,False,0,0.41,-2.67,-4.46,False,0.0,False,0.17,False,False,218.56,224.73,97,2.0,0.93
VEEV,272.855,1,True,False,0.943082,False,2025-09-16 15:45,False,False,True,1,0.17,-2.37,9.25,False,0.33,False,0.17,False,False,270.97,276.63,106,2.0,0.69
NET,221.27,1,True,True,1.195573,False,2025-09-16 15:45,False,False,True,1,0.44,-1.5,26.4,False,0.67,False,0.33,False,False,218.88,226.05,83,2.0,1.08
DDOG,135.89,1,True,True,0.837391,False,2025-09-16 15:45,False,False,True,1,0.62,-2.31,5.33,False,0.67,False,0.33,False,False,134.22,139.24,119,2.0,1.23
ZS,281.41,1,True,True,1.373878,False,2025-09-16 15:45,False,False,True,1,0.39,-1.83,12.6,False,0.67,True,0.5,False,False,278.66,286.91,72,2.0,0.98
SOFI,26.8843,1,True,True,0.201216,False,2025-09-16 15:45,False,True,True,2,1.11,8.42,34.69,True,1.0,True,0.5,False,False,26.48,27.69,496,2.0,1.5
RIVN,13.9222,1,True,True,0.139403,False,2025-09-16 15:45,False,False,True,1,0.55,-2.23,2.32,True,1.0,True,0.67,False,False,13.64,14.48,717,2.0,2.0
UNH,341.16,1,False,True,1.830781,False,2025-09-16 15:45,False,False,False,0,0.65,0.95,-19.88,False,0.33,False,0.33,False,False,337.5,348.48,54,2.0,1.07
MRK,80.9043,1,False,False,0.260827,False,2025-09-16 15:45,False,False,False,0,0.35,-4.05,-5.54,False,0.0,False,0.33,False,False,80.38,81.95,383,2.0,0.64
SLB,34.96,1,False,False,0.186691,False,2025-09-16 15:45,False,False,False,0,0.45,-2.97,-5.63,False,0.0,False,0.33,False,False,34.59,35.71,535,2.0,1.07
PYPL,66.305,1,False,False,0.228344,False,2025-09-16 15:45,False,True,False,1,0.91,2.24,-2.86,False,0.0,False,0.17,False,False,65.85,67.22,437,2.0,0.69
AXP,324.34,1,True,True,0.905982,False,2025-09-16 15:45,False,False,True,1,0.28,-1.51,6.97,False,0.67,False,0.33,False,False,322.53,327.96,110,2.0,0.56
SPY,659.5255,1,True,True,0.598572,False,2025-09-16 15:45,False,True,True,2,0.89,1.33,6.17,True,1.0,False,0.33,True,False,658.33,661.92,167,2.0,0.18
IWM,237.15,1,True,True,0.508069,False,2025-09-16 15:45,False,True,True,2,0.9,1.24,4.96,False,0.67,False,0.33,False,False,236.13,239.18,196,2.0,0.43
DIA,458.35,1,True,True,0.593537,False,2025-09-16 15:45,False,False,True,1,0.95,0.91,4.15,False,0.67,False,0.33,False,False,457.16,460.72,168,2.0,0.26
XLF,53.315,1,True,True,0.092568,False,2025-09-16 15:45,False,False,True,1,0.32,-1.31,5.12,False,0.67,False,0.33,False,False,53.13,53.69,1080,2.0,0.35
XLI,151.53,1,True,True,0.253886,False,2025-09-16 15:45,False,False,True,1,0.48,-0.83,6.18,False,0.67,True,0.5,False,False,151.02,152.55,393,2.0,0.34
XLB,90.59,1,True,False,0.191236,False,2025-09-16 15:45,False,False,False,0,0.82,0.25,2.08,False,0.33,False,0.17,False,False,90.21,91.35,522,2.0,0.42
XLC,118.04,1,True,True,0.204468,False,2025-09-16 15:45,False,True,True,2,0.98,3.82,8.16,True,1.0,False,0.33,False,False,117.63,118.86,489,2.0,0.35
XLRE,42.08,1,True,True,0.080133,False,2025-09-16 15:45,False,False,False,0,0.47,-1.08,1.44,False,0.67,True,0.5,False,False,41.92,42.4,1247,2.0,0.38
TXN,177.48,1,False,False,0.790114,False,2025-09-16 15:45,False,False,True,1,0.31,-3.73,2.23,False,0.0,False,0.33,False,False,175.9,180.64,126,2.0,0.89
BK,105.2,1,True,True,0.323721,False,2025-09-16 15:45,False,True,True,2,0.86,2.33,13.96,False,0.67,True,0.5,False,False,104.55,106.49,308,2.0,0.62
PNC,199.574,1,True,False,0.6193,False,2025-09-16 15:45,False,False,True,1,0.23,-1.57,6.58,False,0.33,False,0.17,False,False,198.34,202.05,161,2.0,0.62
VALE,10.8718,1,True,True,0.03404,False,2025-09-16 15:45,False,True,True,2,0.74,2.27,4.56,True,1.0,True,0.5,False,False,10.8,11.01,2937,2.0,0.63
COST,953.3995,1,False,False,2.133572,False,2025-09-16 15:45,False,False,False,0,0.35,-1.13,1.07,False,0.0,False,0.17,False,False,949.13,961.93,46,2.0,0.45
NKE,72.305,1,True,False,0.23349,False,2025-09-16 15:45,False,False,True,1,0.31,-2.72,2.87,False,0.33,False,0.17,False,False,71.84,73.24,428,2.0,0.65
ROST,146.4,1,True,False,0.400915,False,2025-09-16 15:45,False,False,True,1,0.14,-3.11,2.47,False,0.33,False,0.17,False,False,145.6,148.0,249,2.0,0.55
BA,214.0,1,True,False,0.724017,False,2025-09-16 15:45,False,False,True,1,0.97,-5.17,12.29,False,0.33,False,0.33,False,False,212.55,216.9,138,2.0,0.68
VNQ,92.215,1,True,True,0.177462,False,2025-09-16 15:45,False,False,False,0,0.42,-1.1,1.83,False,0.67,True,0.5,False,False,91.86,92.92,563,2.0,0.38
EFA,93.1499,1,True,True,0.100691,False,2025-09-16 15:45,False,False,True,1,0.76,-0.23,6.49,False,0.67,True,0.5,False,False,92.95,93.55,993,2.0,0.22
BETR,25.8,1,True,True,0.292232,False,2025-09-16 15:45,False,True,True,2,0.22,4.84,21.94,True,1.0,False,0.17,False,False,25.22,26.97,342,2.0,2.27
WINA,502.01,1,True,True,2.601377,False,2025-09-16 15:00,False,False,True,1,0.37,-2.33,10.88,True,1.0,True,0.5,False,False,496.81,512.42,38,2.0,1.04
NFLX,1204.765,0,True,False,3.839251,False,2025-09-16 15:45,False,False,True,1,0.26,0.11,12.32,False,0.67,True,0.5,False,False,1197.09,1220.12,26,2.0,0.64
AMZN,235.1632,0,True,True,0.905329,False,2025-09-16 15:45,False,False,True,1,0.84,0.48,6.24,True,1.0,True,0.67,False,False,233.35,238.78,110,2.0,0.77
