symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
AAPL,280.84,2,True,True,1.089853,True,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.37,3.49,3,1.45,3.49,neutral,1.96,1.5,2.0,1.94,high_liquidity,3,60,3.89,True,1.0,True,1.0,True,True,279.21,286.29,1000,3.33,0.58,0.5,0.0,0.0
MSFT,409.55,1,False,True,1.645921,False,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.33,0.42,5,-1.11,-4.6,neutral,2.33,1.5,2.0,2.55,high_liquidity,3,60,-7.32,False,0.33,False,0.33,True,False,405.44,420.25,1000,2.6,1.0,0.5,0.0,0.0
GOOGL,388.2599,0,True,True,1.813866,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.36,0.9,5,1.73,11.0,neutral,2.05,1.5,2.0,2.09,high_liquidity,3,60,15.13,True,1.0,True,0.67,True,False,385.54,397.33,1000,3.33,0.7,0.5,0.0,0.0
GOOG,384.365,0,True,True,1.739023,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.33,0.63,5,1.72,10.61,neutral,1.99,1.5,2.0,1.99,high_liquidity,3,60,14.63,True,1.0,True,0.67,False,False,381.76,393.06,1000,3.33,0.68,0.5,0.0,0.0
META,600.93,1,False,False,2.486022,False,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.42,-1.79,5,-1.7,-10.49,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,-2.48,False,0.0,False,0.17,False,False,594.71,617.09,1000,2.6,1.03,0.5,0.0,0.0
AMZN,275.3,1,True,True,1.35964,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.43,3.86,5,0.78,6.01,neutral,2.31,1.5,2.0,2.51,high_liquidity,3,60,5.13,True,1.0,True,0.67,False,False,273.26,282.1,1000,3.33,0.74,0.5,0.0,0.0
NVDA,197.59,1,True,True,1.01083,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.37,-0.99,5,-1.77,-7.31,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,6.97,False,0.67,True,0.67,True,False,195.06,204.16,1000,2.6,1.28,0.5,0.0,0.0
TSLA,392.43,2,True,True,2.800639,True,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.5,2.83,5,0.99,4.36,neutral,2.28,1.5,2.0,2.46,high_liquidity,3,60,-1.09,True,1.0,True,0.5,False,True,388.23,406.43,1000,3.33,1.07,0.5,0.0,0.0
ADBE,253.145,2,False,False,1.541613,False,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.29,2.86,5,0.95,4.09,neutral,2.17,1.5,2.0,2.28,high_liquidity,3,60,-17.61,False,0.67,True,0.67,False,False,249.29,263.17,1000,2.6,1.52,0.5,0.0,0.0
CRM,184.93,2,False,False,1.040271,False,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.49,4.76,3,1.21,4.76,neutral,2.08,1.5,2.0,2.14,high_liquidity,3,60,-15.19,False,0.67,True,0.83,False,False,182.33,191.69,1000,2.6,1.41,0.5,0.0,0.0
ORCL,183.11,2,False,True,1.426716,False,Varsayılan,2026-05-05 16:00,True,False,False,False,0,0.45,13.46,3,1.8,13.46,neutral,2.28,1.5,2.0,2.46,high_liquidity,3,60,-11.74,False,0.67,True,0.67,False,False,180.97,190.24,1000,3.33,1.17,0.5,0.0,0.0
INTC,109.335,1,True,True,1.529037,False,Varsayılan,2026-05-05 16:00,True,False,True,True,2,0.72,15.72,1,2.4,14.15,bullish,2.19,1.5,2.0,2.32,high_liquidity,3,60,43.11,True,1.0,True,0.67,False,False,107.04,116.98,1000,3.33,2.1,0.5,0.0,0.0
AMD,353.99,0,True,True,3.251719,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.48,-0.14,1,0.72,3.65,neutral,2.04,1.5,2.0,2.06,high_liquidity,3,60,22.61,True,1.0,False,0.33,False,False,349.11,370.25,1000,3.33,1.38,0.5,0.0,0.0
AVGO,427.9801,1,True,True,2.40544,False,Varsayılan,2026-05-05 16:00,True,False,False,True,1,0.42,2.53,1,0.92,2.76,neutral,2.01,1.5,2.0,2.01,high_liquidity,3,60,11.77,True,1.0,True,0.5,False,False,423.17,441.21,1000,2.75,1.12,0.5,0.0,0.0
