symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
MSFT,518.0,2,True,True,1.522656,True,2025-09-19 19:45,True,True,False,True,2,2.39,1.75,8.92,True,1.0,True,0.83,True,False,514.95,524.09,65,2.0,0.59
NVDA,176.5019,2,True,True,0.6265,True,2025-09-19 19:45,True,False,False,True,1,1.35,1.02,16.61,True,1.0,True,0.83,True,False,175.25,179.01,159,2.0,0.71
CVS,74.93,3,True,True,0.36957,False,2025-09-19 19:45,True,True,False,True,2,1.51,1.96,8.37,True,1.0,True,0.5,False,False,74.19,76.41,270,2.0,0.99
AMD,157.41,2,True,False,0.658709,False,2025-09-19 19:45,True,False,False,True,1,1.17,-1.91,12.99,False,0.33,True,0.67,False,False,156.09,160.04,151,2.0,0.84
VEEV,278.03,2,True,True,0.870603,False,2025-09-19 19:45,True,True,False,True,2,1.71,1.43,8.98,True,1.0,True,1.0,False,False,276.29,281.51,114,2.0,0.63
OKTA,93.36,2,False,True,0.365921,False,2025-09-19 19:45,True,True,True,False,2,2.09,3.84,-2.69,False,0.67,True,1.0,False,False,92.63,94.82,273,2.0,0.78
DDOG,138.83,2,True,True,0.573805,False,2025-09-19 19:45,True,True,True,True,3,2.15,3.14,5.22,True,1.0,True,0.67,False,False,137.68,141.13,174,2.0,0.83
INTU,687.54,2,True,True,3.093137,False,2025-09-19 19:45,True,True,True,False,2,1.85,5.62,2.77,True,1.0,True,0.83,False,False,681.35,699.91,32,2.0,0.9
LCID,21.13,2,False,True,0.151198,False,2025-09-19 19:45,True,False,True,False,1,0.87,7.0,-11.53,False,0.67,True,0.67,False,False,20.83,21.73,661,2.0,1.43
ISRG,438.53,2,False,False,1.341236,False,2025-09-19 19:45,True,True,False,False,1,1.55,0.97,-5.15,False,0.33,True,0.83,False,False,435.85,443.89,74,2.0,0.61
EOG,115.94,2,False,False,0.375102,False,2025-09-19 19:45,True,True,False,False,1,2.37,-4.01,-0.4,False,0.0,False,0.33,False,False,115.19,117.44,266,2.0,0.65
TXN,179.3,2,False,False,0.508715,False,2025-09-19 19:45,True,True,False,False,1,1.89,0.98,1.64,False,0.0,True,0.67,False,False,178.28,181.33,196,2.0,0.57
HYG,81.25,2,True,True,0.029747,False,2025-09-19 19:45,True,False,False,False,0,0.95,0.16,2.84,True,1.0,True,0.5,False,False,81.19,81.37,3361,2.0,0.07
NFLX,1226.64,1,True,True,3.47256,False,2025-09-19 19:45,True,False,True,True,2,1.49,2.2,11.96,True,1.0,True,1.0,False,False,1219.69,1240.53,28,2.0,0.57
AAPL,245.29,1,True,True,0.8748,False,2025-09-19 19:45,True,True,True,True,3,2.46,3.09,3.89,True,1.0,True,0.67,True,False,243.54,248.79,114,2.0,0.71
AMZN,231.6,1,True,True,0.658851,False,2025-09-19 19:45,True,True,False,True,2,2.18,-1.1,6.27,False,0.67,False,0.17,False,False,230.28,234.24,151,2.0,0.57
TSLA,425.87,1,True,True,1.908574,False,2025-09-19 19:45,True,False,False,True,1,0.9,1.06,10.61,True,1.0,True,0.67,False,False,422.05,433.5,52,2.0,0.9
GOOGL,254.655,1,True,True,0.70687,False,2025-09-19 19:45,True,False,False,True,1,1.47,1.42,14.74,True,1.0,False,0.33,True,False,253.24,257.48,141,2.0,0.56
META,778.35,1,True,True,2.640488,False,2025-09-19 19:45,True,True,False,True,2,1.99,-0.08,11.34,True,1.0,True,0.83,False,False,773.07,788.91,37,2.0,0.68
