symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
NAMI,0.5023,2,False,False,0.013192,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.15,-10.17,5,-1.32,-31.9,neutral,2.27,1.5,1.4,2.85,low_liquidity,3,60,-43.38,False,0.0,False,0.17,False,False,0.47,0.59,1000,2.6,6.57,0.5,0.0,0.0
AACG,0.9602,1,False,False,0.03709,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.6,7.87,3,0.84,7.87,neutral,2.24,1.5,1.4,2.79,low_liquidity,3,60,-9.83,False,0.33,True,0.67,False,False,0.87,1.2,1000,2.6,9.66,0.5,0.0,0.0
SCOR,7.3,3,True,False,0.14758,False,Varsayılan,2026-04-06 19:45,False,False,False,True,1,1.38,3.75,1,1.3,5.11,neutral,2.09,1.5,1.4,2.55,low_liquidity,3,60,3.55,True,1.0,True,0.83,False,False,6.93,8.26,1000,2.6,5.05,0.5,0.0,0.0
YQ,1.785,0,False,False,0.062933,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.19,-1.38,5,-2.39,-22.73,bearish,2.15,1.5,1.4,2.64,low_liquidity,3,60,-10.99,False,0.0,False,0.33,False,False,1.63,2.19,1000,2.6,8.81,0.5,0.0,0.0
TDTH,0.1721,1,False,False,0.003061,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,1.95,-9.95,5,-0.89,-15.69,neutral,2.08,1.5,1.6,2.39,mid_liquidity,3,60,-56.94,False,0.0,False,0.0,False,False,0.16,0.19,1000,2.6,4.45,0.5,0.0,0.0
CREG,0.3153,1,False,False,0.014366,False,Varsayılan,2026-04-06 19:45,False,True,True,False,2,8.32,26.92,1,2.77,26.92,bullish,2.6,1.5,2.0,3.0,high_liquidity,3,60,-57.15,False,0.33,True,0.5,False,False,0.28,0.41,1000,2.6,11.39,0.5,0.0,0.0
EPOW,0.85,1,False,False,0.010847,False,Varsayılan,2026-04-06 19:15,False,False,False,False,0,0.07,4.79,5,-1.66,-21.36,neutral,2.36,1.5,1.4,3.0,low_liquidity,3,60,-11.06,False,0.67,True,0.5,False,False,0.82,0.92,1000,2.6,3.19,0.5,0.0,0.0
SGRP,0.5801,1,False,False,0.008937,False,Varsayılan,2026-04-06 19:15,False,True,True,False,2,1.74,-7.94,1,3.8,9.43,bullish,2.29,1.5,1.4,2.88,low_liquidity,3,60,-21.94,False,0.33,False,0.33,False,False,0.56,0.64,1000,2.6,3.85,0.5,0.0,0.0
SWVL,1.35,2,False,False,0.020511,False,Varsayılan,2026-04-06 14:30,False,False,False,False,0,0.23,-2.84,1,0.34,1.48,neutral,2.03,1.5,1.4,2.45,low_liquidity,3,60,-37.41,False,0.0,False,0.0,False,False,1.3,1.48,1000,2.6,3.8,0.5,0.0,0.0
EDTK,1.02,1,True,True,0.029608,False,Varsayılan,2026-04-02 18:45,False,False,False,False,0,0.25,1.98,3,0.34,1.98,neutral,2.05,1.5,1.4,2.48,low_liquidity,3,60,-1.38,False,0.67,False,0.33,False,False,0.98,1.17,1000,3.33,4.35,0.5,0.0,0.0
GSUN,0.4713,1,False,False,0.016146,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.2,-18.62,3,-0.91,-18.62,neutral,2.1,1.5,1.6,2.43,mid_liquidity,3,60,-54.04,False,0.0,False,0.0,False,False,0.43,0.58,1000,2.6,8.56,0.5,0.0,0.0
OLB,0.4629,1,False,False,0.013876,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.85,-7.2,5,-0.39,-14.12,neutral,2.29,1.5,1.6,2.75,mid_liquidity,3,60,-36.93,False,0.0,False,0.33,False,False,0.43,0.55,1000,2.6,7.49,0.5,0.0,0.0
SQFTP,6.5,2,False,False,0.236274,False,Varsayılan,2026-04-06 19:15,False,False,False,False,0,0.96,-7.14,1,-0.71,-8.19,neutral,2.27,1.5,1.4,2.85,low_liquidity,3,60,-32.43,False,0.33,True,0.5,False,False,5.91,8.04,1000,2.6,9.09,0.5,0.0,0.0
FTFT,1.165,2,False,False,0.062689,False,Varsayılan,2026-04-06 19:30,False,True,False,False,1,3.73,-4.92,5,0.51,-3.33,neutral,1.86,1.5,1.4,2.16,low_liquidity,3,60,-62.42,False,0.0,False,0.17,False,False,1.01,1.57,1000,2.6,13.45,0.5,0.0,0.0
MIMI,0.25,2,False,False,0.002489,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,1.69,-7.78,1,-0.58,-5.32,neutral,2.06,1.5,1.4,2.5,low_liquidity,3,60,-83.49,False,0.0,False,0.0,False,False,0.24,0.27,1000,2.6,2.49,0.5,0.0,0.0
BTCT,1.165,2,False,False,0.0185,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,6.95,4.46,5,1.12,7.34,neutral,1.86,1.5,1.4,2.17,low_liquidity,3,60,-37.22,False,0.33,True,0.5,False,False,1.12,1.29,1000,2.6,3.97,0.5,0.0,0.0
MKZR,3.395,2,False,False,0.082951,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,2.44,-6.81,3,-0.98,-6.81,neutral,1.97,1.5,1.4,2.35,low_liquidity,3,60,-41.88,False,0.0,True,0.5,False,False,3.19,3.93,1000,2.6,6.11,0.5,0.0,0.0
WAFU,1.595,1,False,False,0.04041,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.22,2.9,3,0.77,2.9,neutral,1.95,1.5,1.4,2.32,low_liquidity,3,60,0.11,False,0.0,True,0.5,False,False,1.49,1.86,1000,2.6,6.33,0.5,0.0,0.0
TGL,3.856,3,False,False,0.10492,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,1.37,12.92,3,1.93,12.92,neutral,2.01,1.5,1.4,2.41,low_liquidity,3,60,-88.41,False,0.33,True,0.67,False,False,3.59,4.54,1000,2.6,6.8,0.5,0.0,0.0
CJMB,1.33,1,False,False,0.032721,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.11,4.8,1,-0.12,-1.5,neutral,2.36,1.5,1.4,3.0,low_liquidity,3,60,-39.07,False,0.33,True,0.5,False,False,1.25,1.54,1000,2.6,6.15,0.5,0.0,0.0
BOXL,1.3015,3,False,False,0.024142,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.54,6.5,1,1.56,19.09,neutral,2.38,1.5,2.0,2.63,high_liquidity,3,60,-71.6,False,0.67,True,0.83,False,False,1.24,1.46,1000,2.6,4.64,0.5,0.0,0.0
ZCMD,1.71,1,False,False,0.04777,False,Varsayılan,2026-04-02 19:30,False,False,False,False,0,0.44,-3.37,1,-0.18,-2.55,neutral,2.21,1.5,1.4,2.74,low_liquidity,3,60,-55.77,False,0.0,False,0.0,False,False,1.59,2.02,1000,2.6,6.98,0.5,0.0,0.0
GV,0.3499,3,False,False,0.017932,False,Varsayılan,2026-04-06 19:45,False,False,True,False,1,0.19,28.84,5,3.45,72.86,bullish,1.87,1.5,2.0,1.78,high_liquidity,3,60,-46.92,False,0.33,True,0.67,False,False,0.31,0.47,1000,2.6,12.81,0.5,0.0,0.0
SOPA,0.4268,2,False,False,0.010805,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.34,-2.31,3,0.39,-2.31,neutral,2.19,1.5,1.6,2.59,mid_liquidity,3,60,-34.01,False,0.33,False,0.33,False,False,0.4,0.5,1000,2.6,6.33,0.5,0.0,0.0
WHLRP,7.36,2,True,True,0.184784,False,Varsayılan,2026-04-06 19:45,False,False,False,True,1,0.38,5.9,1,0.88,4.32,neutral,1.99,1.5,1.4,2.39,low_liquidity,3,60,26.92,True,1.0,True,0.83,False,True,6.9,8.56,1000,2.6,6.28,0.5,0.0,0.0
XHLD,1.34,3,False,False,0.032084,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,1.9,11.76,1,-0.55,-11.92,neutral,2.31,1.5,1.4,2.92,low_liquidity,3,60,-81.85,False,0.0,False,0.33,False,False,1.26,1.55,1000,2.6,5.99,0.5,0.0,0.0
QH,0.0922,0,False,False,0.008925,False,Varsayılan,2026-04-02 19:45,False,False,False,False,0,0.0,-13.12,3,-0.34,-13.12,neutral,2.6,1.5,2.0,3.0,high_liquidity,3,60,-97.19,False,0.0,False,0.0,False,False,0.07,0.15,1000,2.6,24.2,0.5,0.0,0.0
EEIQ,8.15,2,True,True,0.260198,True,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.02,-7.53,1,0.37,13.52,neutral,2.6,1.5,2.0,3.0,high_liquidity,3,60,-28.16,False,0.67,False,0.17,False,True,7.76,9.45,1000,3.33,4.79,0.5,0.0,0.0
LXEH,0.176,2,False,False,0.003476,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.65,-12.0,3,-0.94,-12.0,neutral,2.13,1.5,1.6,2.48,mid_liquidity,3,60,-81.26,False,0.0,False,0.0,False,False,0.17,0.2,1000,2.6,4.94,0.5,0.0,0.0
SQFT,2.3101,1,False,False,0.081552,False,Varsayılan,2026-04-06 15:00,False,False,False,False,0,0.54,-0.43,1,-0.74,-4.94,neutral,2.16,1.5,1.4,2.66,low_liquidity,3,60,-33.0,False,0.0,True,0.5,False,False,2.11,2.84,1000,2.6,8.83,0.5,0.0,0.0
BAOS,2.55,3,False,False,0.055813,False,Varsayılan,2026-04-06 19:00,False,True,False,False,1,2.33,-1.39,3,-0.21,-1.39,neutral,2.08,1.5,1.4,2.54,low_liquidity,3,60,-4.48,False,0.33,True,0.67,False,False,2.41,2.91,1000,2.6,5.47,0.5,0.0,0.0
WAI,2.2,2,False,False,0.059892,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.47,-0.9,5,-0.68,-4.35,neutral,1.81,1.5,1.4,2.09,low_liquidity,3,60,-89.67,False,0.33,True,0.67,False,False,2.05,2.59,1000,2.6,6.81,0.5,0.0,0.0
GIPR,0.2629,2,False,False,0.006066,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.34,5.06,3,1.13,5.06,neutral,1.84,1.5,1.4,2.14,low_liquidity,3,60,-49.62,False,0.33,True,0.5,False,False,0.25,0.3,1000,2.6,5.77,0.5,0.0,0.0
KIDZ,3.16,2,False,False,0.101081,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.04,1.3,5,1.89,25.81,neutral,2.22,1.5,2.0,2.36,high_liquidity,3,60,-87.44,False,0.0,False,0.33,False,False,2.91,3.82,1000,2.6,8.0,0.5,0.0,0.0
JZ,0.8009,2,False,False,0.037627,False,Varsayılan,2026-04-06 19:45,False,True,False,False,1,1.77,-6.1,1,-0.74,-10.0,neutral,2.32,1.5,1.4,2.94,low_liquidity,3,60,-53.31,False,0.0,False,0.0,False,False,0.71,1.05,1000,2.6,11.75,0.5,0.0,0.0
CMCT,0.5002,1,False,False,0.016521,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.3,-18.03,1,0.54,2.04,neutral,2.18,1.5,1.6,2.57,mid_liquidity,3,60,-71.28,False,0.0,False,0.17,False,False,0.46,0.61,1000,2.6,8.26,0.5,0.0,0.0
VSA,0.7201,3,False,False,0.020765,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,0.1,23.17,3,1.07,23.17,neutral,1.88,1.5,2.0,1.8,high_liquidity,3,60,-88.61,False,0.33,True,0.67,False,False,0.67,0.86,1000,2.6,7.21,0.5,0.0,0.0
WHLR,0.9079,1,False,False,0.011401,False,Varsayılan,2026-04-06 19:45,False,False,False,False,0,1.26,-2.81,3,0.37,-2.81,neutral,1.9,1.5,1.4,2.24,low_liquidity,3,60,-99.86,False,0.0,True,0.67,False,False,0.88,0.98,1000,2.6,3.14,0.5,0.0,0.0
UK,0.48,2,False,False,0.024384,False,Varsayılan,2026-04-06 16:30,False,False,False,False,0,0.59,0.42,5,1.04,6.44,neutral,2.03,1.5,1.4,2.45,low_liquidity,3,60,-31.63,False,0.33,True,0.5,False,False,0.42,0.64,1000,2.6,12.7,0.5,0.0,0.0
JDZG,1.6601,1,False,False,0.020749,False,Varsayılan,2026-04-06 19:30,False,False,False,False,0,0.27,-3.49,5,0.05,-4.6,neutral,1.83,1.5,1.4,2.12,low_liquidity,3,60,-72.01,False,0.0,False,0.17,False,False,1.61,1.79,1000,2.6,3.12,0.5,0.0,0.0
