symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
AAPL,233.245,0,True,True,0.849711,False,2025-09-12 14:15,False,False,True,1,231.55,236.64,117,2.0,0.73
MSFT,507.3325,0,True,True,1.492903,False,2025-09-12 14:15,False,False,True,1,504.35,513.3,66,2.0,0.59
GOOGL,239.24,0,True,True,0.85838,False,2025-09-12 14:15,False,False,True,1,237.52,242.67,116,2.0,0.72
AMZN,228.68,0,True,False,0.717843,False,2025-09-12 14:15,False,False,True,1,227.24,231.55,139,2.0,0.63
META,751.46,0,True,True,2.504987,False,2025-09-12 14:15,False,False,True,1,746.45,761.48,39,2.0,0.67
TSLA,387.89,0,True,True,3.265473,False,2025-09-12 14:15,False,True,True,2,381.36,400.95,30,2.0,1.68
NVDA,177.825,0,True,True,0.669737,False,2025-09-12 14:15,False,True,True,2,176.49,180.5,149,2.0,0.75
CRM,245.18,0,False,False,0.970133,False,2025-09-12 14:15,False,False,False,0,243.24,249.06,103,2.0,0.79
ORCL,297.09,0,True,True,3.606562,False,2025-09-12 14:15,False,True,True,2,289.88,311.52,27,2.0,2.43
ADBE,351.12,0,False,False,3.864828,False,2025-09-12 14:15,False,False,False,0,343.39,366.58,25,2.0,2.2
NOW,935.689,0,True,True,3.375104,False,2025-09-12 14:15,False,False,False,0,928.94,949.19,29,2.0,0.72
WDAY,224.26,0,False,False,1.077595,False,2025-09-12 14:15,False,False,False,0,222.1,228.57,92,2.0,0.96
VEEV,279.0772,0,True,True,1.078534,False,2025-09-12 14:15,False,False,True,1,276.92,283.39,92,2.0,0.77
NFLX,1193.975,0,True,False,6.522889,False,2025-09-12 14:15,False,False,True,1,1180.93,1220.07,15,2.0,1.09
UBER,95.18,0,True,True,0.545275,False,2025-09-12 14:15,False,False,True,1,94.09,97.36,183,2.0,1.15
ABNB,123.2,0,False,False,0.559559,False,2025-09-12 14:15,False,False,False,0,122.08,125.44,178,2.0,0.91
RBLX,134.2,0,True,True,1.259502,False,2025-09-12 14:15,False,False,True,1,131.68,139.24,79,2.0,1.88
ZM,84.26,0,True,True,0.319832,False,2025-09-12 14:15,False,False,False,0,83.62,85.54,312,2.0,0.76
PYPL,66.945,0,False,False,0.238905,False,2025-09-12 14:15,False,False,False,0,66.47,67.9,418,2.0,0.71
COIN,323.9501,0,True,True,2.181686,False,2025-09-12 14:15,False,False,True,1,319.59,332.68,45,2.0,1.35
SHOP,143.465,0,True,True,0.70609,False,2025-09-12 14:15,False,False,True,1,142.05,146.29,141,2.0,0.98
CRWD,441.26,0,True,True,2.395492,False,2025-09-12 14:15,False,True,True,2,436.47,450.84,41,2.0,1.09
ZS,287.1435,0,True,True,1.406652,False,2025-09-12 14:15,False,False,True,1,284.33,292.77,71,2.0,0.98
PANW,198.8251,0,True,True,0.81211,False,2025-09-12 14:15,False,False,False,0,197.2,202.07,123,2.0,0.82
FTNT,80.24,0,False,False,0.375353,False,2025-09-12 14:15,False,False,False,0,79.49,81.74,266,2.0,0.94
OKTA,92.21,0,False,True,0.409401,False,2025-09-12 14:15,False,False,False,0,91.39,93.85,244,2.0,0.89
JNJ,178.705,0,True,True,0.457087,False,2025-09-12 14:15,False,False,True,1,177.79,180.53,218,2.0,0.51
PFE,24.7128,0,True,False,0.079853,False,2025-09-12 14:15,False,False,False,0,24.55,25.03,1252,2.0,0.65
UNH,359.54,0,False,True,2.456712,False,2025-09-12 14:15,False,True,False,1,354.63,369.37,40,2.0,1.37
MRNA,25.37,0,False,False,0.236329,False,2025-09-12 14:15,False,True,False,1,24.9,26.32,423,2.0,1.86
BNTX,100.73,0,False,False,0.726974,False,2025-09-12 14:15,False,False,False,0,99.28,103.64,137,2.0,1.44
JPM,306.08,0,True,True,0.865902,False,2025-09-12 14:15,False,True,True,2,304.35,309.54,115,2.0,0.57
BAC,50.7748,0,True,True,0.126849,False,2025-09-12 14:15,False,False,True,1,50.52,51.28,788,2.0,0.5
WFC,81.08,0,True,True,0.244783,False,2025-09-12 14:15,False,False,True,1,80.59,82.06,408,2.0,0.6
GS,782.48,0,True,True,3.384534,False,2025-09-12 14:15,False,True,True,2,775.71,796.02,29,2.0,0.87
XOM,112.41,0,True,True,0.319287,False,2025-09-12 14:15,False,False,False,0,111.77,113.69,313,2.0,0.57
CVX,158.015,0,True,True,0.436512,False,2025-09-12 14:15,False,True,True,2,157.14,159.76,229,2.0,0.55
COP,94.065,0,False,False,0.326501,False,2025-09-12 14:15,False,True,False,1,93.41,95.37,306,2.0,0.69
SLB,36.13,0,False,True,0.159388,False,2025-09-12 14:15,False,False,False,0,35.81,36.77,627,2.0,0.88
SPY,657.9601,0,True,True,0.62679,False,2025-09-12 14:15,False,False,True,1,656.71,660.47,159,2.0,0.19
QQQ,585.7,0,True,True,0.731094,False,2025-09-12 14:15,False,False,True,1,584.24,588.62,136,2.0,0.25
IWM,239.28,0,True,True,0.52367,False,2025-09-12 14:15,False,False,True,1,238.23,241.37,190,2.0,0.44
