symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
DVN,33.78,2,False,False,0.136315,False,2025-09-22 15:00,True,False,False,False,0,0.22,-4.6,-1.87,False,0.0,False,0.17,False,False,33.51,34.33,733,2.0,0.81
BA,212.175,2,True,False,0.876958,False,2025-09-22 15:00,True,False,False,True,1,0.38,-1.24,11.1,False,0.33,False,0.17,False,False,210.42,215.68,114,2.0,0.83
AMD,161.3273,1,True,True,0.931216,False,2025-09-22 15:00,True,False,False,True,1,1.17,-1.91,12.97,True,1.0,True,0.67,False,False,159.46,165.05,107,2.0,1.15
VEEV,276.28,1,True,False,1.169408,False,2025-09-22 15:00,True,False,False,True,1,0.15,0.62,8.85,False,0.33,True,0.5,False,False,273.94,280.96,85,2.0,0.85
CRWD,490.395,1,True,True,3.308278,False,2025-09-22 15:00,True,False,True,True,2,0.44,10.08,7.08,True,1.0,False,0.33,False,False,483.78,503.63,30,2.0,1.35
ZS,289.39,1,True,True,1.499906,False,2025-09-22 15:00,True,False,True,True,2,1.19,4.37,12.47,True,1.0,True,0.5,False,False,286.39,295.39,66,2.0,1.04
RIOT,17.345,1,True,True,0.233051,False,2025-09-22 15:00,True,False,False,True,1,0.96,-0.34,21.66,False,0.67,False,0.33,False,False,16.88,18.28,429,2.0,2.69
MARA,17.585,1,True,True,0.239046,False,2025-09-22 15:00,True,False,True,False,1,0.86,4.34,-0.45,False,0.67,True,0.5,False,False,17.11,18.54,418,2.0,2.72
MSTR,338.6,1,True,False,3.4181,False,2025-09-22 15:00,True,False,True,True,2,0.34,2.7,5.72,False,0.33,True,0.5,False,False,331.76,352.27,29,2.0,2.02
LCID,21.57,1,False,True,0.191475,False,2025-09-22 15:00,True,False,True,False,1,0.87,7.0,-11.58,False,0.67,True,0.83,False,False,21.19,22.34,522,2.0,1.78
CVS,74.79,1,True,True,0.396021,False,2025-09-22 15:00,True,False,False,True,1,0.17,1.07,8.56,True,1.0,False,0.33,False,False,74.0,76.37,252,2.0,1.06
SLB,33.9282,1,False,False,0.187565,False,2025-09-22 15:00,True,False,False,False,0,0.22,-2.48,-5.45,False,0.0,False,0.17,False,False,33.55,34.68,533,2.0,1.11
OXY,45.82,1,False,False,0.179739,False,2025-09-22 15:00,True,False,False,False,0,0.26,-2.9,-2.12,False,0.0,False,0.0,False,False,45.46,46.54,556,2.0,0.78
FSLR,215.61,1,True,True,2.149289,False,2025-09-22 15:00,True,False,True,True,2,0.42,2.33,8.58,True,1.0,True,0.67,False,False,211.31,224.21,46,2.0,1.99
ENPH,40.47,1,False,True,0.436533,False,2025-09-22 15:00,True,False,True,False,1,0.29,4.52,-28.14,False,0.67,True,0.83,False,False,39.6,42.22,229,2.0,2.16
PYPL,67.75,1,False,False,0.233019,False,2025-09-22 15:00,True,True,True,False,2,1.63,2.05,-3.07,False,0.0,True,0.5,False,False,67.28,68.68,429,2.0,0.69
MA,587.14,1,True,True,1.756021,False,2025-09-22 15:00,True,False,False,True,1,0.25,-1.94,4.98,False,0.67,True,0.83,False,False,583.63,594.16,56,2.0,0.6
IWM,243.03,1,True,True,0.605706,False,2025-09-22 15:00,True,False,False,True,1,1.26,1.97,5.45,True,1.0,True,0.83,False,False,241.82,245.45,165,2.0,0.5
XLC,118.935,1,True,True,0.206598,False,2025-09-22 15:00,True,False,False,True,1,0.21,0.09,8.83,True,1.0,False,0.17,False,False,118.52,119.76,484,2.0,0.35
XLU,84.3303,1,True,False,0.184632,False,2025-09-22 15:00,True,False,False,True,1,0.24,-0.02,4.88,False,0.33,False,0.33,False,False,83.96,85.07,541,2.0,0.44
XLRE,41.555,1,True,False,0.108127,False,2025-09-22 15:00,True,False,False,False,0,0.39,-1.13,1.35,False,0.33,False,0.17,False,False,41.34,41.99,924,2.0,0.52
SMH,319.0724,1,True,True,0.672554,False,2025-09-22 15:00,True,False,True,True,2,1.04,2.77,11.3,True,1.0,True,0.67,False,False,317.73,321.76,148,2.0,0.42
XLB,90.22,1,True,False,0.200456,False,2025-09-22 15:00,True,False,False,False,0,0.25,-0.72,2.04,False,0.33,False,0.17,False,False,89.82,91.02,498,2.0,0.44
ASML,958.2802,1,True,True,4.352287,False,2025-09-22 15:00,True,False,True,True,2,0.46,9.86,3.48,True,1.0,True,0.67,False,False,949.58,975.69,22,2.0,0.91
QCOM,168.65,1,True,True,0.792783,False,2025-09-22 15:00,True,False,True,False,1,0.17,2.05,0.89,True,1.0,True,0.83,False,False,167.06,171.82,126,2.0,0.94
SAP,264.92,1,False,False,0.770303,False,2025-09-22 15:00,True,False,False,False,0,0.19,1.34,1.88,False,0.0,False,0.33,False,False,263.38,268.0,129,2.0,0.58
ZTS,145.57,1,False,False,0.512489,False,2025-09-22 15:00,True,False,False,False,0,0.16,-0.93,-4.51,False,0.0,True,0.67,False,False,144.55,147.62,195,2.0,0.7
BK,108.5,1,True,True,0.308763,False,2025-09-22 15:00,True,False,False,True,1,0.17,1.39,14.19,True,1.0,True,0.5,False,False,107.88,109.74,323,2.0,0.57
USB,49.88,1,True,True,0.157098,False,2025-09-22 15:00,True,False,False,True,1,0.13,0.54,5.28,False,0.67,True,0.5,False,False,49.57,50.51,636,2.0,0.63
RIO,63.48,1,True,True,0.196313,False,2025-09-22 15:00,True,False,False,False,0,0.33,0.78,2.64,True,1.0,True,0.67,False,False,63.09,64.27,509,2.0,0.62
COST,944.41,1,False,False,2.370095,False,2025-09-22 15:00,True,False,False,False,0,0.33,-1.93,0.85,False,0.0,False,0.17,False,False,939.67,953.89,42,2.0,0.5
TGT,86.8,1,False,False,0.319036,False,2025-09-22 15:00,True,False,False,False,0,0.51,-2.32,-11.06,False,0.0,False,0.33,False,False,86.16,88.08,313,2.0,0.74
LOW,263.07,1,True,True,0.912051,False,2025-09-22 15:00,True,False,False,True,1,0.23,-1.82,5.1,False,0.67,False,0.17,False,False,261.25,266.72,109,2.0,0.69
DE,466.56,1,False,False,1.663443,False,2025-09-22 15:00,True,False,False,False,0,0.2,-0.55,2.77,False,0.0,False,0.33,False,False,463.23,473.21,60,2.0,0.71
