symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
GOOGL,252.95,2,True,True,0.935478,False,2025-09-22 15:45,True,False,False,False,0,0.4,-0.39,2.3,True,1.0,False,0.17,True,False,251.08,256.69,106,2.0,0.74
AMZN,229.277,1,False,False,0.73672,False,2025-09-22 15:45,True,False,False,False,0,0.31,-0.14,-0.15,False,0.0,False,0.33,False,False,227.8,232.22,135,2.0,0.64
ADBE,363.29,1,True,True,1.647862,False,2025-09-22 15:45,False,False,False,False,0,0.2,0.04,1.42,True,1.0,True,0.83,False,False,359.99,369.88,60,2.0,0.91
OKTA,93.62,1,True,True,0.613466,False,2025-09-22 15:45,False,False,False,False,0,0.16,-0.1,1.19,True,1.0,True,0.83,False,False,92.39,96.07,163,2.0,1.31
FTNT,83.905,1,True,True,0.448048,False,2025-09-22 15:45,False,False,False,False,0,0.33,0.53,2.13,True,1.0,True,0.67,False,False,83.01,85.7,223,2.0,1.07
DDOG,137.54,1,True,True,0.749906,False,2025-09-22 15:45,False,False,False,False,0,0.36,0.39,0.19,True,1.0,True,0.67,False,False,136.04,140.54,133,2.0,1.09
SHOP,154.04,1,True,True,0.746737,False,2025-09-22 15:45,False,False,False,False,0,0.21,0.84,2.61,True,1.0,True,0.67,False,False,152.55,157.03,133,2.0,0.97
RIOT,17.295,1,True,True,0.214196,False,2025-09-22 15:45,True,False,False,True,1,1.36,0.2,4.43,False,0.67,False,0.17,False,False,16.87,18.15,466,2.0,2.48
MSTR,336.8991,1,True,False,3.102497,False,2025-09-22 15:45,True,False,False,False,0,0.23,0.11,1.29,False,0.33,True,0.5,False,False,330.69,349.31,32,2.0,1.84
TMO,478.38,1,False,False,1.830605,False,2025-09-22 15:45,False,False,False,False,0,0.18,-0.39,-0.12,False,0.0,True,0.5,False,False,474.72,485.7,54,2.0,0.77
C,102.84,1,True,True,0.270456,False,2025-09-22 15:45,False,False,False,False,0,0.27,0.18,1.78,True,1.0,True,0.5,False,False,102.3,103.92,369,2.0,0.53
OXY,45.87,1,False,False,0.165889,False,2025-09-22 15:45,False,False,False,False,0,0.21,0.1,-0.36,False,0.0,True,0.5,False,False,45.54,46.53,602,2.0,0.72
PYPL,67.255,1,False,False,0.277346,False,2025-09-22 15:45,True,False,False,False,0,0.52,-0.47,0.31,False,0.0,False,0.33,False,False,66.7,68.36,360,2.0,0.82
