symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
CAT,923.25,0,True,True,3.696434,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.69,-0.4,1,1.0,2.87,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,24.57,True,1.0,True,0.5,False,False,917.71,941.73,1000,3.33,0.6,0.5,0.0,0.0,49
DE,586.2,2,True,True,1.843387,True,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.53,-0.92,1,0.82,1.98,neutral,2.02,1.5,1.6,2.31,mid_liquidity,3,60,8.77,True,1.0,True,0.83,False,True,583.43,595.42,1000,3.33,0.47,0.5,0.0,0.0,64
EMR,139.95,1,True,False,0.503688,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.5,-5.43,3,-1.3,-5.43,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,2.86,False,0.33,True,0.83,False,False,138.69,143.22,1000,2.6,0.9,0.5,0.0,0.0,29
SWK,78.97,1,True,True,0.385347,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.69,-2.54,5,1.17,5.48,neutral,2.1,1.5,2.0,2.16,high_liquidity,3,60,1.12,False,0.67,True,0.67,False,False,78.39,80.9,1000,3.33,0.73,0.5,0.0,0.0,42
GPC,101.345,1,False,False,0.431715,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.73,-3.93,1,-1.03,-3.22,neutral,2.44,1.5,2.0,2.74,high_liquidity,3,60,-8.24,False,0.0,False,0.33,False,False,100.27,104.15,1000,2.6,1.06,0.5,0.0,0.0,9
SYY,72.78,2,False,False,0.255235,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.44,-0.8,5,0.39,0.34,neutral,2.41,1.5,2.0,2.69,high_liquidity,3,60,-0.87,False,0.0,True,0.67,False,False,72.14,74.44,1000,2.6,0.88,0.5,0.0,0.0,18
ADM,79.46,1,True,True,0.319956,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.37,1.85,1,1.14,2.32,neutral,2.04,1.5,2.0,2.06,high_liquidity,3,60,11.68,True,1.0,True,0.5,False,False,78.98,81.06,1000,3.33,0.6,0.5,0.0,0.0,55
NUE,232.5,0,True,True,0.769182,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.55,-0.73,1,1.0,2.2,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,17.41,True,1.0,False,0.33,False,False,231.35,236.35,1000,3.33,0.5,0.5,0.0,0.0,47
AGNC,10.8351,1,True,True,0.023968,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.63,0.42,5,0.64,1.74,neutral,2.0,1.5,2.0,2.0,high_liquidity,3,60,6.14,True,1.0,True,0.67,False,False,10.78,10.99,1000,2.6,0.55,0.5,0.0,0.0,56
NLY,22.4902,1,True,True,0.043406,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.67,-0.22,1,-0.41,-0.53,neutral,2.06,1.5,2.0,2.09,high_liquidity,3,60,6.08,False,0.67,True,0.67,False,False,22.38,22.77,1000,2.6,0.48,0.5,0.0,0.0,53
ARCC,18.725,1,False,True,0.049274,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.86,-2.27,3,-1.06,-2.27,neutral,2.02,1.5,2.0,2.03,high_liquidity,3,60,-2.27,False,0.0,False,0.17,False,False,18.6,19.05,1000,2.6,0.66,0.5,0.0,0.0,18
MAIN,52.36,2,False,False,0.227792,False,Varsayılan,2026-05-11 19:15,True,True,False,False,1,1.57,-8.25,3,-2.52,-8.25,bearish,1.9,1.5,1.6,2.09,mid_liquidity,3,60,-2.11,False,0.0,False,0.33,False,False,51.79,53.84,1000,2.6,1.09,0.5,0.0,0.0,26
HTGC,16.025,1,False,True,0.04778,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.82,-2.52,3,-0.76,-2.52,neutral,1.88,1.5,2.0,1.81,high_liquidity,3,60,-4.69,False,0.33,False,0.33,False,False,15.95,16.26,1000,3.33,0.45,0.5,0.0,0.0,24
PSEC,2.415,2,False,False,0.014346,False,Varsayılan,2026-05-11 19:15,False,False,False,False,0,1.03,-13.13,3,-3.43,-13.13,bearish,2.24,1.5,2.0,2.4,high_liquidity,3,60,-0.8,False,0.0,False,0.0,False,False,2.38,2.51,1000,2.6,1.49,0.5,0.0,0.0,11
GBDC,12.995,1,True,True,0.029028,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.62,-2.37,5,-1.85,-5.01,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,-0.11,False,0.33,False,0.17,False,False,12.92,13.18,1000,2.6,0.56,0.5,0.0,0.0,33
TPVG,5.635,1,True,True,0.022618,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.61,0.81,1,-0.9,-2.34,neutral,1.9,1.5,1.6,2.1,mid_liquidity,3,60,-3.25,False,0.67,False,0.33,False,False,5.6,5.75,1000,3.33,0.6,0.5,0.0,0.0,38
ABNB,138.445,1,True,True,0.787358,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.73,-1.03,1,-1.16,-2.15,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,3.49,False,0.67,False,0.33,False,False,136.48,143.56,1000,2.6,1.42,0.5,0.0,0.0,49
DASH,158.685,1,False,False,1.006697,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.53,-5.53,5,-1.1,-8.05,neutral,2.14,1.5,2.0,2.23,high_liquidity,3,60,-12.27,False,0.0,False,0.33,False,False,156.17,165.23,1000,2.6,1.59,0.5,0.0,0.0,9
UBER,76.335,2,False,True,0.346931,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.73,-3.6,3,-1.16,-3.6,neutral,1.92,1.5,2.0,1.87,high_liquidity,3,60,-6.37,False,0.67,True,0.67,False,False,75.81,78.07,1000,3.33,0.68,0.5,0.0,0.0,36
LYFT,13.965,1,False,False,0.090922,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.67,-1.86,1,-1.11,-2.68,neutral,2.09,1.5,2.0,2.15,high_liquidity,3,60,-10.52,False,0.0,False,0.17,False,False,13.74,14.56,1000,2.6,1.63,0.5,0.0,0.0,7
RBLX,41.385,0,False,False,0.260132,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.45,-5.43,5,-1.12,-13.0,neutral,2.1,1.5,2.0,2.16,high_liquidity,3,60,-25.59,False,0.0,False,0.17,False,False,40.73,43.08,1000,2.6,1.57,0.5,0.0,0.0,2
AUR,7.275,0,True,True,0.088967,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.76,0.07,5,0.69,12.97,neutral,2.4,1.5,2.0,2.66,high_liquidity,3,60,3.17,True,1.0,False,0.33,False,False,7.14,7.72,1000,3.33,1.83,0.5,0.0,0.0,47
GM,75.55,1,True,False,0.355684,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.58,-4.0,1,-2.08,-4.12,bearish,1.93,1.5,2.0,1.89,high_liquidity,3,60,8.51,False,0.33,False,0.33,False,False,74.66,77.86,1000,2.6,1.18,0.5,0.0,0.0,35
F,12.0662,1,False,False,0.053691,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.78,-0.85,5,1.19,4.92,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,1.19,False,0.0,True,0.5,False,False,11.93,12.42,1000,2.6,1.11,0.5,0.0,0.0,11
AAL,12.855,1,True,True,0.068062,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.69,-0.66,5,1.39,8.85,neutral,1.9,1.5,2.0,1.83,high_liquidity,3,60,-4.81,False,0.67,True,0.5,False,False,12.75,13.2,1000,3.33,0.79,0.5,0.0,0.0,40
UAL,96.88,1,False,True,0.4038,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.51,-3.16,5,1.39,7.56,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,-1.24,False,0.33,True,0.5,False,False,96.27,98.9,1000,3.33,0.63,0.5,0.0,0.0,26
DAL,71.645,1,True,True,0.24691,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.6,-2.31,1,-0.88,-2.3,neutral,2.02,1.5,2.0,2.03,high_liquidity,3,60,6.91,False,0.67,True,0.5,False,False,71.27,72.88,1000,3.33,0.52,0.5,0.0,0.0,51
LUV,40.07,1,True,False,0.172932,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.53,-3.45,5,1.03,4.49,neutral,2.03,1.5,2.0,2.05,high_liquidity,3,60,5.18,False,0.67,True,0.67,False,False,39.64,41.19,1000,2.6,1.08,0.5,0.0,0.0,42
CAR,153.35,1,False,False,1.59351,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.25,-6.62,5,-0.5,-8.88,neutral,2.37,1.5,2.0,2.61,high_liquidity,3,60,32.26,False,0.0,True,0.67,False,False,149.37,163.71,1000,2.6,2.6,0.5,0.0,0.0,24
ASO,51.88,1,False,False,0.336373,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.7,-4.74,1,-1.56,-4.12,neutral,2.15,1.5,2.0,2.26,high_liquidity,3,60,4.06,False,0.0,False,0.17,False,False,51.04,54.07,1000,2.6,1.62,0.5,0.0,0.0,18
DRI,196.185,1,True,False,0.931157,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.77,0.25,5,1.14,2.13,neutral,1.92,1.5,1.6,2.13,mid_liquidity,3,60,1.61,False,0.67,True,1.0,False,False,193.86,202.24,1000,2.6,1.19,0.5,0.0,0.0,35
SBUX,105.96,1,True,True,0.398354,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.44,-0.48,1,0.38,0.95,neutral,2.12,1.5,2.0,2.21,high_liquidity,3,60,6.44,True,1.0,True,0.67,False,False,105.36,107.95,1000,3.33,0.56,0.5,0.0,0.0,56
MCD,273.84,0,False,False,0.905812,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.91,-3.62,3,-1.65,-3.62,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,-1.29,False,0.0,True,0.5,False,False,271.58,279.73,1000,2.6,0.83,0.5,0.0,0.0,5
YUM,150.42,1,False,False,0.521351,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.45,-3.58,3,-1.62,-3.58,neutral,1.95,1.5,2.0,1.92,high_liquidity,3,60,3.26,False,0.0,False,0.33,False,False,149.12,153.81,1000,2.6,0.87,0.5,0.0,0.0,20
AIP,33.155,1,True,True,0.279132,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.94,5.56,5,0.9,14.92,neutral,1.88,1.5,1.6,2.06,mid_liquidity,3,60,38.49,True,1.0,True,0.5,False,False,32.74,34.55,1000,3.33,1.26,0.5,0.0,0.0,55
ALNT,65.17,2,True,False,0.608838,False,Varsayılan,2026-05-11 19:15,False,False,False,True,1,1.1,-15.93,3,-2.66,-15.93,bearish,2.09,1.5,1.4,2.54,low_liquidity,3,60,20.8,False,0.33,True,0.67,False,False,63.65,69.13,1000,2.6,2.34,0.5,0.0,0.0,44
AMPL,6.215,2,False,False,0.057296,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.93,-17.35,5,-2.34,-22.7,bearish,2.1,1.5,2.0,2.17,high_liquidity,3,60,-19.66,False,0.0,False,0.33,False,False,6.07,6.59,1000,2.6,2.3,0.5,0.0,0.0,15
ANGI,5.085,2,False,False,0.064518,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.66,5.94,5,-2.19,-29.96,neutral,2.22,1.5,2.0,2.37,high_liquidity,3,60,-33.04,False,0.0,False,0.17,False,False,4.92,5.5,1000,2.6,3.17,0.5,0.0,0.0,13
ARQ,2.715,2,False,True,0.025992,False,Varsayılan,2026-05-11 19:15,False,False,False,False,0,0.74,17.53,3,1.45,17.53,neutral,2.27,1.5,1.6,2.72,mid_liquidity,3,60,-33.37,False,0.67,False,0.33,False,False,2.68,2.84,1000,3.33,1.44,0.5,0.0,0.0,33
ABEO,5.885,1,True,True,0.030382,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.71,-2.08,3,-0.61,-2.08,neutral,2.01,1.5,2.0,2.02,high_liquidity,3,60,-0.92,True,1.0,True,0.5,False,False,5.84,6.04,1000,3.33,0.77,0.5,0.0,0.0,44
