symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
RDW,10.93,3,True,True,0.223027,True,Varsayılan,2026-05-08 18:15,True,True,True,False,2,1.85,25.78,1,2.78,18.8,bullish,2.24,1.5,2.0,2.41,high_liquidity,3,60,-2.06,True,1.0,True,0.5,False,True,10.6,12.05,1000,3.33,3.06,0.5,0.0,0.0,77
MNTS,4.8699,1,False,False,0.130084,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,1.19,2.74,1,1.04,10.43,neutral,2.6,1.5,2.0,3.0,high_liquidity,3,60,-67.33,False,0.33,True,0.83,False,False,4.54,5.72,1000,2.6,6.68,0.5,0.0,0.0,18
GILT,18.985,1,True,True,0.135189,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.67,-5.41,3,-0.83,-5.41,neutral,1.99,1.5,1.6,2.25,mid_liquidity,3,60,22.84,False,0.67,True,0.5,False,False,18.78,19.66,1000,3.33,1.07,0.5,0.0,0.0,51
KTOS,57.38,1,False,False,0.51166,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.73,-3.25,5,-0.53,-7.53,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,-2.47,False,0.0,True,0.5,False,False,56.1,60.71,1000,2.6,2.23,0.5,0.0,0.0,11
MRCY,89.33,2,True,True,0.606444,True,Varsayılan,2026-05-08 18:15,True,False,True,True,2,0.42,7.68,5,1.89,13.72,bullish,1.79,1.5,1.6,1.92,mid_liquidity,3,60,8.41,True,1.0,False,0.33,False,True,88.42,92.36,1000,3.33,1.02,0.5,0.0,0.0,69
SATS,127.12,1,True,True,0.952355,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.47,8.33,3,1.49,8.33,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,28.14,True,1.0,True,0.83,False,False,124.74,133.31,1000,2.6,1.87,0.5,0.0,0.0,58
VSAT,69.32,2,True,True,0.683068,True,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.55,5.72,1,0.83,4.51,neutral,2.26,1.5,2.0,2.44,high_liquidity,3,60,37.25,True,1.0,True,0.67,False,True,68.3,72.74,1000,3.33,1.48,0.5,0.0,0.0,62
IRDM,41.14,1,True,True,0.451004,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.92,4.87,5,-0.25,4.31,neutral,2.29,1.5,2.0,2.48,high_liquidity,3,60,28.94,True,1.0,True,0.83,False,False,40.01,44.07,1000,2.6,2.74,0.5,0.0,0.0,58
GRMN,242.745,1,True,False,0.778399,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.19,3.45,3,0.56,3.45,neutral,1.99,1.5,1.6,2.26,mid_liquidity,3,60,7.83,False,0.67,True,0.83,False,False,240.8,247.8,1000,2.6,0.8,0.5,0.0,0.0,44
FLY,39.62,2,True,True,0.802366,True,Varsayılan,2026-05-08 18:15,True,True,True,False,2,1.69,25.7,1,3.03,22.44,bullish,2.26,1.5,2.0,2.43,high_liquidity,3,60,-4.62,True,1.0,True,0.67,False,False,37.61,44.84,1000,2.6,5.06,0.5,0.0,0.0,73
AIRO,7.37,1,False,False,0.062361,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.3,3.08,3,0.68,3.08,neutral,1.96,1.5,1.6,2.21,mid_liquidity,3,60,-33.04,False,0.33,True,0.5,False,False,7.21,7.78,1000,2.6,2.12,0.5,0.0,0.0,15
ACFN,17.262,1,False,False,0.21834,False,Varsayılan,2026-05-08 17:45,False,False,False,False,0,0.84,-10.33,3,-1.25,-10.33,neutral,2.12,1.5,1.4,2.6,low_liquidity,3,60,-2.52,False,0.0,False,0.33,False,False,16.72,18.68,1000,2.6,3.16,0.5,0.0,0.0,9
MARA,13.295,2,True,True,0.171926,True,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.77,9.33,5,1.23,16.01,neutral,1.91,1.5,2.0,1.85,high_liquidity,3,60,-12.5,True,1.0,True,0.67,False,True,13.04,14.15,1000,3.33,1.94,0.5,0.0,0.0,51
RIOT,24.29,1,True,True,0.26699,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.51,19.36,5,1.88,31.3,neutral,2.15,1.5,2.0,2.26,high_liquidity,3,60,12.5,True,1.0,True,0.5,False,False,23.89,25.62,1000,3.33,1.65,0.5,0.0,0.0,55
CLSK,14.37,2,True,True,0.170456,True,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.5,7.16,5,1.52,18.08,neutral,2.08,1.5,2.0,2.14,high_liquidity,3,60,-0.9,True,1.0,True,0.67,False,True,14.11,15.22,1000,3.33,1.78,0.5,0.0,0.0,51
HUT,99.109,1,True,True,1.378928,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.66,23.1,3,1.7,23.1,neutral,2.13,1.5,2.0,2.22,high_liquidity,3,60,38.08,True,1.0,True,0.5,False,False,97.04,106.0,1000,3.33,2.09,0.5,0.0,0.0,55
HIVE,2.865,1,True,True,0.035832,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,0.66,0.88,5,1.52,17.9,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,-12.43,True,1.0,True,0.5,False,False,2.81,3.04,1000,3.33,1.88,0.5,0.0,0.0,44
BTBT,1.86,1,False,True,0.022712,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,0.93,3.91,5,1.8,18.47,neutral,2.05,1.5,2.0,2.09,high_liquidity,3,60,-24.2,False,0.67,True,0.67,False,False,1.83,1.97,1000,3.33,1.83,0.5,0.0,0.0,31
MSTR,187.105,1,False,True,1.868432,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.7,0.11,1,0.76,4.04,neutral,2.19,1.5,2.0,2.31,high_liquidity,3,60,-23.32,False,0.67,True,0.67,False,False,184.3,196.45,1000,3.33,1.5,0.5,0.0,0.0,31
SI,12.99,1,False,False,0.119346,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,0.58,0.54,5,-0.7,-3.85,neutral,1.97,1.5,1.4,2.34,low_liquidity,3,60,-1.9,False,0.5,True,1.0,False,False,12.69,13.77,1000,2.6,2.3,0.5,0.0,0.0,22
ARBK,3.6726,1,False,False,0.071133,False,Varsayılan,2026-05-08 17:45,False,False,False,False,0,0.33,-0.47,5,1.12,12.66,neutral,2.03,1.5,1.4,2.45,low_liquidity,3,60,-87.58,False,0.67,True,0.83,False,False,3.49,4.13,1000,2.6,4.84,0.5,0.0,0.0,22
IREN,61.515,3,True,True,1.342539,True,Varsayılan,2026-05-08 18:15,True,True,True,True,3,1.91,12.38,5,2.26,34.72,bullish,2.11,1.5,2.0,2.18,high_liquidity,3,60,15.11,True,1.0,True,0.83,False,True,59.5,68.23,1000,3.33,3.27,0.5,0.0,0.0,91
