symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
AAPL,292.25,0,True,True,1.004771,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.2,1.69,5,1.61,5.61,neutral,1.94,1.5,2.0,1.9,high_liquidity,3,60,4.87,True,1.0,True,0.5,True,False,290.74,297.27,1000,3.33,0.52,0.5,0.0,0.0,51
MSFT,410.33,1,False,True,1.816206,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.27,-0.88,1,-0.71,-1.15,neutral,2.33,1.5,2.0,2.55,high_liquidity,3,60,-6.8,False,0.33,False,0.17,True,False,405.79,422.14,1000,2.6,1.11,0.5,0.0,0.0,23
GOOGL,393.9399,0,True,True,1.745793,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.22,-0.99,1,-0.98,-1.68,neutral,2.06,1.5,2.0,2.1,high_liquidity,3,60,16.87,False,0.67,False,0.17,True,False,391.32,402.67,1000,3.33,0.66,0.5,0.0,0.0,44
GOOG,390.71,0,True,True,1.659067,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.21,-1.09,1,-0.94,-1.56,neutral,2.02,1.5,2.0,2.03,high_liquidity,3,60,16.34,False,0.67,False,0.17,False,False,388.22,399.01,1000,3.33,0.64,0.5,0.0,0.0,42
META,602.685,1,False,False,2.236792,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.22,-1.66,1,-0.42,-1.14,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,-2.86,False,0.0,False,0.33,False,False,597.09,617.22,1000,2.6,0.93,0.5,0.0,0.0,9
AMZN,272.03,0,True,True,1.042112,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.2,-1.07,3,-0.8,-1.07,neutral,2.22,1.5,2.0,2.36,high_liquidity,3,60,6.56,False,0.67,True,0.5,False,False,269.95,277.76,1000,2.75,0.77,0.5,0.0,0.0,46
NVDA,217.945,2,True,True,1.51599,True,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.36,5.0,5,1.87,9.95,neutral,2.06,1.5,2.0,2.1,high_liquidity,3,60,7.92,True,1.0,True,0.67,True,True,215.67,225.52,1000,3.33,1.04,0.5,0.0,0.0,64
TSLA,417.73,1,True,True,2.859774,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.3,4.84,5,1.28,6.5,neutral,2.21,1.5,2.0,2.35,high_liquidity,3,60,-0.23,True,1.0,False,0.17,False,False,413.44,432.03,1000,3.33,1.03,0.5,0.0,0.0,40
ADBE,248.9033,1,False,False,1.547344,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.19,-0.56,1,-0.66,-1.68,neutral,2.16,1.5,2.0,2.27,high_liquidity,3,60,-17.04,False,0.33,False,0.17,False,False,245.03,258.96,1000,2.6,1.55,0.5,0.0,0.0,11
CRM,179.61,1,False,False,1.023003,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.22,-0.87,5,-0.64,-3.16,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,-15.07,False,0.0,False,0.17,False,False,177.05,186.26,1000,2.6,1.42,0.5,0.0,0.0,7
