symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.1549,0,True,True,0.748615,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,True,False,175.66,180.15,133,2.0,0.85
TSLA,422.295,0,True,True,4.591973,False,2025-09-15 15:15,True,True,True,3,True,1.0,True,0.67,False,False,413.11,440.66,21,2.0,2.17
GOOGL,248.15,0,True,True,1.351359,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,True,False,245.45,253.56,73,2.0,1.09
META,763.327,0,True,True,3.201796,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,False,False,756.92,776.13,31,2.0,0.84
AMZN,232.9805,0,True,True,0.897729,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.5,False,False,231.19,236.57,111,2.0,0.77
AAPL,236.7,0,True,True,0.825564,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,True,False,235.05,240.0,121,2.0,0.7
MSFT,512.935,0,True,True,1.504616,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,True,False,509.93,518.95,66,2.0,0.59
NFLX,1196.51,0,True,False,5.126375,False,2025-09-15 15:15,False,False,True,1,False,0.33,True,0.67,False,False,1186.26,1217.02,19,2.0,0.86
AMD,160.405,0,True,False,0.93883,False,2025-09-15 15:15,False,False,True,1,False,0.67,True,1.0,False,False,158.53,164.16,106,2.0,1.17
SMCI,44.9418,0,False,True,0.35794,False,2025-09-15 15:15,False,True,False,1,False,0.67,True,0.5,False,False,44.23,46.37,279,2.0,1.59
AVGO,360.095,0,True,True,1.817744,False,2025-09-15 15:15,False,True,True,2,True,1.0,False,0.33,False,False,356.46,367.37,55,2.0,1.01
ARM,152.5803,0,True,True,0.979961,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,False,False,150.62,156.5,102,2.0,1.28
PLTR,168.085,0,True,True,1.065989,False,2025-09-15 15:15,False,True,True,2,True,1.0,False,0.33,False,False,165.95,172.35,93,2.0,1.27
SNOW,226.2525,0,True,True,1.128607,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,224.0,230.77,88,2.0,1.0
COIN,323.8101,0,True,True,2.40654,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.5,False,False,319.0,333.44,41,2.0,1.49
RBLX,139.105,0,True,True,1.022344,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,137.06,143.19,97,2.0,1.47
CRWD,445.9961,0,True,True,2.443948,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,False,False,441.11,455.77,40,2.0,1.1
ZS,285.45,0,True,True,1.269,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.83,False,False,282.91,290.53,78,2.0,0.89
PANW,200.78,0,True,True,0.883385,False,2025-09-15 15:15,False,False,False,0,True,1.0,True,0.5,False,False,199.01,204.31,113,2.0,0.88
ABNB,120.625,0,False,False,0.533602,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.0,False,False,119.56,122.76,187,2.0,0.88
UBER,97.26,0,True,True,0.561055,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,False,False,96.14,99.5,178,2.0,1.15
SHOP,144.1815,0,True,True,0.709585,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,142.76,147.02,140,2.0,0.98
RIOT,16.635,0,True,True,0.17266,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,16.29,17.33,579,2.0,2.08
MARA,15.845,0,False,False,0.159428,False,2025-09-15 15:15,False,True,False,1,False,0.0,False,0.33,False,False,15.53,16.48,627,2.0,2.01
