symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
TEAM,69.265,2,False,False,0.760669,False,Varsayılan,2026-04-16 17:00,True,False,True,False,1,0.77,12.99,5,2.33,17.48,bullish,2.06,1.5,2.0,2.1,high_liquidity,3,60,-39.22,False,0.67,True,0.5,False,False,67.36,74.21,1000,2.6,2.75,0.5,0.0,0.0
VRSN,276.6,2,True,True,0.918124,True,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.2,1.9,3,0.35,1.9,neutral,2.07,1.5,1.6,2.39,mid_liquidity,3,60,0.82,True,1.0,True,0.67,False,True,275.22,281.19,1000,3.33,0.5,0.5,0.0,0.0
SMCI,28.12,2,False,True,0.228039,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.54,8.28,5,1.85,21.1,neutral,2.4,1.5,2.0,2.66,high_liquidity,3,60,-20.61,False,0.67,True,0.5,False,False,27.78,29.26,1000,3.33,1.22,0.5,0.0,0.0
PTC,137.73,1,False,False,0.694576,False,Varsayılan,2026-04-16 16:45,True,False,False,False,0,0.42,2.62,3,1.09,2.62,neutral,2.0,1.5,2.0,2.01,high_liquidity,3,60,-11.14,False,0.33,True,0.67,False,False,135.99,142.24,1000,2.6,1.26,0.5,0.0,0.0
MTSI,259.54,1,True,True,1.747257,False,Varsayılan,2026-04-16 17:00,True,False,False,True,1,0.37,-1.55,5,0.5,4.78,neutral,2.05,1.5,1.6,2.35,mid_liquidity,3,60,24.09,False,0.67,True,0.5,False,False,256.92,268.28,1000,3.33,1.01,0.5,0.0,0.0
SSNC,71.48,2,False,False,0.249785,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.6,3.31,5,1.41,4.78,neutral,2.25,1.5,2.0,2.41,high_liquidity,3,60,-7.91,False,0.67,True,0.5,False,False,70.86,73.1,1000,2.6,0.87,0.5,0.0,0.0
CHKP,136.185,1,False,False,0.949028,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.69,-4.16,3,-0.72,-4.16,neutral,2.0,1.5,2.0,1.99,high_liquidity,3,60,-14.08,False,0.0,True,0.5,False,False,133.81,142.35,1000,2.6,1.74,0.5,0.0,0.0
CDW,133.04,2,False,True,0.509974,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.39,0.87,1,1.14,2.69,neutral,2.39,1.5,2.0,2.65,high_liquidity,3,60,-11.79,False,0.67,True,0.67,False,False,132.28,135.59,1000,3.33,0.57,0.5,0.0,0.0
TSEM,213.16,0,True,True,2.249042,False,Varsayılan,2026-04-16 17:00,True,False,False,True,1,0.58,1.76,1,-0.41,-1.15,neutral,2.12,1.5,2.0,2.19,high_liquidity,3,60,44.46,True,1.0,False,0.33,False,False,209.79,224.41,1000,3.33,1.58,0.5,0.0,0.0
NVMI,513.0,1,True,True,3.386976,False,Varsayılan,2026-04-16 16:45,False,False,False,True,1,0.38,1.18,1,-0.34,-0.86,neutral,1.84,1.5,1.4,2.13,low_liquidity,3,60,23.24,True,1.0,True,0.5,False,False,507.92,529.93,1000,3.33,0.99,0.5,0.0,0.0
GEN,19.715,2,False,False,0.086369,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.34,4.26,5,1.94,7.32,neutral,2.18,1.5,2.0,2.29,high_liquidity,3,60,-14.73,False,0.33,True,0.67,False,False,19.5,20.28,1000,2.6,1.1,0.5,0.0,0.0
LSCC,110.49,1,True,True,0.763231,False,Varsayılan,2026-04-16 17:00,True,False,False,True,1,0.39,2.53,1,0.33,1.93,neutral,2.1,1.5,2.0,2.16,high_liquidity,3,60,20.77,True,1.0,True,0.5,False,False,109.35,114.31,1000,3.33,1.04,0.5,0.0,0.0
IREN,46.55,2,True,True,0.617127,True,Varsayılan,2026-04-16 17:00,True,False,False,True,1,0.81,8.08,5,1.96,25.61,neutral,2.17,1.5,2.0,2.28,high_liquidity,3,60,9.15,True,1.0,True,0.5,False,True,45.62,49.64,1000,3.33,1.99,0.5,0.0,0.0
LOGI,99.15,2,True,True,0.32123,True,Varsayılan,2026-04-16 17:00,True,False,True,False,1,0.72,5.0,5,2.5,8.88,bullish,1.96,1.5,1.6,2.21,mid_liquidity,3,60,-3.36,True,1.0,True,0.5,False,True,98.67,100.76,1000,3.33,0.49,0.5,0.0,0.0
OKTA,71.71,1,False,False,0.584879,False,Varsayılan,2026-04-16 17:00,True,False,False,False,0,0.65,9.55,1,1.7,6.47,neutral,2.16,1.5,2.0,2.27,high_liquidity,3,60,-9.39,False,0.33,True,0.5,False,False,70.25,75.51,1000,2.6,2.04,0.5,0.0,0.0
