symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
ARWR,61.13,1,True,True,0.401472,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.62,-2.52,5,1.16,5.78,neutral,2.17,1.5,2.0,2.29,high_liquidity,3,60,26.45,False,0.67,True,0.67,False,False,60.53,63.14,1000,3.33,0.99,0.5,0.0,0.0
IBRX,7.0994,1,True,False,0.074094,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.47,-7.69,3,-0.64,-7.69,neutral,2.6,1.5,2.0,3.0,high_liquidity,3,60,53.46,False,0.33,False,0.33,False,False,6.91,7.58,1000,2.6,2.61,0.5,0.0,0.0
PRAX,310.1,2,True,True,2.492311,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.67,-3.75,5,1.17,6.9,neutral,1.79,1.5,1.6,1.92,mid_liquidity,3,60,44.05,False,0.67,True,0.5,False,True,306.36,322.56,1000,3.33,1.21,0.5,0.0,0.0
HALO,63.1,1,False,False,0.279398,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,1.12,-2.4,1,-0.87,-2.19,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,0.73,False,0.0,False,0.33,False,False,62.4,64.92,1000,2.6,1.11,0.5,0.0,0.0
CYTK,64.97,1,True,True,0.331849,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.66,-1.47,1,-1.04,-2.68,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,10.14,False,0.67,False,0.33,False,False,64.47,66.63,1000,3.33,0.77,0.5,0.0,0.0
PCVX,59.83,2,True,True,0.373418,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.75,2.94,5,1.83,12.53,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,9.37,True,1.0,True,0.83,False,True,59.27,61.7,1000,3.33,0.94,0.5,0.0,0.0
ICLR,109.66,1,False,False,0.756921,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.75,-0.94,5,0.82,7.39,neutral,2.3,1.5,1.6,2.77,mid_liquidity,3,60,-22.75,False,0.33,True,0.5,False,False,107.77,114.58,1000,2.6,1.73,0.5,0.0,0.0
KRYS,261.83,2,True,True,1.184591,False,Varsayılan,2026-04-06 19:45,False,False,False,True,1,0.83,1.35,5,1.19,6.69,neutral,2.07,1.5,1.4,2.52,low_liquidity,3,60,15.91,True,1.0,True,0.5,False,True,260.05,267.75,1000,3.33,0.68,0.5,0.0,0.0
RGEN,116.93,2,False,False,0.596297,False,Varsayılan,2026-04-06 19:45,True,False,True,False,1,0.7,-0.74,5,2.4,6.2,bullish,1.99,1.5,1.6,2.25,mid_liquidity,3,60,-7.72,False,0.0,True,0.67,False,False,115.44,120.81,1000,2.6,1.27,0.5,0.0,0.0
BTSG,43.51,2,True,True,0.21701,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.68,2.11,5,0.5,2.79,neutral,2.22,1.5,2.0,2.37,high_liquidity,3,60,21.41,True,1.0,True,0.5,False,True,43.18,44.6,1000,3.33,0.75,0.5,0.0,0.0
NUVL,103.74,2,True,True,0.726255,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,1.08,1.23,5,2.01,7.29,neutral,2.02,1.5,1.6,2.3,mid_liquidity,3,60,6.21,True,1.0,True,0.67,False,True,102.65,107.37,1000,3.33,1.05,0.5,0.0,0.0
KYMR,85.37,2,True,True,0.500434,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.59,2.38,5,1.4,9.1,neutral,1.86,1.5,1.6,2.04,mid_liquidity,3,60,20.56,True,1.0,True,0.5,False,True,84.62,87.87,1000,3.33,0.88,0.5,0.0,0.0
BLTE,172.0,3,True,True,1.810628,False,Varsayılan,2026-04-06 19:45,False,False,True,True,2,1.15,7.36,5,1.93,12.56,bullish,1.9,1.5,1.4,2.23,low_liquidity,3,60,28.38,True,1.0,True,0.67,False,True,169.28,181.05,1000,3.33,1.58,0.5,0.0,0.0
RYTM,86.95,2,False,False,0.569714,False,Varsayılan,2026-04-06 19:45,True,False,True,False,1,0.5,-0.01,5,2.96,14.69,bullish,2.17,1.5,2.0,2.29,high_liquidity,3,60,0.31,False,0.33,True,0.67,False,False,85.53,90.65,1000,2.6,1.64,0.5,0.0,0.0
GRFS,8.235,2,False,False,0.026436,False,Varsayılan,2026-04-06 19:45,True,False,True,False,1,0.56,2.62,5,2.64,9.88,bullish,2.05,1.5,1.6,2.36,mid_liquidity,3,60,-4.31,False,0.67,True,0.67,False,False,8.17,8.41,1000,2.6,0.8,0.5,0.0,0.0
COGT,35.41,1,True,False,0.20864,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.49,-7.98,3,-1.78,-7.98,neutral,2.17,1.5,2.0,2.28,high_liquidity,3,60,31.41,False,0.33,True,0.5,False,False,34.89,36.77,1000,2.6,1.47,0.5,0.0,0.0
PTCT,68.9,2,True,True,0.342101,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.89,1.13,5,1.51,4.19,neutral,1.85,1.5,1.6,2.02,mid_liquidity,3,60,5.6,True,1.0,False,0.33,False,True,68.39,70.61,1000,3.33,0.74,0.5,0.0,0.0
OPCH,27.725,2,False,False,0.10116,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.6,3.01,3,0.92,3.01,neutral,2.34,1.5,2.0,2.57,high_liquidity,3,60,-1.11,False,0.33,True,0.67,False,False,27.47,28.38,1000,2.6,0.91,0.5,0.0,0.0
CAI,19.02,2,False,False,0.130017,False,Varsayılan,2026-04-06 19:45,True,False,True,False,1,0.62,6.32,5,2.31,12.15,bullish,2.14,1.5,2.0,2.24,high_liquidity,3,60,-19.29,False,0.67,False,0.33,False,False,18.69,19.87,1000,2.6,1.71,0.5,0.0,0.0
RDNT,55.06,1,False,False,0.319782,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.78,-1.49,1,0.34,0.49,neutral,2.01,1.5,1.6,2.28,mid_liquidity,3,60,-5.35,False,0.0,False,0.33,False,False,54.26,57.14,1000,2.6,1.45,0.5,0.0,0.0
IMVT,24.91,2,True,False,0.181016,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.88,0.2,5,1.02,3.79,neutral,2.04,1.5,2.0,2.07,high_liquidity,3,60,9.68,False,0.67,True,0.67,False,False,24.46,26.09,1000,2.6,1.82,0.5,0.0,0.0
MIRM,96.28,2,True,True,0.389416,True,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.47,4.18,5,0.98,8.82,neutral,2.19,1.5,2.0,2.32,high_liquidity,3,60,18.46,True,1.0,True,0.83,False,True,95.7,98.23,1000,3.33,0.61,0.5,0.0,0.0
ALKS,34.08,1,True,True,0.152263,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.56,-3.62,5,2.01,15.96,neutral,2.17,1.5,2.0,2.29,high_liquidity,3,60,1.48,False,0.67,False,0.33,False,False,33.85,34.84,1000,3.33,0.67,0.5,0.0,0.0
PTGX,102.95,1,True,True,0.570497,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.66,-2.38,3,-1.08,-2.38,neutral,1.76,1.5,1.6,1.86,mid_liquidity,3,60,20.39,False,0.67,True,0.5,False,False,101.52,106.66,1000,2.6,1.39,0.5,0.0,0.0
CRSP,49.13,2,False,False,0.299163,False,Varsayılan,2026-04-06 19:45,True,False,False,False,0,0.79,3.32,5,1.12,7.43,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,-3.29,False,0.33,False,0.33,False,False,48.38,51.07,1000,2.6,1.52,0.5,0.0,0.0
SHC,14.87,2,False,False,0.062003,False,Varsayılan,2026-04-06 19:45,True,False,True,False,1,1.1,3.7,5,2.96,13.25,bullish,2.14,1.5,2.0,2.23,high_liquidity,3,60,-1.4,False,0.67,False,0.33,False,False,14.71,15.27,1000,2.6,1.04,0.5,0.0,0.0
LNTH,75.87,1,True,True,0.316912,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.45,0.05,5,0.24,1.91,neutral,1.85,1.5,1.6,2.02,mid_liquidity,3,60,4.25,True,1.0,False,0.33,False,False,75.08,77.93,1000,2.6,1.04,0.5,0.0,0.0
SRRK,48.8,1,True,True,0.349302,False,Varsayılan,2026-04-06 19:45,True,False,False,True,1,0.62,-0.71,5,2.03,14.58,neutral,2.19,1.5,2.0,2.32,high_liquidity,3,60,12.39,False,0.67,False,0.33,False,False,48.28,50.55,1000,3.33,1.07,0.5,0.0,0.0
