symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
MSFT,509.62,3,False,True,1.033284,False,2025-09-23 19:45,True,True,False,False,1,1.94,0.25,0.2,False,0.33,True,0.67,True,False,507.55,513.75,96,2.0,0.41
PFE,24.14,3,False,False,0.065967,False,2025-09-23 19:45,True,True,False,False,1,2.7,-0.14,-0.09,False,0.0,True,0.67,False,False,24.01,24.4,1515,2.0,0.55
MRK,79.96,3,False,False,0.231744,False,2025-09-23 19:45,True,True,False,False,1,3.03,-0.15,-1.23,False,0.0,False,0.33,False,False,79.5,80.89,431,2.0,0.58
META,755.231,2,False,False,2.674322,False,2025-09-23 19:45,True,True,False,False,1,1.67,0.32,-0.38,False,0.0,False,0.17,False,False,749.88,765.93,37,2.0,0.71
ASST,3.3496,2,False,False,0.065196,False,2025-09-23 19:45,True,False,False,False,0,0.86,0.0,-21.33,False,0.0,True,0.5,False,False,3.22,3.61,1533,2.0,3.89
ARM,140.98,2,False,False,0.590639,False,2025-09-23 19:45,True,True,False,False,1,1.89,0.25,-2.03,False,0.0,False,0.17,False,False,139.8,143.34,169,2.0,0.84
CRM,244.55,2,False,False,0.87828,False,2025-09-23 19:45,False,True,False,False,1,2.47,-0.34,0.39,False,0.0,True,0.5,False,False,242.79,248.06,113,2.0,0.72
OKTA,92.21,2,True,True,0.395012,False,2025-09-23 19:45,False,True,False,False,1,1.71,-0.11,0.81,False,0.67,True,0.5,False,False,91.42,93.79,253,2.0,0.86
DDOG,137.46,2,True,True,0.624619,False,2025-09-23 19:45,False,True,False,False,1,3.33,-0.07,0.58,False,0.67,True,0.5,False,False,136.21,139.96,160,2.0,0.91
MDB,319.11,2,False,True,1.50094,False,2025-09-23 19:45,False,True,False,False,1,2.43,-0.03,-0.3,False,0.33,True,0.5,False,False,316.11,325.11,66,2.0,0.94
COIN,320.14,2,False,False,2.062829,False,2025-09-23 19:45,True,True,False,False,1,1.52,0.17,-0.12,False,0.0,False,0.33,False,False,316.01,328.39,48,2.0,1.29
ZS,289.29,2,True,True,1.173645,False,2025-09-23 19:45,False,True,False,False,1,2.46,-0.39,1.13,False,0.67,True,0.5,False,False,286.94,293.98,85,2.0,0.81
PANW,203.28,2,False,True,0.675559,False,2025-09-23 19:45,True,True,False,False,1,2.79,0.03,0.79,False,0.33,True,0.5,False,False,201.93,205.98,148,2.0,0.66
ABNB,123.495,2,False,False,0.498025,False,2025-09-23 19:45,False,True,False,False,1,2.27,0.05,0.35,False,0.0,True,0.5,False,False,122.5,125.49,200,2.0,0.81
SHOP,149.92,2,False,True,0.860706,False,2025-09-23 19:45,True,True,False,False,1,2.1,0.24,1.45,False,0.33,True,0.5,False,False,148.2,153.36,116,2.0,1.15
MRNA,25.78,2,True,True,0.185318,False,2025-09-23 19:45,True,True,False,False,1,1.92,0.19,2.47,False,0.67,True,0.5,False,False,25.41,26.52,539,2.0,1.44
ABBV,222.64,2,True,True,0.687811,False,2025-09-23 19:45,False,True,False,False,1,3.59,0.0,1.18,False,0.67,True,0.5,False,False,221.26,225.39,145,2.0,0.62
TMO,469.82,2,False,False,1.669011,False,2025-09-23 19:45,False,True,False,False,1,3.03,-0.57,-0.77,False,0.0,False,0.17,False,False,466.48,476.5,59,2.0,0.71
JPM,312.75,2,True,True,0.74775,False,2025-09-23 19:45,False,True,False,False,1,3.22,0.36,0.81,True,1.0,False,0.33,False,False,311.25,315.74,133,2.0,0.48
BAC,51.705,2,True,True,0.139756,False,2025-09-23 19:45,True,True,False,False,1,2.69,0.25,0.82,False,0.67,False,0.33,False,False,51.43,52.26,715,2.0,0.54
WFC,84.37,2,True,True,0.292181,False,2025-09-23 19:45,True,True,False,False,1,2.6,0.27,1.72,False,0.67,False,0.33,False,False,83.79,85.54,342,2.0,0.69
C,103.04,2,True,True,0.386653,False,2025-09-23 19:45,True,True,False,False,1,1.72,0.35,1.72,False,0.67,False,0.33,False,False,102.27,104.59,258,2.0,0.75
SCHW,93.92,2,True,False,0.21511,False,2025-09-23 19:45,False,True,False,False,1,3.08,0.26,0.54,False,0.67,True,0.67,False,False,93.49,94.78,464,2.0,0.46
V,338.85,2,False,False,0.97863,False,2025-09-23 19:45,False,True,False,False,1,3.24,0.25,-0.21,False,0.0,False,0.33,False,False,336.89,342.76,102,2.0,0.58
SPY,663.25,2,True,True,0.732323,False,2025-09-23 19:45,True,False,False,False,0,1.07,0.14,0.46,False,0.67,False,0.33,True,False,661.79,666.18,136,2.0,0.22
XLV,136.945,2,False,True,0.18785,False,2025-09-23 19:45,True,True,False,False,1,3.06,0.03,-0.19,False,0.33,True,0.67,False,False,136.57,137.7,532,2.0,0.27
DIA,462.94,2,True,True,0.592837,False,2025-09-23 19:45,False,True,False,False,1,1.97,0.1,0.37,False,0.67,False,0.33,False,False,461.75,465.31,168,2.0,0.26
XLK,280.18,2,True,True,0.464569,False,2025-09-23 19:45,True,True,False,False,1,2.37,0.17,1.53,True,1.0,False,0.33,False,False,279.25,282.04,215,2.0,0.33
XLF,53.75,2,False,True,0.096686,False,2025-09-23 19:45,True,True,False,False,1,3.51,0.22,0.07,False,0.33,False,0.33,False,False,53.56,54.14,1034,2.0,0.36
XLI,153.04,2,True,True,0.254352,False,2025-09-23 19:45,True,True,False,False,1,3.17,0.16,0.32,True,1.0,True,0.67,False,False,152.53,154.06,393,2.0,0.33
INTC,29.35,2,True,True,0.196948,False,2025-09-23 19:45,True,False,False,True,1,1.11,-0.17,5.33,True,1.0,False,0.33,False,False,28.96,30.14,507,2.0,1.34
REGN,567.96,2,False,False,2.278082,False,2025-09-23 19:45,False,True,False,False,1,2.5,-0.13,-0.4,False,0.0,False,0.33,False,False,563.4,577.07,43,2.0,0.8
BMY,44.9,2,False,False,0.139344,False,2025-09-23 19:45,True,True,False,False,1,4.13,-0.14,-1.37,False,0.0,False,0.33,False,False,44.62,45.46,717,2.0,0.62
ZTS,142.61,2,False,False,0.539061,False,2025-09-23 19:45,False,True,False,False,1,2.96,0.34,-1.75,False,0.0,False,0.33,False,False,141.53,144.77,185,2.0,0.76
USB,49.36,2,False,True,0.124732,False,2025-09-23 19:45,False,True,False,False,1,3.56,0.32,0.15,False,0.33,False,0.33,False,False,49.11,49.86,801,2.0,0.51
NKE,70.945,2,False,False,0.209278,False,2025-09-23 19:45,False,True,False,False,1,3.51,-0.15,-1.05,False,0.0,False,0.33,False,False,70.53,71.78,477,2.0,0.59
BKNG,5517.5801,2,True,False,13.006219,False,2025-09-23 19:45,False,True,False,False,1,2.79,0.66,-0.24,False,0.67,True,0.83,False,False,5491.57,5569.6,7,2.0,0.47
CMG,39.675,2,True,False,0.130177,False,2025-09-23 19:45,True,True,False,False,1,3.33,-0.19,0.46,False,0.33,True,0.5,False,False,39.41,40.2,768,2.0,0.66
ETN,368.47,2,False,True,1.667281,False,2025-09-23 19:45,False,True,False,False,1,3.26,0.18,0.63,False,0.33,True,0.5,False,False,365.14,375.14,59,2.0,0.9
EFA,93.13,2,True,True,0.089099,False,2025-09-23 19:45,True,True,False,False,1,3.18,0.1,0.13,False,0.67,False,0.33,False,False,92.95,93.49,1122,2.0,0.19
TNGX,7.28,2,False,True,0.090531,False,2025-09-23 19:45,False,True,True,False,2,3.56,2.97,0.07,False,0.33,True,0.5,False,False,7.1,7.64,1104,2.0,2.49
HYG,81.25,2,True,True,0.029672,False,2025-09-23 19:45,True,True,False,False,1,2.43,0.04,0.12,False,0.67,False,0.33,False,False,81.19,81.37,3370,2.0,0.07
TSLA,425.83,1,True,True,2.742383,False,2025-09-23 19:45,True,False,False,True,1,1.06,-0.43,3.5,False,0.67,False,0.0,False,False,420.35,436.8,36,2.0,1.29
AMZN,220.74,1,False,False,0.69615,False,2025-09-23 19:45,True,True,False,False,1,1.55,-0.04,-1.96,False,0.0,False,0.17,False,False,219.35,223.52,143,2.0,0.63
NVDA,178.45,1,True,True,0.8769,False,2025-09-23 19:45,True,False,False,False,0,1.14,0.14,1.23,False,0.67,False,0.33,True,False,176.7,181.96,114,2.0,0.98
AAPL,254.53,1,True,True,0.696653,False,2025-09-23 19:45,True,False,False,True,1,1.41,0.27,3.44,True,1.0,True,0.5,True,False,253.14,257.32,143,2.0,0.55
GOOGL,251.68,1,True,True,0.753406,False,2025-09-23 19:45,True,True,False,False,1,1.76,0.28,1.27,False,0.67,False,0.33,True,False,250.17,254.69,132,2.0,0.6
NFLX,1218.5,1,False,False,3.642962,False,2025-09-23 19:45,False,False,False,False,0,1.45,0.21,-0.0,False,0.0,True,0.67,False,False,1211.21,1233.07,27,2.0,0.6
SMCI,46.98,1,True,True,0.408019,False,2025-09-23 19:45,True,False,False,False,0,1.03,0.7,2.45,True,1.0,True,0.67,False,False,46.16,48.61,245,2.0,1.74
AMD,160.919,1,True,True,0.833779,False,2025-09-23 19:45,True,False,False,False,0,0.88,0.3,0.82,True,1.0,True,0.83,False,False,159.25,164.25,119,2.0,1.04
AVGO,338.96,1,False,True,1.58314,False,2025-09-23 19:45,True,False,False,False,0,1.33,0.25,-1.15,False,0.33,False,0.33,False,False,335.79,345.29,63,2.0,0.93
PLTR,182.56,1,True,True,1.329932,False,2025-09-23 19:45,True,False,False,True,1,1.01,-0.36,3.11,True,1.0,True,0.67,False,False,179.9,187.88,75,2.0,1.46
