symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
AVGO,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.1,-0.17,2.58,True,1.0,True,0.67,False,False,230.13,234.45,138,2.0,0.62
SMCI,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.1,-0.17,2.58,True,1.0,True,0.5,False,False,230.13,234.45,138,2.0,0.62
GOOGL,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.1,-0.17,2.58,True,1.0,True,0.67,True,False,230.13,234.45,138,2.0,0.62
AMD,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,False,False,230.13,234.45,138,2.0,0.62
NFLX,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,False,False,230.13,234.45,138,2.0,0.62
TSLA,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,False,False,230.13,234.45,138,2.0,0.62
NVDA,231.57,0,True,True,0.719899,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,True,False,230.13,234.45,138,2.0,0.62
PANW,153.1319,0,True,True,0.778281,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,False,False,151.58,156.25,128,2.0,1.02
UBER,153.1319,0,True,True,0.778281,False,2025-09-15 17:30,False,False,False,0,0.03,0.22,-0.52,True,1.0,True,0.5,False,False,151.58,156.25,128,2.0,1.02
MARA,511.77,0,True,True,1.213984,False,2025-09-15 17:30,False,False,False,0,0.15,-0.27,1.13,True,1.0,True,0.5,False,False,509.34,516.63,82,2.0,0.47
ZS,153.1319,0,True,True,0.778281,False,2025-09-15 17:30,False,False,False,0,0.15,-0.27,1.13,True,1.0,True,0.67,False,False,151.58,156.25,128,2.0,1.02
RIOT,511.77,0,True,True,1.213984,False,2025-09-15 17:30,False,False,False,0,0.15,-0.27,1.13,True,1.0,True,0.5,False,False,509.34,516.63,82,2.0,0.47
SHOP,153.1319,0,True,True,0.778281,False,2025-09-15 17:30,False,False,False,0,0.03,0.52,-0.14,True,1.0,True,0.67,False,False,151.58,156.25,128,2.0,1.02
RIVN,177.4166,0,True,True,1.315643,False,2025-09-15 17:30,False,False,True,1,0.02,-1.01,7.79,False,0.67,True,0.67,False,False,174.79,182.68,76,2.0,1.48
ORCL,199.595,0,True,True,0.720136,False,2025-09-15 17:30,False,False,True,1,0.02,-1.01,7.79,True,1.0,True,0.67,False,False,198.15,202.48,138,2.0,0.72
ADBE,362.56,0,False,False,3.868066,False,2025-09-15 17:30,False,False,False,0,0.04,-1.03,0.6,False,0.33,True,0.5,False,False,354.82,378.03,25,2.0,2.13
WDAY,45.16,0,True,False,0.624907,False,2025-09-15 17:30,False,True,False,1,0.01,2.19,2.52,False,0.67,False,0.33,False,False,43.91,47.66,160,2.0,2.77
FTNT,766.74,0,True,False,5.385046,False,2025-09-15 17:30,False,True,False,1,0.01,2.19,2.52,False,0.33,False,0.33,False,False,755.97,788.28,18,2.0,1.4
ZM,766.74,0,True,False,5.385046,False,2025-09-15 13:30,False,True,False,1,0.01,2.19,2.52,False,0.33,False,0.33,False,False,755.97,788.28,18,2.0,1.4
VEEV,98.35,0,True,False,0.476581,False,2025-09-15 17:30,False,True,False,1,0.01,2.19,2.52,False,0.33,False,0.17,False,False,97.4,100.26,209,2.0,0.97
NOW,766.74,0,True,False,5.385046,False,2025-09-15 17:30,False,True,False,1,0.01,2.19,2.52,False,0.33,False,0.33,False,False,755.97,788.28,18,2.0,1.4
DDOG,766.74,0,True,False,5.385046,False,2025-09-15 17:30,False,True,False,1,0.01,2.19,2.52,False,0.33,False,0.33,False,False,755.97,788.28,18,2.0,1.4
MSTR,177.4166,0,True,True,1.315643,False,2025-09-15 13:30,False,False,True,1,0.19,-0.5,7.97,False,0.67,True,0.67,False,False,174.79,182.68,76,2.0,1.48
MDB,418.1356,0,True,True,6.348952,False,2025-09-15 17:30,False,False,True,1,0.19,-0.5,7.97,False,0.67,True,0.67,False,False,405.44,443.53,15,2.0,3.04
SAP,15.6668,0,True,True,0.26587,False,2025-09-15 13:30,False,False,True,1,0.19,-0.5,7.97,False,0.67,True,0.5,False,False,15.14,16.73,376,2.0,3.39
TXN,45.16,0,True,True,1.199738,False,2025-09-15 17:30,False,False,False,0,0.04,0.18,1.32,False,0.67,True,1.0,False,False,42.76,49.96,83,2.0,5.31
TSM,299.49,0,True,True,2.285064,False,2025-09-15 17:30,False,False,False,0,0.04,0.18,1.32,True,1.0,True,0.5,False,False,294.92,308.63,43,2.0,1.53
INTC,147.37,0,True,True,1.369438,False,2025-09-15 13:30,False,False,True,1,0.23,-0.78,6.36,False,0.67,True,0.83,False,False,144.63,152.85,73,2.0,1.86
MU,147.37,0,True,False,1.369438,False,2025-09-15 17:30,False,False,False,0,0.01,1.52,3.6,False,0.5,True,0.5,False,False,144.63,152.85,73,2.0,1.86
QCOM,147.37,0,True,True,1.369438,False,2025-09-15 13:30,False,False,False,0,0.0,0.5,6.95,False,0.5,True,0.5,False,False,144.63,152.85,73,2.0,1.86
UNH,299.49,0,True,True,2.285064,False,2025-09-15 13:30,False,False,False,0,0.0,0.5,6.95,True,1.0,True,0.5,False,False,294.92,308.63,43,2.0,1.53
MRNA,299.49,0,True,True,2.285064,False,2025-09-15 13:30,False,False,False,0,0.0,0.5,6.95,True,1.0,True,0.5,False,False,294.92,308.63,43,2.0,1.53
BNTX,299.49,0,True,True,2.285064,False,2025-09-15 13:30,False,False,False,0,0.0,0.5,6.95,True,1.0,True,0.5,False,False,294.92,308.63,43,2.0,1.53
LLY,766.465,0,False,False,9.419597,False,2025-09-15 17:30,False,False,False,0,0.01,-1.98,-3.16,False,0.5,True,1.0,False,False,747.63,804.14,10,2.0,2.46
MRK,766.465,0,False,False,9.419597,False,2025-09-15 17:30,False,False,False,0,0.01,-1.98,-3.16,False,0.5,True,1.0,False,False,747.63,804.14,10,2.0,2.46
ISRG,766.465,0,False,False,9.419597,False,2025-09-15 13:30,False,False,False,0,0.01,-1.98,-3.16,False,0.5,True,1.0,False,False,747.63,804.14,10,2.0,2.46
ASML,299.49,0,False,False,2.285064,False,2025-09-15 17:30,False,False,False,0,0.01,-1.98,-3.16,False,0.5,True,0.67,False,False,294.92,308.63,43,2.0,1.53
ABBV,766.465,0,False,True,9.419597,False,2025-09-15 13:30,False,False,False,0,0.01,-1.98,-3.16,True,1.0,True,0.67,False,False,747.63,804.14,10,2.0,2.46
TMO,285.955,0,True,False,2.540872,False,2025-09-15 17:30,False,False,True,1,0.59,0.49,12.24,False,0.67,False,0.33,False,False,280.87,296.12,39,2.0,1.78
