symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
CAT,900.56,1,True,True,3.530665,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.46,-0.45,3,-0.38,-0.45,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,24.31,False,0.67,True,0.5,False,False,895.26,918.21,1000,3.33,0.59,0.5,0.0,0.0,51
DE,575.86,1,True,False,1.833448,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.44,0.01,1,-0.3,-0.81,neutral,2.04,1.5,1.6,2.33,mid_liquidity,3,60,8.82,False,0.33,False,0.33,False,False,571.28,587.78,1000,2.6,0.8,0.5,0.0,0.0,35
EMR,141.13,1,True,True,0.660881,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.46,1.99,5,0.74,2.68,neutral,2.12,1.5,2.0,2.2,high_liquidity,3,60,2.91,False,0.67,True,0.83,False,False,139.48,145.43,1000,2.6,1.17,0.5,0.0,0.0,44
SWK,80.9978,2,True,True,0.307803,True,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.3,4.57,3,1.1,4.57,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,1.01,True,1.0,True,0.67,False,True,80.54,82.54,1000,3.33,0.57,0.5,0.0,0.0,51
GPC,105.65,1,False,False,0.374658,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.3,1.3,3,0.58,1.3,neutral,2.44,1.5,2.0,2.74,high_liquidity,3,60,-8.07,False,0.33,True,0.83,False,False,104.71,108.09,1000,2.6,0.89,0.5,0.0,0.0,18
SYY,72.84,1,False,False,0.262772,False,Varsayılan,2026-05-08 18:15,True,False,False,False,0,0.29,0.0,3,0.21,0.0,neutral,2.39,1.5,2.0,2.65,high_liquidity,3,60,-0.71,False,0.0,False,0.33,False,False,72.18,74.55,1000,2.6,0.9,0.5,0.0,0.0,9
ADM,77.65,1,True,True,0.347928,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.29,-1.94,3,-0.81,-1.94,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,11.47,True,1.0,True,0.67,False,False,77.13,79.39,1000,3.33,0.67,0.5,0.0,0.0,56
NUE,228.3,0,True,True,0.67963,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.24,-1.62,3,-0.7,-1.62,neutral,2.02,1.5,2.0,2.03,high_liquidity,3,60,17.03,False,0.67,True,0.5,False,False,227.28,231.7,1000,3.33,0.45,0.5,0.0,0.0,46
AGNC,10.87,1,True,True,0.02807,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.62,1.4,1,0.92,1.4,neutral,2.0,1.5,2.0,2.0,high_liquidity,3,60,6.13,True,1.0,True,0.5,False,False,10.8,11.05,1000,2.6,0.65,0.5,0.0,0.0,55
NLY,22.59,1,True,True,0.041749,False,Varsayılan,2026-05-08 18:15,True,False,False,True,1,0.42,0.94,1,0.64,0.94,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,6.09,True,1.0,True,0.67,False,False,22.49,22.86,1000,2.6,0.46,0.5,0.0,0.0,56
