symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
CME,290.75,2,True,False,0.860943,False,Varsayılan,2026-05-04 17:15,True,False,False,True,1,0.29,1.21,5,1.03,3.12,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,5.56,False,0.67,True,0.83,False,False,288.6,296.35,1000,2.6,0.74,0.5,0.0,0.0
HOOD,77.34,1,False,False,0.735107,False,Varsayılan,2026-05-04 17:15,True,False,False,False,0,0.63,8.6,3,1.07,8.6,neutral,2.28,1.5,2.0,2.47,high_liquidity,3,60,-11.58,False,0.33,True,0.67,False,False,75.5,82.12,1000,2.6,2.38,0.5,0.0,0.0
HBANL,25.52,1,True,True,0.057407,False,Varsayılan,2026-05-04 17:00,False,False,False,False,0,0.65,0.2,1,-0.28,-0.12,neutral,2.04,1.5,1.4,2.46,low_liquidity,3,60,1.77,True,1.0,True,0.5,False,False,25.38,25.89,1000,2.6,0.56,0.5,0.0,0.0
HBANM,22.25,1,True,True,0.05804,False,Varsayılan,2026-05-04 16:15,False,False,False,False,0,0.49,0.72,3,0.6,0.72,neutral,1.82,1.5,1.4,2.1,low_liquidity,3,60,0.1,True,1.0,True,0.5,False,False,22.16,22.54,1000,3.33,0.39,0.5,0.0,0.0
NDAQ,92.485,2,True,True,0.309578,True,Varsayılan,2026-05-04 17:15,True,False,False,False,0,0.26,1.33,1,0.61,1.28,neutral,2.25,1.5,2.0,2.42,high_liquidity,3,60,0.24,True,1.0,True,0.67,False,True,92.02,94.03,1000,3.33,0.5,0.5,0.0,0.0
COIN,204.8721,2,False,True,2.287891,False,Varsayılan,2026-05-04 17:15,True,False,False,False,0,0.78,12.73,3,1.48,12.73,neutral,2.08,1.5,2.0,2.13,high_liquidity,3,60,-17.2,False,0.67,True,0.5,False,False,201.44,216.31,1000,3.33,1.68,0.5,0.0,0.0
HBANZ,21.1,2,True,True,0.051714,False,Varsayılan,2026-05-04 16:30,False,False,False,False,0,0.11,2.0,3,1.47,2.0,neutral,1.97,1.5,1.4,2.35,low_liquidity,3,60,-0.31,True,1.0,True,0.5,False,False,21.02,21.36,1000,3.33,0.37,0.5,0.0,0.0
HBAN,16.245,1,False,False,0.061483,False,Varsayılan,2026-05-04 17:15,True,False,False,False,0,0.4,-0.4,1,-1.2,-2.32,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,0.43,False,0.0,False,0.17,False,False,16.09,16.64,1000,2.6,0.95,0.5,0.0,0.0
HBANP,17.025,1,False,False,0.03429,False,Varsayılan,2026-05-04 16:30,False,False,False,False,0,0.64,0.98,3,1.22,0.98,neutral,1.77,1.5,1.4,2.01,low_liquidity,3,60,-0.33,False,0.33,True,0.5,False,False,16.94,17.25,1000,2.6,0.5,0.5,0.0,0.0
ACGL,93.54,1,False,False,0.272487,False,Varsayılan,2026-05-04 17:15,True,False,False,False,0,0.46,0.88,5,-1.14,-2.92,neutral,2.03,1.5,2.0,2.05,high_liquidity,3,60,1.58,False,0.0,False,0.33,False,False,92.86,95.31,1000,2.6,0.73,0.5,0.0,0.0
