symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
CDW,103.76,0,False,False,0.958582,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.16,-4.81,5,-3.08,-23.31,bearish,2.49,1.5,2.0,2.81,high_liquidity,3,60,-9.89,False,0.0,False,0.33,False,False,101.36,109.99,1000,2.6,2.31,0.5,0.0,0.0,4
TSEM,219.65,1,True,True,2.855284,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.49,1.28,1,0.63,4.09,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,46.16,True,1.0,True,0.83,False,False,212.51,238.21,1000,2.6,3.25,0.5,0.0,0.0,58
NVMI,513.19,1,True,True,4.791857,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.19,-3.99,3,-0.97,-3.99,neutral,1.94,1.5,1.6,2.17,mid_liquidity,3,60,23.85,False,0.67,True,0.5,False,False,501.21,544.34,1000,2.6,2.33,0.5,0.0,0.0,51
GEN,22.08,2,False,True,0.213803,False,Varsayılan,2026-05-11 14:45,True,False,True,False,1,0.2,12.88,3,2.78,12.88,bullish,2.2,1.5,2.0,2.33,high_liquidity,3,60,-14.28,False,0.67,True,0.5,False,False,21.76,23.15,1000,3.33,1.45,0.5,0.0,0.0,46
LSCC,128.37,2,True,True,1.25623,True,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.17,2.54,3,0.2,2.54,neutral,2.01,1.5,2.0,2.01,high_liquidity,3,60,26.39,True,1.0,True,0.83,False,True,126.49,134.65,1000,3.33,1.47,0.5,0.0,0.0,64
LOGI,109.83,1,True,True,0.520362,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.2,6.2,5,1.83,8.21,neutral,2.11,1.5,2.0,2.19,high_liquidity,3,60,-0.12,True,1.0,True,0.5,False,False,109.05,112.43,1000,3.33,0.71,0.5,0.0,0.0,44
TTD,21.375,1,False,False,0.37622,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.4,-11.0,1,-1.75,-7.41,neutral,2.22,1.5,2.0,2.36,high_liquidity,3,60,-38.56,False,0.0,False,0.0,False,False,20.43,23.82,1000,2.6,4.4,0.5,0.0,0.0,5
JKHY,144.66,1,False,False,0.792394,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.13,1.25,5,-1.09,-5.15,neutral,2.01,1.5,1.6,2.28,mid_liquidity,3,60,-5.23,False,0.0,False,0.33,False,False,142.68,149.81,1000,2.6,1.37,0.5,0.0,0.0,9
TTMI,161.18,1,True,True,1.92328,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.18,-2.1,3,-0.59,-2.1,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,43.76,True,1.0,True,0.5,False,False,158.3,170.8,1000,3.33,1.79,0.5,0.0,0.0,55
RMBS,132.69,1,True,True,1.852552,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.17,1.91,5,1.36,18.86,neutral,2.14,1.5,2.0,2.24,high_liquidity,3,60,16.99,True,1.0,True,0.83,False,False,128.06,144.73,1000,2.6,3.49,0.5,0.0,0.0,58
