symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,175.23,0,True,True,0.669389,False,2025-09-15 15:00,False,True,True,2,False,0.67,False,0.33,True,False,173.89,177.91,149,2.0,0.76
TSLA,419.315,0,True,True,4.69332,False,2025-09-15 15:00,True,True,True,3,True,1.0,True,0.5,False,False,409.93,438.09,21,2.0,2.24
GOOGL,248.11,0,True,True,1.422232,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.67,True,False,245.27,253.8,70,2.0,1.15
META,764.11,0,True,True,3.04172,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.83,False,False,758.03,776.28,32,2.0,0.8
AMZN,233.4001,0,True,True,0.90612,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.67,False,False,231.59,237.02,110,2.0,0.78
AAPL,236.6,0,True,True,0.862315,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.5,True,False,234.88,240.05,115,2.0,0.73
MSFT,513.48,0,True,True,1.452577,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.67,True,False,510.57,519.29,68,2.0,0.57
NFLX,1195.089,0,True,False,5.12982,False,2025-09-15 15:00,False,False,True,1,False,0.33,True,0.67,False,False,1184.83,1215.61,19,2.0,0.86
AMD,159.93,0,True,False,0.92203,False,2025-09-15 15:00,False,False,True,1,False,0.67,True,1.0,False,False,158.09,163.62,108,2.0,1.15
COIN,324.61,0,True,True,2.386155,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.67,False,False,319.84,334.15,41,2.0,1.47
RBLX,139.22,0,True,True,1.062755,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.67,False,False,137.09,143.47,94,2.0,1.53
CRWD,444.4,0,True,True,2.502948,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.67,False,False,439.39,454.41,39,2.0,1.13
ZS,285.135,0,True,True,1.299693,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.67,False,False,282.54,290.33,76,2.0,0.91
PANW,200.61,0,True,True,0.889854,False,2025-09-15 15:00,False,False,False,0,True,1.0,True,0.5,False,False,198.83,204.17,112,2.0,0.89
ABNB,120.955,0,False,False,0.54495,False,2025-09-15 15:00,False,False,False,0,False,0.0,False,0.0,False,False,119.87,123.13,183,2.0,0.9
UBER,97.55,0,True,True,0.567675,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.83,False,False,96.41,99.82,176,2.0,1.16
SHOP,144.6,0,True,True,0.721438,False,2025-09-15 15:00,False,False,True,1,True,1.0,True,0.83,False,False,143.16,147.49,138,2.0,1.0
CRM,241.64,0,False,False,1.059567,False,2025-09-15 15:00,False,False,False,0,False,0.0,False,0.0,False,False,239.52,245.88,94,2.0,0.88
ORCL,301.505,0,True,True,2.972174,False,2025-09-15 15:00,False,True,True,2,True,1.0,True,0.67,False,False,295.56,313.39,33,2.0,1.97
