symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
SNES,1.779,3,False,True,0.04406,False,Varsayılan,2026-05-08 18:30,False,True,True,False,2,2.34,24.41,3,2.45,24.41,bullish,2.33,1.5,1.4,2.95,low_liquidity,3,60,-30.1,False,0.67,True,0.67,False,False,1.71,2.0,1000,3.33,3.72,0.5,0.0,0.0,64
PETZ,0.97,2,False,False,0.014527,False,Varsayılan,2026-05-07 19:00,False,False,False,False,0,1.45,-1.92,1,-0.51,-2.02,neutral,1.8,1.5,1.4,2.07,low_liquidity,3,60,-0.31,False,0.0,False,0.17,False,False,0.93,1.06,1000,2.6,3.74,0.5,0.0,0.0,13
FGI,6.295,1,True,True,0.13218,False,Varsayılan,2026-05-08 18:15,False,False,False,True,1,0.42,-17.5,5,-0.83,-25.37,neutral,2.33,1.5,1.4,2.96,low_liquidity,3,60,11.84,False,0.33,False,0.33,False,False,5.96,7.15,1000,2.6,5.25,0.5,0.0,0.0,46
CENN,4.11,2,False,False,0.042452,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.22,2.49,1,0.54,2.49,neutral,2.33,1.5,1.4,2.95,low_liquidity,3,60,-66.3,False,0.33,True,0.67,False,False,4.0,4.39,1000,2.6,2.58,0.5,0.0,0.0,22
WETO,0.517,1,False,False,0.015411,False,Varsayılan,2026-05-08 17:45,False,False,False,False,0,0.36,3.4,1,1.19,14.89,neutral,1.9,1.5,1.4,2.23,low_liquidity,3,60,-53.25,False,0.67,True,0.67,False,False,0.48,0.62,1000,2.6,7.45,0.5,0.0,0.0,20
SKYQ,3.9801,1,False,False,0.09134,False,Varsayılan,2026-05-08 18:30,False,False,False,True,1,0.44,-23.16,5,-0.87,-32.54,neutral,2.41,1.5,2.0,2.68,high_liquidity,3,60,6.13,False,0.0,False,0.33,False,False,3.75,4.57,1000,2.6,5.74,0.5,0.0,0.0,20
GURE,3.485,1,False,False,0.161757,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,0.23,1.31,1,-0.35,-3.46,neutral,2.18,1.5,1.4,2.7,low_liquidity,3,60,-10.51,False,0.0,False,0.33,False,False,3.08,4.54,1000,2.6,11.6,0.5,0.0,0.0,9
ETS,0.558,1,False,False,0.010906,False,Varsayılan,2026-05-08 17:15,False,False,False,False,0,0.51,-4.29,3,-0.57,-4.29,neutral,2.31,1.5,1.4,2.92,low_liquidity,3,60,-45.96,False,0.0,False,0.33,False,False,0.53,0.63,1000,2.6,4.89,0.5,0.0,0.0,9
INHD,1.61,1,False,False,0.039989,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,0.06,-19.9,5,0.82,4.55,neutral,2.44,1.5,2.0,2.73,high_liquidity,3,60,-95.91,False,0.0,False,0.33,False,False,1.51,1.87,1000,2.6,6.21,0.5,0.0,0.0,9
YHGJ,3.5,2,False,True,0.086113,False,Varsayılan,2026-05-07 19:15,False,False,True,False,1,0.36,12.18,5,2.96,29.15,bullish,1.96,1.5,1.4,2.33,low_liquidity,3,60,-30.5,False,0.67,True,0.83,False,False,3.37,3.93,1000,3.33,3.69,0.5,0.0,0.0,49
JYD,4.81,1,False,True,0.137842,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.1,5.95,5,-0.84,-7.32,neutral,2.2,1.5,1.4,2.74,low_liquidity,3,60,-68.96,False,0.67,True,0.67,False,False,4.6,5.5,1000,3.33,4.3,0.5,0.0,0.0,31
HXHX,0.4522,1,False,False,0.00684,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,0.88,-9.56,5,-1.32,-22.03,neutral,2.15,1.5,1.4,2.65,low_liquidity,3,60,-38.02,False,0.0,False,0.17,False,False,0.44,0.5,1000,2.6,3.78,0.5,0.0,0.0,7
INLF,4.29,2,False,False,0.13447,False,Varsayılan,2026-05-08 18:00,False,False,True,False,1,0.12,3.87,5,2.5,34.48,bullish,2.06,1.5,1.4,2.5,low_liquidity,3,60,-60.81,False,0.67,True,0.5,False,False,3.95,5.16,1000,2.6,7.84,0.5,0.0,0.0,35
VEEE,6.305,2,False,False,0.198223,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,0.08,-2.1,5,0.77,0.83,neutral,2.21,1.5,1.6,2.61,mid_liquidity,3,60,-72.96,False,0.0,True,0.67,False,False,5.81,7.59,1000,2.6,7.86,0.5,0.0,0.0,18
CNEY,0.745,2,False,True,0.020612,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,1.45,2.48,1,0.5,5.52,neutral,1.97,1.5,1.4,2.34,low_liquidity,3,60,-61.18,False,0.67,True,0.5,False,False,0.71,0.85,1000,3.33,4.15,0.5,0.0,0.0,35
SKK,5.71,2,True,True,0.183223,True,Varsayılan,2026-05-08 18:30,True,False,True,False,1,0.11,2.7,5,2.11,226.29,bullish,2.08,1.5,2.0,2.13,high_liquidity,3,60,-38.05,True,1.0,True,0.67,False,True,5.44,6.63,1000,3.33,4.81,0.5,0.0,0.0,62
