symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
GPRE,17.26,1,True,True,0.146789,False,Varsayılan,2026-05-11 19:30,True,False,False,True,1,0.53,1.71,1,-1.56,-5.11,neutral,2.14,1.5,2.0,2.24,high_liquidity,3,60,26.9,False,0.67,False,0.17,False,False,17.04,17.99,1000,3.33,1.28,0.5,0.0,0.0,47
RR,2.771,3,False,True,0.057288,False,Varsayılan,2026-05-11 19:30,False,True,False,False,1,1.87,0.76,5,1.53,13.1,neutral,2.13,1.5,2.0,2.22,high_liquidity,3,60,-13.21,False,0.67,True,0.83,False,False,2.69,3.06,1000,3.33,3.1,0.5,0.0,0.0,55
HTLD,12.78,1,True,True,0.052685,False,Varsayılan,2026-05-11 19:30,True,False,False,True,1,0.7,-2.44,1,-1.33,-3.33,neutral,2.11,1.5,1.6,2.45,mid_liquidity,3,60,14.16,False,0.67,False,0.17,False,False,12.65,13.12,1000,2.6,1.03,0.5,0.0,0.0,47
EH,10.26,2,False,False,0.056301,False,Varsayılan,2026-05-11 19:30,True,False,False,False,0,1.0,-2.29,3,-0.29,-2.29,neutral,1.95,1.5,1.6,2.18,mid_liquidity,3,60,-19.71,False,0.0,True,0.5,False,False,10.12,10.63,1000,2.6,1.37,0.5,0.0,0.0,16
FWRD,10.2,1,False,False,0.203801,False,Varsayılan,2026-05-11 19:30,True,False,False,False,0,1.24,-44.44,3,-3.45,-44.44,bearish,2.32,1.5,2.0,2.53,high_liquidity,3,60,-14.26,False,0.0,False,0.33,False,False,9.69,11.52,1000,2.6,5.0,0.5,0.0,0.0,9
SWIM,5.27,1,False,False,0.039816,False,Varsayılan,2026-05-11 19:30,True,False,False,False,0,0.73,-9.29,3,-1.77,-9.29,neutral,2.04,1.5,1.6,2.34,mid_liquidity,3,60,-7.59,False,0.0,False,0.0,False,False,5.17,5.53,1000,2.6,1.89,0.5,0.0,0.0,5
STKL,6.495,1,True,True,0.007611,False,Varsayılan,2026-05-01 19:45,True,False,False,True,1,0.0,0.0,3,-0.22,0.0,neutral,2.1,1.5,1.6,2.43,mid_liquidity,3,60,9.82,True,1.0,True,0.5,False,False,6.48,6.54,1000,2.75,0.23,0.5,0.0,0.0,55
LOT,1.175,2,False,False,0.008754,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.47,-2.89,1,-0.65,-2.08,neutral,2.21,1.5,1.4,2.75,low_liquidity,3,60,-19.93,False,0.0,False,0.17,False,False,1.15,1.23,1000,2.6,1.86,0.5,0.0,0.0,13
TRNS,76.71,1,True,True,0.547086,False,Varsayılan,2026-05-11 19:30,False,False,False,False,0,0.87,2.06,5,1.77,8.7,neutral,1.81,1.5,1.4,2.08,low_liquidity,3,60,1.83,True,1.0,True,0.5,False,False,75.34,80.27,1000,2.6,1.78,0.5,0.0,0.0,44
NWPX,110.925,0,True,True,0.528263,False,Varsayılan,2026-05-11 19:30,False,False,False,True,1,0.4,-0.25,1,-0.61,-1.42,neutral,2.19,1.5,1.4,2.72,low_liquidity,3,60,26.59,True,1.0,False,0.17,False,False,110.13,113.57,1000,3.33,0.71,0.5,0.0,0.0,46
