symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
FFIV,356.2355,1,True,True,2.215063,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.11,4.46,5,1.41,7.97,neutral,1.86,1.5,1.6,2.04,mid_liquidity,3,60,6.83,True,1.0,True,0.5,False,False,352.91,367.31,1000,3.33,0.93,0.5,0.0,0.0,55
ROKU,128.085,1,True,True,0.966103,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.17,0.08,1,-0.62,-1.12,neutral,2.07,1.5,2.0,2.11,high_liquidity,3,60,10.54,True,1.0,False,0.33,False,False,126.64,132.92,1000,3.33,1.13,0.5,0.0,0.0,53
TIGO,78.73,1,True,True,0.529805,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.34,-7.09,3,-2.15,-7.09,bearish,2.05,1.5,2.0,2.08,high_liquidity,3,60,29.99,False,0.33,False,0.0,False,False,77.41,82.17,1000,2.6,1.68,0.5,0.0,0.0,42
LBRDK,35.17,0,False,False,0.303945,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.09,-3.78,5,-0.65,-8.96,neutral,2.59,1.5,2.0,2.98,high_liquidity,3,60,-14.4,False,0.0,False,0.17,False,False,34.41,37.15,1000,2.6,2.16,0.5,0.0,0.0,2
LBRDA,35.21,0,False,False,0.244297,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.06,-3.82,5,-0.63,-8.71,neutral,2.36,1.5,1.4,2.99,low_liquidity,3,60,-14.22,False,0.0,False,0.17,False,False,34.6,36.8,1000,2.6,1.73,0.5,0.0,0.0,2
LBTYB,14.37,2,True,False,0.483126,False,Varsayılan,2026-05-11 14:45,False,True,False,True,2,3.89,-10.47,1,-2.36,-10.47,bearish,2.11,1.5,1.4,2.58,low_liquidity,3,60,13.57,False,0.33,False,0.0,False,False,13.16,17.51,1000,2.6,8.41,0.5,0.0,0.0,47
LBTYA,12.085,1,True,True,0.04744,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.07,-1.67,3,-0.52,-1.67,neutral,2.38,1.5,2.0,2.63,high_liquidity,3,60,4.39,False,0.33,False,0.33,False,False,12.01,12.32,1000,3.33,0.59,0.5,0.0,0.0,46
VEON,50.03,2,False,False,0.38457,False,Varsayılan,2026-05-11 14:45,False,True,False,False,1,1.76,2.06,3,0.54,2.06,neutral,1.92,1.5,1.4,2.27,low_liquidity,3,60,0.7,False,0.33,True,1.0,False,False,49.07,52.53,1000,2.6,1.92,0.5,0.0,0.0,36
LBTYK,11.72,1,True,False,0.047921,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.13,-2.33,3,-0.71,-2.33,neutral,2.23,1.5,2.0,2.38,high_liquidity,3,60,2.46,False,0.33,False,0.33,False,False,11.6,12.03,1000,2.6,1.02,0.5,0.0,0.0,24
LBRDP,22.0788,1,False,False,0.100702,False,Varsayılan,2026-05-11 14:00,False,False,False,False,0,0.14,0.63,5,1.0,1.23,neutral,2.36,1.5,1.4,3.0,low_liquidity,3,60,-1.5,False,0.33,True,0.83,False,False,21.83,22.73,1000,2.6,1.14,0.5,0.0,0.0,18
