symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
ALGN,170.61,1,True,False,1.065062,False,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.98,2.61,5,-0.66,-3.8,neutral,2.52,1.5,2.0,2.86,high_liquidity,3,60,3.44,False,0.33,True,0.67,False,False,167.95,177.53,1000,2.6,1.56,0.5,0.0,0.0
ATRC,29.07,2,False,False,0.165816,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,1.02,2.87,1,1.02,2.68,neutral,2.18,1.5,1.6,2.57,mid_liquidity,3,60,-7.01,False,0.33,True,0.83,False,False,28.66,30.15,1000,2.6,1.43,0.5,0.0,0.0
LMAT,108.61,1,True,True,0.489856,False,Varsayılan,2026-04-02 19:45,False,False,False,True,1,0.47,1.52,5,-0.76,-1.67,neutral,2.29,1.5,1.4,2.88,low_liquidity,3,60,9.92,True,1.0,True,0.67,False,False,107.39,111.79,1000,2.6,1.13,0.5,0.0,0.0
LNTH,76.14,1,True,True,0.349479,False,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.43,4.12,3,0.95,4.12,neutral,1.85,1.5,1.6,2.02,mid_liquidity,3,60,4.06,True,1.0,True,1.0,False,False,75.27,78.41,1000,2.6,1.15,0.5,0.0,0.0
ADUS,91.53,1,False,False,0.485236,False,Varsayılan,2026-04-02 19:45,False,False,False,False,0,1.09,-2.96,5,-1.21,-6.23,neutral,1.88,1.5,1.4,2.2,low_liquidity,3,60,-5.98,False,0.0,False,0.17,False,False,90.32,94.68,1000,2.6,1.33,0.5,0.0,0.0
ACHV,3.225,1,False,False,0.030287,False,Varsayılan,2026-04-02 19:45,False,False,True,False,1,0.4,20.97,3,2.42,20.97,bullish,2.29,1.5,2.0,2.49,high_liquidity,3,60,0.05,False,0.33,True,0.83,False,False,3.15,3.42,1000,2.6,2.35,0.5,0.0,0.0
BRKR,36.77,2,False,False,0.229644,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.7,7.14,3,1.58,7.14,neutral,1.92,1.5,2.0,1.86,high_liquidity,3,60,-7.3,False,0.67,True,1.0,False,False,36.2,38.26,1000,2.6,1.56,0.5,0.0,0.0
BIIB,177.37,2,True,False,0.920674,False,Varsayılan,2026-04-02 19:45,True,False,False,True,1,1.05,-5.45,5,-1.63,-7.18,neutral,2.27,1.5,2.0,2.46,high_liquidity,3,60,9.67,False,0.33,False,0.33,False,False,175.07,183.35,1000,2.6,1.3,0.5,0.0,0.0
AMGN,348.005,1,True,False,1.129425,False,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.52,-0.3,1,-0.85,-1.51,neutral,2.07,1.5,2.0,2.11,high_liquidity,3,60,8.14,False,0.33,True,0.67,False,False,345.18,355.35,1000,2.6,0.81,0.5,0.0,0.0
ACAD,22.2,2,False,False,0.102532,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.89,5.36,3,1.41,5.36,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,-0.37,False,0.67,True,0.67,False,False,21.94,22.87,1000,2.6,1.15,0.5,0.0,0.0
