symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
ARQQ,15.27,2,False,False,0.251003,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.49,-2.61,5,0.66,5.89,neutral,1.99,1.5,1.6,2.24,mid_liquidity,3,60,-29.08,False,0.67,True,0.83,False,False,14.64,16.9,1000,2.6,4.11,0.5,0.0,0.0,27
BGL,1.06,1,False,False,0.018403,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.27,-10.92,3,-0.7,-10.92,neutral,1.89,1.5,1.6,2.08,mid_liquidity,3,60,-76.74,False,0.0,False,0.17,False,False,1.01,1.18,1000,2.6,4.34,0.5,0.0,0.0,7
AKTX,5.77,1,False,False,0.302354,False,Varsayılan,2026-05-11 14:00,False,False,False,False,0,0.53,-0.86,1,-0.98,-7.68,neutral,1.93,1.5,1.4,2.28,low_liquidity,3,60,-66.32,False,0.33,True,0.67,False,False,5.01,7.74,1000,2.6,13.1,0.5,0.0,0.0,16
AAPG,21.99,1,False,False,0.249325,False,Varsayılan,2026-05-11 13:45,False,False,False,False,0,0.37,1.95,1,0.49,2.28,neutral,2.02,1.5,1.4,2.43,low_liquidity,3,60,-11.68,False,0.0,True,0.5,False,False,21.37,23.61,1000,2.6,2.83,0.5,0.0,0.0,11
GRAB,3.695,1,False,False,0.028844,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.19,-1.99,5,0.64,2.07,neutral,2.0,1.5,2.0,2.0,high_liquidity,3,60,-13.13,False,0.0,False,0.33,False,False,3.62,3.88,1000,2.6,1.95,0.5,0.0,0.0,9
SE,82.295,1,False,False,0.697946,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.8,-8.58,1,-1.31,-5.11,neutral,2.13,1.5,2.0,2.22,high_liquidity,3,60,-23.05,False,0.0,False,0.0,False,False,80.55,86.83,1000,2.6,2.12,0.5,0.0,0.0,5
BABA,137.9931,1,False,True,0.766681,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.48,-2.44,5,0.86,3.54,neutral,2.0,1.5,2.0,2.01,high_liquidity,3,60,-3.6,False,0.33,True,0.5,False,False,136.84,141.83,1000,3.33,0.83,0.5,0.0,0.0,26
JD,30.67,1,True,True,0.104226,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.4,-0.07,1,0.71,1.79,neutral,2.12,1.5,2.0,2.2,high_liquidity,3,60,-2.48,True,1.0,True,0.67,False,False,30.41,31.35,1000,2.6,0.85,0.5,0.0,0.0,46
PDD,99.12,1,False,False,0.376677,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.4,-3.08,3,-0.95,-3.08,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,-7.79,False,0.0,True,0.83,False,False,98.18,101.57,1000,2.6,0.95,0.5,0.0,0.0,15
BIDU,146.65,1,True,True,1.427565,False,Varsayılan,2026-05-11 14:45,True,False,True,True,2,0.76,4.31,5,2.23,15.04,bullish,2.14,1.5,2.0,2.24,high_liquidity,3,60,4.05,True,1.0,True,0.67,False,False,144.51,153.79,1000,3.33,1.46,0.5,0.0,0.0,67
BILI,22.33,2,False,False,0.113724,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.35,-0.18,5,1.0,2.95,neutral,1.99,1.5,2.0,1.99,high_liquidity,3,60,-5.17,False,0.33,True,1.0,False,False,22.05,23.07,1000,2.6,1.27,0.5,0.0,0.0,26
IQ,1.195,1,False,False,0.012491,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.28,-2.85,3,-0.12,-2.85,neutral,2.0,1.5,2.0,2.01,high_liquidity,3,60,-23.79,False,0.0,False,0.17,False,False,1.16,1.28,1000,2.6,2.61,0.5,0.0,0.0,7
TME,9.325,1,False,False,0.05163,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.24,-3.57,5,0.7,2.02,neutral,2.43,1.5,2.0,2.72,high_liquidity,3,60,-28.02,False,0.33,True,0.67,False,False,9.2,9.66,1000,2.6,1.38,0.5,0.0,0.0,16
WB,8.4601,1,False,False,0.029898,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.19,-0.12,5,0.53,1.32,neutral,2.04,1.5,1.6,2.33,mid_liquidity,3,60,-6.57,False,0.0,True,0.67,False,False,8.39,8.65,1000,2.6,0.88,0.5,0.0,0.0,13
NTES,117.12,1,False,True,0.31608,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.18,-1.01,1,0.73,1.1,neutral,1.96,1.5,1.6,2.19,mid_liquidity,3,60,-5.26,False,0.67,True,0.67,False,False,116.65,118.7,1000,3.33,0.4,0.5,0.0,0.0,31
EDU,52.485,1,False,False,0.303116,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.23,-6.78,3,-1.63,-6.78,neutral,2.08,1.5,1.6,2.4,mid_liquidity,3,60,0.2,False,0.0,False,0.17,False,False,51.73,54.46,1000,2.6,1.44,0.5,0.0,0.0,7
TAL,11.32,1,True,True,0.080684,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.3,-1.05,1,0.83,2.07,neutral,2.15,1.5,2.0,2.24,high_liquidity,3,60,0.51,True,1.0,True,0.83,False,False,11.12,11.84,1000,2.6,1.78,0.5,0.0,0.0,47
GOTU,1.9601,1,False,False,0.011416,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.44,-0.5,5,0.82,2.09,neutral,1.91,1.5,1.6,2.11,mid_liquidity,3,60,-19.39,False,0.33,False,0.33,False,False,1.93,2.03,1000,2.6,1.46,0.5,0.0,0.0,13
YQ,2.6,1,False,True,0.122918,False,Varsayılan,2026-05-11 13:30,False,False,False,False,0,0.1,-5.45,5,1.26,16.59,neutral,1.98,1.5,1.4,2.37,low_liquidity,3,60,-17.74,False,0.67,True,0.5,False,False,2.42,3.21,1000,3.33,7.09,0.5,0.0,0.0,29
HUYA,3.165,1,False,False,0.025798,False,Varsayılan,2026-05-11 14:45,False,False,False,False,0,0.71,-3.51,1,0.68,2.1,neutral,2.13,1.5,1.6,2.49,mid_liquidity,3,60,2.24,False,0.33,True,0.83,False,False,3.1,3.33,1000,2.6,2.04,0.5,0.0,0.0,18
DOYU,4.7,1,False,False,0.046356,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.37,-3.39,3,-0.47,-3.39,neutral,2.08,1.5,1.4,2.54,low_liquidity,3,60,-15.17,False,0.0,False,0.33,False,False,4.58,5.0,1000,2.6,2.47,0.5,0.0,0.0,9
ZH,3.255,1,False,False,0.020989,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.08,-1.06,5,0.3,2.04,neutral,1.9,1.5,1.4,2.23,low_liquidity,3,60,-10.32,False,0.0,False,0.17,False,False,3.2,3.39,1000,2.6,1.61,0.5,0.0,0.0,7
BZUN,2.735,1,False,True,0.016632,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,0.61,-1.26,3,-0.25,-1.26,neutral,2.04,1.5,1.4,2.47,low_liquidity,3,60,-6.34,False,0.33,False,0.33,False,False,2.69,2.84,1000,2.6,1.52,0.5,0.0,0.0,24
YUMC,47.27,1,False,False,0.159841,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.25,-2.96,3,-0.93,-2.96,neutral,2.04,1.5,2.0,2.06,high_liquidity,3,60,1.93,False,0.0,True,0.5,False,False,46.87,48.31,1000,2.6,0.85,0.5,0.0,0.0,11
QFIN,13.2,1,False,False,0.058669,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.18,-4.0,3,-0.99,-4.0,neutral,1.92,1.5,1.6,2.14,mid_liquidity,3,60,-30.62,False,0.0,True,0.67,False,False,13.05,13.58,1000,2.6,1.11,0.5,0.0,0.0,13
LX,2.035,1,False,False,0.016557,False,Varsayılan,2026-05-11 14:30,False,False,False,False,0,1.03,-5.79,3,-1.0,-5.79,neutral,1.92,1.5,1.6,2.14,mid_liquidity,3,60,-33.69,False,0.0,False,0.0,False,False,1.99,2.14,1000,2.6,2.03,0.5,0.0,0.0,5
TIGR,6.385,1,False,False,0.042138,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.33,-7.86,3,-1.47,-7.86,neutral,1.99,1.5,2.0,1.98,high_liquidity,3,60,-15.63,False,0.0,False,0.0,False,False,6.28,6.66,1000,2.6,1.65,0.5,0.0,0.0,5
FUTU,143.49,1,False,False,1.458614,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.61,-14.52,3,-2.72,-14.52,bearish,2.15,1.5,2.0,2.25,high_liquidity,3,60,0.5,False,0.0,False,0.17,False,False,139.84,152.97,1000,2.6,2.54,0.5,0.0,0.0,7
GDS,44.925,2,True,True,0.291336,True,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.17,-2.36,5,0.69,4.31,neutral,2.11,1.5,2.0,2.18,high_liquidity,3,60,10.92,True,1.0,True,0.83,False,True,44.49,46.38,1000,3.33,0.97,0.5,0.0,0.0,64
KC,16.53,1,True,True,0.132471,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.5,-0.6,1,0.78,4.09,neutral,1.89,1.5,1.6,2.09,mid_liquidity,3,60,11.3,True,1.0,True,0.83,False,False,16.2,17.39,1000,2.6,2.0,0.5,0.0,0.0,58
ATHM,19.24,2,False,True,0.117239,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.14,-0.67,5,1.23,4.45,neutral,1.94,1.5,1.6,2.16,mid_liquidity,3,60,-15.34,False,0.67,True,0.67,False,False,19.06,19.83,1000,3.33,0.91,0.5,0.0,0.0,36
HON,218.61,2,True,False,0.961335,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.28,0.79,1,1.81,2.56,neutral,2.2,1.5,2.0,2.34,high_liquidity,3,60,3.76,False,0.67,True,1.0,False,False,216.21,224.86,1000,2.6,1.1,0.5,0.0,0.0,51
UNP,265.22,1,True,True,1.06313,False,Varsayılan,2026-05-11 14:30,True,False,False,True,1,0.11,-1.12,3,-0.5,-1.12,neutral,2.03,1.5,2.0,2.05,high_liquidity,3,60,6.16,False,0.67,True,0.67,False,False,262.56,272.13,1000,2.6,1.0,0.5,0.0,0.0,53
UPS,100.05,1,False,False,0.359722,False,Varsayılan,2026-05-11 14:45,True,False,False,False,0,0.12,0.16,5,1.15,3.88,neutral,2.18,1.5,2.0,2.3,high_liquidity,3,60,2.48,False,0.0,False,0.17,False,False,99.15,102.39,1000,2.6,0.9,0.5,0.0,0.0,7
GE,298.17,2,True,False,1.505644,False,Varsayılan,2026-05-11 14:45,True,False,False,True,1,0.17,-2.5,5,1.24,6.29,neutral,2.06,1.5,2.0,2.09,high_liquidity,3,60,3.12,False,0.67,True,0.67,False,False,294.41,307.96,1000,2.6,1.26,0.5,0.0,0.0,47
ITW,253.73,1,False,False,0.987444,False,Varsayılan,2026-05-11 14:30,True,False,False,False,0,0.09,-2.61,3,-0.81,-2.61,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,1.91,False,0.0,False,0.0,False,False,251.26,260.15,1000,2.6,0.97,0.5,0.0,0.0,5
