symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
MYSE,1.7933,1,False,False,0.030626,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,0.7,-11.22,5,-0.57,-19.22,neutral,2.44,1.5,1.6,3.0,mid_liquidity,3,60,-0.18,False,0.0,False,0.33,False,False,1.72,1.99,1000,2.6,4.27,0.5,0.0,0.0,9
HUBC,0.274,1,False,False,0.010949,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,1.27,-22.82,5,-0.53,-49.26,neutral,2.46,1.5,2.0,2.76,high_liquidity,3,60,-94.4,False,0.0,True,0.67,False,False,0.25,0.35,1000,2.6,9.99,0.5,0.0,0.0,13
ASNS,0.0865,2,False,False,0.004414,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.18,9.49,3,0.2,9.49,neutral,1.94,1.5,1.4,2.3,low_liquidity,3,60,-89.0,False,0.0,False,0.17,False,False,0.08,0.12,1000,2.6,12.76,0.5,0.0,0.0,13
CEG,306.75,1,False,True,1.77701,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,0.61,-4.28,3,-0.98,-4.28,neutral,1.9,1.5,2.0,1.83,high_liquidity,3,60,-2.63,False,0.33,False,0.17,False,False,304.08,315.64,1000,3.33,0.87,0.5,0.0,0.0,22
EXC,44.21,0,False,False,0.138228,False,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.25,-4.27,3,-1.54,-4.27,neutral,2.23,1.5,2.0,2.38,high_liquidity,3,60,3.51,False,0.0,False,0.33,False,False,43.86,45.11,1000,2.6,0.78,0.5,0.0,0.0,15
XEL,79.86,1,True,False,0.248576,False,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.41,-1.95,5,-1.35,-3.29,neutral,2.19,1.5,2.0,2.31,high_liquidity,3,60,4.55,False,0.33,True,0.5,False,False,79.24,81.48,1000,2.6,0.78,0.5,0.0,0.0,36
EVRG,82.295,2,True,True,0.26374,True,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.87,0.84,1,-0.55,-0.53,neutral,2.15,1.5,2.0,2.25,high_liquidity,3,60,6.81,True,1.0,True,1.0,False,True,81.9,83.61,1000,3.33,0.48,0.5,0.0,0.0,66
LNT,72.0024,1,True,True,0.195597,False,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.38,-1.46,5,-1.47,-2.78,neutral,2.16,1.5,2.0,2.27,high_liquidity,3,60,5.98,False,0.33,True,0.67,False,False,71.51,73.27,1000,2.6,0.68,0.5,0.0,0.0,49
TLN,387.27,1,True,True,2.73267,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,0.46,0.62,5,0.42,4.06,neutral,1.72,1.5,1.6,1.79,mid_liquidity,3,60,2.72,False,0.67,True,0.67,False,False,383.17,400.93,1000,3.33,1.06,0.5,0.0,0.0,42
ENLT,90.359,1,True,True,0.574846,False,Varsayılan,2026-05-08 18:30,False,False,False,True,1,0.7,-0.38,1,1.29,6.19,neutral,1.86,1.5,1.4,2.17,low_liquidity,3,60,43.01,True,1.0,True,0.67,False,False,88.92,94.1,1000,2.6,1.59,0.5,0.0,0.0,56
CWST,85.53,1,False,False,0.431113,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,0.24,-1.42,1,0.14,0.09,neutral,1.96,1.5,1.6,2.2,mid_liquidity,3,60,-8.88,False,0.67,True,0.67,False,False,84.45,88.33,1000,2.6,1.26,0.5,0.0,0.0,20
NWE,72.5375,1,True,True,0.248925,False,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.31,2.18,3,0.73,2.18,neutral,1.97,1.5,1.6,2.22,mid_liquidity,3,60,8.83,True,1.0,True,0.83,False,False,71.92,74.16,1000,2.6,0.86,0.5,0.0,0.0,58
OTTR,87.93,1,True,True,0.334667,False,Varsayılan,2026-05-08 18:30,False,False,False,True,1,0.28,-0.91,5,-1.37,-3.14,neutral,1.88,1.5,1.4,2.2,low_liquidity,3,60,4.6,False,0.33,True,0.5,False,False,87.09,90.11,1000,2.6,0.95,0.5,0.0,0.0,47
