symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.79,0,True,True,0.438871,False,2025-09-12 19:45,False,True,True,2,True,1.0,True,0.67,True,False,176.91,179.55,227,2.0,0.49
TSLA,396.0,0,True,True,2.549738,False,2025-09-12 19:45,True,True,True,3,True,1.0,True,0.5,False,False,390.9,406.2,39,2.0,1.29
GOOGL,240.75,0,True,True,0.570387,False,2025-09-12 19:45,False,False,True,1,True,1.0,False,0.17,True,False,239.61,243.03,175,2.0,0.47
META,755.74,0,True,True,1.910735,False,2025-09-12 19:45,False,False,True,1,True,1.0,True,0.83,False,False,751.92,763.38,52,2.0,0.51
AMZN,228.11,0,True,False,0.617078,False,2025-09-12 19:45,False,False,True,1,False,0.33,False,0.33,False,False,226.88,230.58,162,2.0,0.54
AAPL,234.06,0,True,True,0.642075,False,2025-09-12 19:45,False,False,True,1,True,1.0,True,0.67,True,False,232.78,236.63,155,2.0,0.55
MSFT,509.85,0,True,True,1.124954,False,2025-09-12 19:45,False,True,True,2,True,1.0,True,0.67,True,False,507.6,514.35,88,2.0,0.44
NFLX,1188.45,0,True,False,4.320643,False,2025-09-12 19:45,False,False,True,1,False,0.33,False,0.33,False,False,1179.81,1205.73,23,2.0,0.73
AMD,158.47,0,True,False,0.706209,False,2025-09-12 19:45,False,False,True,1,False,0.67,True,0.83,False,False,157.06,161.29,141,2.0,0.89
COIN,322.91,0,True,True,1.765292,False,2025-09-12 19:45,False,False,True,1,True,1.0,True,0.5,False,False,319.38,329.97,56,2.0,1.09
RBLX,133.34,0,True,True,0.715732,False,2025-09-12 19:45,False,False,True,1,True,1.0,True,0.5,False,False,131.91,136.2,139,2.0,1.07
CRWD,436.05,0,True,True,1.630699,False,2025-09-12 19:45,False,True,True,2,True,1.0,True,0.5,False,False,432.79,442.57,61,2.0,0.75
ZS,283.181,0,True,True,1.010421,False,2025-09-12 19:45,False,False,True,1,False,0.67,True,0.67,False,False,281.16,287.22,98,2.0,0.71
PANW,196.33,0,True,True,0.550246,False,2025-09-12 19:45,False,False,False,0,False,0.67,False,0.17,False,False,195.23,198.53,181,2.0,0.56
ABNB,122.53,0,False,False,0.378457,False,2025-09-12 19:45,False,False,False,0,False,0.0,False,0.17,False,False,121.77,124.04,264,2.0,0.62
SHOP,143.32,0,True,True,0.543348,False,2025-09-12 19:45,False,False,True,1,False,0.67,True,0.67,False,False,142.23,145.49,184,2.0,0.76
ORCL,292.13,0,True,True,2.228079,False,2025-09-12 19:45,False,True,True,2,False,0.67,True,0.5,False,False,287.67,301.04,44,2.0,1.53
ADBE,349.29,0,False,False,2.474952,False,2025-09-12 19:45,True,False,False,1,False,0.0,True,0.5,False,False,344.34,359.19,40,2.0,1.42
NOW,929.15,0,False,True,2.328828,False,2025-09-12 19:45,False,False,False,0,False,0.33,True,0.67,False,False,924.49,938.47,42,2.0,0.5
WDAY,223.34,0,False,False,0.82408,False,2025-09-12 19:45,False,False,False,0,False,0.0,False,0.33,False,False,221.69,226.64,121,2.0,0.74
VEEV,276.41,0,True,False,0.932412,False,2025-09-12 19:45,False,False,True,1,False,0.33,True,0.5,False,False,274.55,280.14,107,2.0,0.67
ZM,83.965,0,True,True,0.236199,False,2025-09-12 19:45,False,False,False,0,False,0.67,False,0.33,False,False,83.49,84.91,423,2.0,0.56
OKTA,90.33,0,False,False,0.29666,False,2025-09-12 19:45,False,False,False,0,False,0.0,False,0.17,False,False,89.74,91.52,337,2.0,0.66
FTNT,79.67,0,False,False,0.219471,False,2025-09-12 19:45,False,False,False,0,False,0.0,False,0.33,False,False,79.23,80.55,455,2.0,0.55
MRNA,23.51,0,False,False,0.26872,False,2025-09-12 19:45,True,False,False,1,False,0.0,False,0.33,False,False,22.97,24.58,372,2.0,2.29
UNH,352.58,0,False,True,1.672516,False,2025-09-12 19:45,False,False,False,0,False,0.67,False,0.17,False,False,349.23,359.27,59,2.0,0.95
JNJ,178.08,0,True,True,0.305414,False,2025-09-12 19:45,False,False,True,1,True,1.0,True,0.5,False,False,177.47,179.3,327,2.0,0.34
