symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
AMWL,8.12,1,True,True,0.103328,False,Varsayılan,2026-05-11 19:15,False,False,False,False,0,0.88,13.57,5,1.98,26.48,neutral,2.02,1.5,1.4,2.43,low_liquidity,3,60,1.91,True,1.0,True,0.5,False,False,7.97,8.64,1000,3.33,1.91,0.5,0.0,0.0,44
JPM,299.995,1,True,False,0.796653,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.65,-4.72,3,-1.99,-4.72,neutral,2.08,1.5,2.0,2.14,high_liquidity,3,60,2.8,False,0.33,False,0.17,False,False,298.0,305.17,1000,2.6,0.66,0.5,0.0,0.0,22
BAC,50.64,1,True,False,0.175256,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.75,-5.52,3,-2.0,-5.52,bearish,1.98,1.5,2.0,1.97,high_liquidity,3,60,2.7,False,0.33,False,0.33,False,False,50.2,51.78,1000,2.6,0.87,0.5,0.0,0.0,24
WFC,73.685,1,False,False,0.323013,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,1.0,-7.85,3,-2.11,-7.85,bearish,1.91,1.5,2.0,1.84,high_liquidity,3,60,-0.88,False,0.0,False,0.17,False,False,72.88,75.78,1000,2.6,1.1,0.5,0.0,0.0,7
C,126.28,1,True,True,0.490519,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.54,-1.03,3,-0.43,-1.03,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,13.15,False,0.67,True,0.5,False,False,125.05,129.47,1000,2.6,0.97,0.5,0.0,0.0,51
GS,945.12,1,True,True,3.0688,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.74,0.82,5,1.18,4.62,neutral,2.04,1.5,2.0,2.07,high_liquidity,3,60,8.75,True,1.0,True,0.67,False,False,937.45,965.07,1000,2.6,0.81,0.5,0.0,0.0,56
MS,191.3035,1,True,True,0.577976,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.55,-1.06,1,-0.59,-0.93,neutral,2.04,1.5,2.0,2.07,high_liquidity,3,60,9.16,False,0.67,False,0.17,False,False,189.86,195.06,1000,2.6,0.76,0.5,0.0,0.0,47
USB,54.595,1,True,False,0.173106,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.58,-2.79,1,-1.08,-1.68,neutral,2.11,1.5,2.0,2.19,high_liquidity,3,60,6.88,False,0.33,False,0.0,False,False,54.16,55.72,1000,2.6,0.79,0.5,0.0,0.0,31
PNC,214.78,1,True,False,0.740124,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,1.05,-3.43,3,-1.25,-3.43,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,5.98,False,0.33,False,0.17,False,False,212.93,219.59,1000,2.6,0.86,0.5,0.0,0.0,33
TFC,48.045,1,True,False,0.168196,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.71,-4.42,3,-1.41,-4.42,neutral,2.01,1.5,2.0,2.01,high_liquidity,3,60,4.8,False,0.33,False,0.17,False,False,47.62,49.14,1000,2.6,0.88,0.5,0.0,0.0,33
SCHW,87.83,1,False,False,0.233219,False,Varsayılan,2026-05-11 19:15,True,False,False,False,0,0.61,-4.34,3,-1.53,-4.34,neutral,2.18,1.5,2.0,2.31,high_liquidity,3,60,0.17,False,0.0,False,0.33,False,False,87.25,89.35,1000,2.6,0.66,0.5,0.0,0.0,9
BK,131.97,1,True,True,0.349538,False,Varsayılan,2026-05-11 19:15,True,False,False,True,1,0.57,-1.25,1,0.69,1.13,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,11.53,True,1.0,True,0.83,False,False,131.1,134.24,1000,2.6,0.66,0.5,0.0,0.0,58
