symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
LRCX,218.431,1,True,True,1.536361,False,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.59,9.26,3,1.4,9.26,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,28.29,False,0.67,True,1.0,False,False,214.59,228.42,1000,2.6,1.76,0.5,0.0,0.0
KLAC,1516.77,2,True,True,10.005789,True,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.63,9.71,3,1.48,9.71,neutral,2.12,1.5,2.0,2.2,high_liquidity,3,60,18.96,True,1.0,True,1.0,False,True,1501.76,1566.8,1000,3.33,0.99,0.5,0.0,0.0
SNPS,395.825,1,False,False,1.80931,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.51,3.34,3,0.96,3.34,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,-7.6,False,0.33,True,0.83,False,False,391.3,407.59,1000,2.6,1.14,0.5,0.0,0.0
CDNS,278.72,1,False,False,1.343272,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.63,2.89,3,0.78,2.89,neutral,2.23,1.5,2.0,2.38,high_liquidity,3,60,-4.77,False,0.33,True,1.0,False,False,275.36,287.45,1000,2.6,1.2,0.5,0.0,0.0
MRVL,107.11,2,True,True,0.808902,True,Varsayılan,2026-04-02 19:45,True,False,True,True,2,0.91,21.98,3,2.98,21.98,bullish,2.32,1.5,2.0,2.53,high_liquidity,3,60,6.29,True,1.0,True,0.67,False,True,105.9,111.15,1000,3.33,1.13,0.5,0.0,0.0
ADI,318.39,2,True,True,1.341175,True,Varsayılan,2026-04-02 19:45,True,False,False,True,1,0.64,5.03,3,1.3,5.03,neutral,2.16,1.5,2.0,2.27,high_liquidity,3,60,14.29,False,0.67,True,0.67,False,True,316.38,325.1,1000,3.33,0.63,0.5,0.0,0.0
NXPI,194.54,2,False,False,0.894927,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.84,3.82,3,1.18,3.82,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,-2.86,False,0.33,True,0.83,False,False,192.3,200.36,1000,2.6,1.15,0.5,0.0,0.0
MCHP,65.605,2,False,False,0.355417,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,0.76,9.22,3,2.12,9.22,neutral,2.31,1.5,2.0,2.51,high_liquidity,3,60,2.93,False,0.33,True,1.0,False,False,64.72,67.92,1000,2.6,1.35,0.5,0.0,0.0
ON,62.19,2,True,True,0.392927,True,Varsayılan,2026-04-02 19:45,True,False,True,True,2,0.89,11.73,3,2.19,11.73,bullish,2.08,1.5,2.0,2.13,high_liquidity,3,60,7.41,True,1.0,True,0.83,False,True,61.6,64.15,1000,3.33,0.95,0.5,0.0,0.0
SWKS,55.18,3,False,False,0.352605,False,Varsayılan,2026-04-02 19:45,True,False,False,False,0,1.44,5.12,1,1.57,3.7,neutral,2.23,1.5,2.0,2.39,high_liquidity,3,60,-11.53,False,0.33,True,0.83,False,False,54.3,57.47,1000,2.6,1.6,0.5,0.0,0.0
QRVO,78.68,3,False,False,0.36314,False,Varsayılan,2026-04-02 19:45,True,True,False,False,1,1.73,3.53,3,1.42,3.53,neutral,2.16,1.5,2.0,2.27,high_liquidity,3,60,-3.86,False,0.33,True,0.67,False,False,77.77,81.04,1000,2.6,1.15,0.5,0.0,0.0
MPWR,1118.3,2,True,True,6.058263,True,Varsayılan,2026-04-02 19:45,True,False,True,True,2,0.6,11.81,3,2.52,11.81,bullish,2.0,1.5,1.6,2.27,mid_liquidity,3,60,12.49,True,1.0,True,0.83,False,True,1109.21,1148.59,1000,3.33,0.81,0.5,0.0,0.0
