symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
GPRE,17.93,2,True,True,0.18605,True,Varsayılan,2026-05-08 18:30,True,False,True,True,2,0.74,-1.75,1,2.36,8.93,bullish,2.17,1.5,2.0,2.28,high_liquidity,3,60,26.97,True,1.0,True,0.5,False,True,17.65,18.86,1000,3.33,1.56,0.5,0.0,0.0,71
RR,2.675,2,False,True,0.037034,False,Varsayılan,2026-05-08 18:30,False,False,False,False,0,0.95,11.0,3,1.61,11.0,neutral,2.12,1.5,2.0,2.2,high_liquidity,3,60,-13.53,False,0.67,True,0.83,False,False,2.62,2.86,1000,3.33,2.08,0.5,0.0,0.0,38
HTLD,13.18,1,True,True,0.043766,False,Varsayılan,2026-05-08 18:30,True,False,False,True,1,0.57,3.21,3,0.5,3.21,neutral,2.11,1.5,1.6,2.44,mid_liquidity,3,60,13.93,True,1.0,True,0.67,False,False,13.07,13.46,1000,2.6,0.83,0.5,0.0,0.0,56
EH,10.3001,2,False,False,0.05486,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,0.34,1.78,3,0.38,1.78,neutral,1.94,1.5,1.6,2.17,mid_liquidity,3,60,-19.4,False,0.0,True,0.5,False,False,10.16,10.66,1000,2.6,1.33,0.5,0.0,0.0,16
FWRD,10.065,1,False,False,0.428495,False,Varsayılan,2026-05-08 18:30,True,True,False,False,1,4.01,-40.9,1,-5.4,-41.92,bearish,2.18,1.5,2.0,2.31,high_liquidity,3,60,-12.94,False,0.0,False,0.17,False,False,8.99,12.85,1000,2.6,10.64,0.5,0.0,0.0,18
SWIM,5.505,2,False,False,0.06661,False,Varsayılan,2026-05-08 18:30,True,False,False,False,0,1.16,-6.06,1,-1.16,-4.26,neutral,2.08,1.5,1.6,2.4,mid_liquidity,3,60,-7.3,False,0.0,False,0.0,False,False,5.34,5.94,1000,2.6,3.02,0.5,0.0,0.0,11
STKL,6.495,1,True,True,0.007613,False,Varsayılan,2026-05-01 19:45,True,False,False,True,1,0.0,0.0,3,-0.22,0.0,neutral,2.1,1.5,1.6,2.43,mid_liquidity,3,60,9.74,True,1.0,True,0.5,False,False,6.48,6.54,1000,2.75,0.23,0.5,0.0,0.0,55
LOT,1.21,2,False,False,0.013236,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.59,2.11,5,-0.89,-6.92,neutral,2.21,1.5,1.4,2.74,low_liquidity,3,60,-19.89,False,0.0,False,0.17,False,False,1.18,1.3,1000,2.6,2.73,0.5,0.0,0.0,13
TRNS,76.98,1,True,True,0.58138,False,Varsayılan,2026-05-08 18:15,False,False,False,False,0,0.45,2.19,5,1.26,6.16,neutral,1.8,1.5,1.4,2.06,low_liquidity,3,60,1.89,True,1.0,True,0.67,False,False,75.53,80.76,1000,2.6,1.89,0.5,0.0,0.0,46
NWPX,110.6,0,True,True,0.600334,False,Varsayılan,2026-05-08 18:15,False,False,False,True,1,0.43,-0.73,3,-0.43,-0.73,neutral,2.19,1.5,1.4,2.72,low_liquidity,3,60,25.89,True,1.0,True,0.5,False,False,109.7,113.6,1000,3.33,0.81,0.5,0.0,0.0,49
