symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.835,0,True,True,0.760433,False,2025-09-15 15:45,False,True,True,2,0.68,4.14,17.1,True,1.0,True,0.83,True,False,176.31,180.88,131,2.0,0.86
TSLA,419.565,0,True,True,4.287511,False,2025-09-15 15:45,True,True,True,3,1.93,14.11,7.54,True,1.0,True,0.5,False,False,410.99,436.72,23,2.0,2.04
GOOGL,249.175,0,True,True,1.327141,False,2025-09-15 15:45,False,True,True,2,0.69,4.15,12.77,True,1.0,True,0.5,True,False,246.52,254.48,75,2.0,1.07
META,765.39,0,True,True,2.904881,False,2025-09-15 16:00,False,True,True,2,0.46,1.78,11.29,True,1.0,True,0.67,False,False,759.58,777.01,34,2.0,0.76
AMZN,232.62,0,True,True,0.826811,False,2025-09-15 15:45,False,False,True,1,0.99,-4.24,6.24,True,1.0,True,0.5,False,False,230.97,235.93,120,2.0,0.71
AAPL,237.065,0,True,True,0.787301,False,2025-09-15 15:45,False,False,True,1,1.0,-0.12,3.05,True,1.0,True,0.67,True,False,235.49,240.21,127,2.0,0.66
MSFT,513.15,0,True,True,1.367255,False,2025-09-15 16:00,False,True,True,2,0.35,2.55,9.11,True,1.0,True,0.67,True,False,510.42,518.62,73,2.0,0.53
NFLX,1198.9418,0,True,False,4.959886,False,2025-09-15 15:45,False,False,True,1,1.27,-5.92,12.71,False,0.33,True,0.67,False,False,1189.02,1218.78,20,2.0,0.83
AMD,160.2068,0,True,False,0.909837,False,2025-09-15 15:45,False,True,True,2,0.95,1.76,13.42,False,0.67,True,0.83,False,False,158.39,163.85,109,2.0,1.14
SMCI,45.3245,0,False,True,0.357561,False,2025-09-15 15:45,True,True,False,2,1.31,4.85,-0.75,False,0.67,True,0.67,False,False,44.61,46.75,279,2.0,1.58
AVGO,360.06,0,True,True,1.685944,False,2025-09-15 15:45,False,True,True,2,0.91,6.89,23.95,True,1.0,False,0.33,False,False,356.69,366.8,59,2.0,0.94
ARM,153.29,0,True,True,0.872142,False,2025-09-15 16:00,False,False,True,1,0.29,-0.55,3.73,True,1.0,True,0.67,False,False,151.55,156.78,114,2.0,1.14
PLTR,169.08,0,True,True,1.069226,False,2025-09-15 15:45,False,True,True,2,0.94,5.59,32.87,True,1.0,True,0.67,False,False,166.94,173.36,93,2.0,1.26
SNOW,227.15,0,True,True,1.04313,False,2025-09-15 16:00,False,False,True,1,0.29,0.58,13.65,True,1.0,True,0.67,False,False,225.06,231.32,95,2.0,0.92
COIN,325.115,0,True,True,2.326298,False,2025-09-15 15:45,False,True,True,2,0.88,1.34,13.96,True,1.0,True,0.67,False,False,320.46,334.42,42,2.0,1.43
RBLX,139.475,0,True,True,0.921857,False,2025-09-15 16:00,False,True,True,2,0.44,4.99,35.27,True,1.0,True,0.67,False,False,137.63,143.16,108,2.0,1.32
CRWD,445.745,0,True,True,2.288185,False,2025-09-15 15:45,False,True,True,2,0.94,2.97,6.1,True,1.0,True,0.67,False,False,441.17,454.9,43,2.0,1.03
ZS,286.24,0,True,True,1.211233,False,2025-09-15 15:45,False,True,True,2,0.15,2.75,12.7,True,1.0,True,0.83,False,False,283.82,291.08,82,2.0,0.85
PANW,200.82,0,True,True,0.850288,False,2025-09-15 15:45,False,False,False,0,0.82,-0.64,2.19,True,1.0,False,0.33,False,False,199.12,204.22,117,2.0,0.85
ABNB,120.32,0,False,False,0.517617,False,2025-09-15 16:00,False,False,False,0,0.55,-2.5,-2.55,False,0.0,False,0.17,False,False,119.28,122.39,193,2.0,0.86
UBER,97.4771,0,True,True,0.531955,False,2025-09-15 15:45,False,False,True,1,0.87,0.46,10.27,True,1.0,True,1.0,False,False,96.41,99.6,187,2.0,1.09
SHOP,145.175,0,True,True,0.711086,False,2025-09-15 15:45,False,False,True,1,0.89,-0.04,18.77,True,1.0,True,0.83,False,False,143.75,148.02,140,2.0,0.98
RIOT,16.855,0,True,True,0.17774,False,2025-09-15 15:45,False,True,True,2,0.91,4.47,17.45,True,1.0,True,0.67,False,False,16.5,17.57,562,2.0,2.11
MARA,15.8446,0,False,False,0.151089,False,2025-09-15 15:45,False,True,False,1,1.16,2.39,-2.13,False,0.0,False,0.33,False,False,15.54,16.45,661,2.0,1.91
MSTR,323.88,0,False,False,2.440922,False,2025-09-15 15:45,False,False,True,1,1.08,0.89,7.17,False,0.0,False,0.33,False,False,319.0,333.64,40,2.0,1.51
