symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,strength,why,reason
EQT,54.785,0,True,True,0.332138,False,2025-09-29 15:45,False,False,False,True,1,0.17,0.1,3.49,True,1.0,True,0.67,False,False,54.12,56.11,301,2.0,1.21,9.34,51,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
TNGX,8.465,0,True,True,0.109111,False,2025-09-29 15:45,False,False,False,True,1,0.04,-1.59,6.35,True,1.0,True,0.67,False,False,8.25,8.9,916,2.0,2.58,9.34,51,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
INTC,34.8913,0,True,True,0.368871,False,2025-09-29 15:45,True,False,False,True,1,0.13,0.61,9.94,True,1.0,True,0.5,False,False,34.15,36.37,271,2.0,2.11,9.0,49,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
BETR,59.55,0,True,True,2.026723,False,2025-09-29 15:45,False,False,False,True,1,0.06,-0.82,12.24,True,1.0,True,0.5,False,False,55.5,67.66,49,2.0,6.81,9.0,49,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
LCID,23.795,0,True,True,0.224335,False,2025-09-29 15:45,True,False,False,True,1,0.08,-0.85,5.53,True,1.0,False,0.33,False,False,23.35,24.69,445,2.0,1.89,8.66,47,Trend Up | Uyum Z100%/M33% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
WINA,503.99,1,True,True,2.10478,False,2025-09-29 15:30,False,False,False,False,0,1.32,0.59,0.69,True,1.0,True,0.67,False,False,499.78,512.41,47,2.0,0.84,8.34,46,Trend Up | Uyum Z100%/M67% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
AMD,162.7356,0,True,True,0.860148,False,2025-09-29 15:45,True,False,False,False,0,0.12,-0.51,0.5,True,1.0,True,1.0,False,False,161.02,166.18,116,2.0,1.06,8.0,44,Trend Up | Uyum Z100%/M100% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
OXY,48.51,0,True,True,0.277039,False,2025-09-29 15:45,True,False,False,False,0,0.09,0.59,1.47,True,1.0,True,1.0,False,False,47.96,49.62,360,2.0,1.14,8.0,44,Trend Up | Uyum Z100%/M100% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
NVDA,182.4135,0,True,True,0.901609,False,2025-09-29 15:45,True,False,False,False,0,0.04,-0.2,0.87,True,1.0,True,0.83,True,False,180.61,186.02,110,2.0,0.99,7.96,43,Trend Up | Uyum Z100%/M83% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
DUK,122.32,1,True,True,0.338519,False,2025-09-29 15:45,False,False,False,False,0,0.06,0.58,0.2,False,0.67,True,0.67,False,False,121.64,123.67,295,2.0,0.55,7.68,42,Trend Up | Uyum Z67%/M67% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
