symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,strength,why,reason
LCID,23.05,1,True,True,0.197273,False,2025-09-25 19:45,False,True,False,True,2,2.01,-0.43,4.88,True,1.0,True,0.83,False,False,22.66,23.84,506,2.0,1.71,12.66,69,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
BETR,55.89,2,True,True,1.568633,False,2025-09-25 19:45,False,True,False,True,2,1.83,-2.17,21.44,False,0.67,True,0.5,False,False,52.75,62.16,63,2.0,5.61,12.34,67,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Momentum,Uyum | R/R 2.0"
TNGX,7.98,1,True,True,0.098863,False,2025-09-25 19:45,False,True,False,True,2,3.61,-1.24,3.85,True,1.0,True,0.67,False,False,7.78,8.38,1011,2.0,2.48,12.34,67,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
RIVN,15.75,1,True,True,0.141814,False,2025-09-25 19:45,True,True,False,True,2,1.77,-0.69,4.08,True,1.0,True,0.5,False,False,15.47,16.32,705,2.0,1.8,12.0,66,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
EQT,53.92,1,True,True,0.274177,False,2025-09-25 19:45,True,True,False,True,2,3.4,-0.15,3.56,True,1.0,True,0.5,False,False,53.37,55.02,364,2.0,1.02,12.0,66,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
INTC,33.97,1,True,True,0.392209,False,2025-09-25 19:45,True,True,False,True,2,3.96,-0.56,8.74,True,1.0,False,0.33,False,False,33.19,35.54,254,2.0,2.31,11.66,64,Trend Up | Uyum Z100%/M33% | Filtre 2/3,"Bekleyin: Eksik Momentum,Mom.Uyum | R/R 2.0"
VEEV,279.98,1,True,True,0.993433,False,2025-09-25 19:45,False,True,False,False,1,3.91,0.78,0.08,True,1.0,True,1.0,False,False,277.99,283.95,100,2.0,0.71,11.0,60,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
ROST,149.46,1,True,True,0.464691,False,2025-09-25 19:45,False,True,False,False,1,4.32,0.3,0.77,True,1.0,True,1.0,False,False,148.53,151.32,215,2.0,0.62,11.0,60,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
INTU,692.75,1,True,True,1.886885,False,2025-09-25 19:45,False,True,False,False,1,3.61,0.4,0.86,True,1.0,True,0.83,False,False,688.98,700.3,52,2.0,0.54,10.66,58,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
JNJ,177.745,1,True,True,0.347347,False,2025-09-25 19:45,False,True,False,False,1,3.2,0.26,0.14,True,1.0,True,0.83,False,False,177.05,179.13,287,2.0,0.39,10.66,58,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
