symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
NET,161.18,0,True,True,1.595764,False,2025-09-15 19:30,False,True,True,2,0.96,1.69,11.29,True,1.0,True,0.83,False,False,157.99,167.56,62,2.0,1.98,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
XLP,276.19,0,True,True,2.007222,False,2025-09-15 19:30,True,False,True,2,2.37,-0.17,2.42,True,1.0,True,0.67,False,False,272.18,284.22,49,2.0,1.45,11.34,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
META,171.18,0,True,True,0.749724,False,2025-09-15 19:45,True,False,True,2,2.85,-0.09,4.03,False,0.67,True,0.83,False,False,169.68,174.18,133,2.0,0.88,11.0,Trend Up | Uyum Z67%/M83% | Filtre 2/3,"Bekleyin: Eksik Momentum,Uyum | R/R 2.0"
UNH,364.3,0,True,True,3.819049,False,2025-09-15 19:30,True,False,True,2,1.6,0.99,4.94,True,1.0,True,0.5,False,False,356.66,379.58,26,2.0,2.1,11.0,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
XLB,226.04,0,True,True,2.367709,False,2025-09-15 15:30,True,False,True,2,2.37,-0.17,2.42,False,0.67,True,0.5,False,False,221.3,235.51,42,2.0,2.09,10.34,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Momentum,Uyum | R/R 2.0"
XLV,226.04,0,True,True,2.367709,False,2025-09-15 15:30,True,False,True,2,2.37,-0.17,2.42,False,0.67,True,0.5,False,False,221.3,235.51,42,2.0,2.09,10.34,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Momentum,Uyum | R/R 2.0"
TEAM,161.18,0,True,True,1.595764,False,2025-09-15 15:30,False,True,False,1,0.78,1.61,2.0,True,1.0,True,1.0,False,False,157.99,167.56,62,2.0,1.98,10.0,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Hacim,Trend | R/R 2.0"
BA,201.31,0,True,True,0.694918,False,2025-09-15 19:45,True,False,False,1,4.08,0.68,1.02,True,1.0,True,0.83,False,False,199.92,204.09,143,2.0,0.69,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
PFE,81.0,0,True,True,2.362502,False,2025-09-15 00:00,False,False,True,1,0.58,-0.18,3.74,False,0.67,True,1.0,False,False,76.27,90.45,42,2.0,5.83,9.34,Trend Up | Uyum Z67%/M100% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
GE,173.87,0,True,True,6.039883,False,2025-09-15 04:00,False,False,True,1,1.11,-0.35,5.28,True,1.0,True,0.67,False,False,161.79,198.03,16,2.0,6.95,9.34,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
