symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,strength,why,reason
BETR,59.81,0,True,True,1.365946,False,2025-10-01 15:30,False,False,True,True,2,0.21,2.35,6.58,True,1.0,True,0.5,False,False,57.08,65.27,73,2.0,4.57,11.0,60,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
QQQ,601.16,1,True,True,1.16142,False,2025-10-01 15:30,True,True,False,False,1,3.6,0.08,0.36,True,1.0,True,0.67,True,False,598.84,605.81,86,2.0,0.39,10.64,58,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
TNGX,8.19,2,True,True,0.096063,False,2025-10-01 15:30,False,False,False,True,1,0.42,0.12,4.58,False,0.67,True,0.5,False,False,8.0,8.57,1040,2.0,2.35,10.34,57,Trend Up | Uyum Z67%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
MARA,18.845,0,True,True,0.252192,False,2025-10-01 15:30,True,False,False,True,1,0.14,0.26,3.4,True,1.0,True,0.83,False,False,18.34,19.85,396,2.0,2.68,9.66,53,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
LCID,24.2401,0,True,True,0.217127,False,2025-10-01 15:30,False,False,False,True,1,0.16,-0.13,3.48,True,1.0,True,0.83,False,False,23.81,25.11,460,2.0,1.79,9.66,53,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
RIOT,19.05,0,True,True,0.224406,False,2025-10-01 15:30,True,False,False,True,1,0.18,-0.13,4.62,True,1.0,True,0.67,False,False,18.6,19.95,445,2.0,2.36,9.34,51,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
PFE,26.9951,0,True,True,0.211213,False,2025-10-01 15:30,True,False,False,True,1,0.36,1.49,3.35,True,1.0,True,0.67,False,False,26.57,27.84,473,2.0,1.56,9.34,51,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
EQT,56.995,0,True,True,0.381681,False,2025-10-01 15:30,True,False,False,True,1,0.27,0.64,3.12,True,1.0,True,0.67,False,False,56.23,58.52,261,2.0,1.34,9.34,51,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
INTC,34.505,0,True,True,0.273506,False,2025-10-01 15:30,True,False,False,True,1,0.29,0.98,4.74,True,1.0,True,0.5,False,False,33.96,35.6,365,2.0,1.59,9.0,49,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
AMD,162.345,0,True,True,0.940012,False,2025-10-01 15:30,True,False,False,False,0,0.16,0.03,0.61,True,1.0,True,1.0,False,False,160.46,166.11,106,2.0,1.16,8.0,44,Trend Up | Uyum Z100%/M100% | Filtre 0/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
