symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
CVS,285.955,0,True,True,2.540872,False,2025-09-15 13:30,False,True,True,2,0.91,6.89,23.95,False,0.67,True,0.5,False,False,280.87,296.12,39,2.0,1.78,10.34,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Hacim,Uyum | R/R 2.0"
MS,240.8,0,True,True,5.420656,False,2025-09-12 04:00,False,False,True,1,0.2,-0.05,3.29,True,1.0,True,0.83,False,False,229.96,262.48,18,2.0,4.5,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
ORCL,199.595,0,True,True,0.720136,False,2025-09-15 17:30,False,False,True,1,0.02,-1.01,7.79,True,1.0,True,0.67,False,False,198.15,202.48,138,2.0,0.72,9.34,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
BLK,641.53,0,True,True,14.061659,False,2025-09-15 04:00,False,False,True,1,0.06,-0.06,3.05,True,1.0,True,0.67,False,False,613.41,697.78,7,2.0,4.38,9.34,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
INTC,147.37,0,True,True,1.369438,False,2025-09-15 13:30,False,False,True,1,0.23,-0.78,6.36,False,0.67,True,0.83,False,False,144.63,152.85,73,2.0,1.86,9.0,Trend Up | Uyum Z67%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
BMY,159.9129,0,True,True,3.522145,False,2025-09-15 17:30,False,False,True,1,0.87,0.46,10.27,True,1.0,True,0.5,False,False,152.87,174.0,28,2.0,4.41,9.0,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
ROST,91.175,0,True,True,0.162043,False,2025-09-15 17:30,False,False,True,1,0.03,-0.16,4.63,True,1.0,True,0.5,False,False,90.85,91.82,617,2.0,0.36,9.0,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
TJX,91.175,0,True,True,0.162043,False,2025-09-15 17:30,False,False,True,1,0.03,-0.16,4.63,True,1.0,True,0.5,False,False,90.85,91.82,617,2.0,0.36,9.0,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
RIVN,177.4166,0,True,True,1.315643,False,2025-09-15 17:30,False,False,True,1,0.02,-1.01,7.79,False,0.67,True,0.67,False,False,174.79,182.68,76,2.0,1.48,8.68,Trend Up | Uyum Z67%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
MSTR,177.4166,0,True,True,1.315643,False,2025-09-15 13:30,False,False,True,1,0.19,-0.5,7.97,False,0.67,True,0.67,False,False,174.79,182.68,76,2.0,1.48,8.68,Trend Up | Uyum Z67%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
