symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
TSLA,418.0748,0,True,True,3.403997,False,2025-09-16 15:45,True,True,True,3,1.71,17.9,8.13,True,1.0,True,0.83,False,False,411.27,431.69,29,2.0,1.63,13.66,Trend Up | Uyum Z100%/M83% | Filtre 3/3,Bekleyin: Eksik Onay bekleyin | R/R 2.0
AAPL,238.945,0,True,True,0.8452,False,2025-09-16 15:45,False,True,True,2,0.76,4.37,3.19,True,1.0,True,1.0,True,False,237.25,242.33,118,2.0,0.71,12.3,Trend Up | Uyum Z100%/M100% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
SOFI,26.8843,1,True,True,0.201216,False,2025-09-16 15:45,False,True,True,2,1.11,8.42,34.69,True,1.0,True,0.5,False,False,26.48,27.69,496,2.0,1.5,12.0,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
VALE,10.8718,1,True,True,0.03404,False,2025-09-16 15:45,False,True,True,2,0.74,2.27,4.56,True,1.0,True,0.5,False,False,10.8,11.01,2937,2.0,0.63,12.0,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
SPY,659.5255,1,True,True,0.598572,False,2025-09-16 15:45,False,True,True,2,0.89,1.33,6.17,True,1.0,False,0.33,True,False,658.33,661.92,167,2.0,0.18,11.96,Trend Up | Uyum Z100%/M33% | Filtre 2/3,"Bekleyin: Eksik Hacim,Mom.Uyum | R/R 2.0"
XLC,118.04,1,True,True,0.204468,False,2025-09-16 15:45,False,True,True,2,0.98,3.82,8.16,True,1.0,False,0.33,False,False,117.63,118.86,489,2.0,0.35,11.66,Trend Up | Uyum Z100%/M33% | Filtre 2/3,"Bekleyin: Eksik Hacim,Mom.Uyum | R/R 2.0"
XLY,241.65,0,True,True,0.509379,False,2025-09-16 15:45,False,True,True,2,0.8,3.36,6.15,True,1.0,True,0.83,False,False,240.63,243.69,196,2.0,0.42,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
RIO,63.5,0,True,True,0.156468,False,2025-09-16 15:45,False,True,True,2,0.66,1.54,2.55,True,1.0,True,0.83,False,False,63.19,64.13,639,2.0,0.49,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
RTX,158.64,0,True,True,0.576323,False,2025-09-16 15:45,False,True,True,2,0.97,2.17,11.73,True,1.0,True,0.83,False,False,157.49,160.95,173,2.0,0.73,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
TNGX,7.275,0,True,True,0.119016,False,2025-09-16 15:45,False,True,True,2,1.04,6.36,27.49,True,1.0,True,0.83,False,False,7.04,7.75,840,2.0,3.27,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
