symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
INTU,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.67,False,False,1164.29,1277.43,5,2.0,3.14,11.34,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
TEAM,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.67,False,False,1164.29,1277.43,5,2.0,3.14,11.34,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
ZS,364.3,0,True,True,9.368596,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.5,False,False,345.56,401.77,10,2.0,5.14,11.0,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
RIO,137.26,0,True,True,3.463268,False,2025-09-15 13:30,False,True,True,2,0.91,3.33,35.21,True,1.0,False,0.33,False,False,130.33,151.11,28,2.0,5.05,10.66,Trend Up | Uyum Z100%/M33% | Filtre 2/3,"Bekleyin: Eksik Hacim,Mom.Uyum | R/R 2.0"
LMT,173.86,0,True,True,3.543535,False,2025-09-15 13:30,False,True,True,2,0.85,3.7,13.89,False,0.67,True,0.5,False,False,166.77,188.03,28,2.0,4.08,10.34,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Hacim,Uyum | R/R 2.0"
ETN,90.91,0,True,True,3.038534,False,2025-09-15 00:00,True,False,False,1,1.87,1.94,0.64,True,1.0,True,1.0,False,False,84.83,103.06,32,2.0,6.68,10.0,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
CSCO,138.65,0,True,True,4.425755,False,2025-09-15 00:00,True,False,False,1,1.87,1.94,0.64,True,1.0,True,1.0,False,False,129.8,156.35,22,2.0,6.38,10.0,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
RIOT,764.7,0,True,True,15.793042,False,2025-09-15 04:00,False,False,True,1,0.93,-3.64,12.53,True,1.0,True,0.83,False,False,733.11,827.87,6,2.0,4.13,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
GS,81.0,0,True,True,2.362502,False,2025-09-15 00:00,False,False,True,1,0.81,0.48,6.26,True,1.0,True,0.83,False,False,76.27,90.45,42,2.0,5.83,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
ISRG,81.0,0,True,True,2.362502,False,2025-09-15 00:00,False,False,True,1,0.58,-0.18,3.74,True,1.0,True,0.83,False,False,76.27,90.45,42,2.0,5.83,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
