symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
TNGX,7.365,0,True,True,0.088845,False,2025-09-16 19:15,True,True,True,3,1.51,7.68,27.53,True,1.0,True,0.67,False,False,7.19,7.72,1125,2.0,2.41,13.34,Trend Up | Uyum Z100%/M67% | Filtre 3/3,Bekleyin: Eksik Onay bekleyin | R/R 2.0
TSLA,420.31,0,True,True,2.225509,False,2025-09-16 19:15,True,True,True,3,1.71,17.9,8.13,True,1.0,True,0.5,False,False,415.86,429.21,44,2.0,1.06,13.0,Trend Up | Uyum Z100%/M50% | Filtre 3/3,Bekleyin: Eksik Onay bekleyin | R/R 2.0
MSFT,510.51,2,True,True,0.94368,False,2025-09-16 19:15,False,True,True,2,0.88,3.0,9.13,False,0.67,True,0.5,True,False,508.62,514.28,105,2.0,0.37,12.64,Trend Up | Uyum Z67%/M50% | Filtre 2/3,"Bekleyin: Eksik Hacim,Uyum | R/R 2.0"
ETN,371.2,1,True,True,1.087466,False,2025-09-16 19:15,False,True,True,2,0.68,3.09,6.22,True,1.0,True,0.5,False,False,369.03,375.55,91,2.0,0.59,12.0,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
PLTR,170.555,0,True,True,0.58724,False,2025-09-16 19:15,False,True,True,2,0.78,2.68,32.75,True,1.0,True,0.83,False,False,169.38,172.9,170,2.0,0.69,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
SOFI,27.385,0,True,True,0.149226,False,2025-09-16 19:15,False,True,True,2,1.11,8.42,34.69,True,1.0,True,0.83,False,False,27.09,27.98,670,2.0,1.09,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
XLY,242.18,0,True,True,0.325164,False,2025-09-16 19:15,False,True,True,2,0.41,2.01,6.28,True,1.0,True,0.83,False,False,241.53,243.48,307,2.0,0.27,11.66,Trend Up | Uyum Z100%/M83% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
AAPL,239.255,0,True,True,0.578836,False,2025-09-16 19:15,False,True,True,2,0.76,4.37,3.19,True,1.0,True,0.67,True,False,238.1,241.57,172,2.0,0.48,11.64,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
EEM,53.045,1,True,True,0.044783,False,2025-09-16 19:15,False,True,True,2,0.9,2.13,7.48,True,1.0,False,0.17,False,False,52.96,53.22,2232,2.0,0.17,11.34,Trend Up | Uyum Z100%/M17% | Filtre 2/3,"Bekleyin: Eksik Hacim,Mom.Uyum | R/R 2.0"
META,775.44,0,True,True,2.236828,False,2025-09-16 19:15,False,True,True,2,0.77,3.27,11.28,True,1.0,True,0.67,False,False,770.97,784.39,44,2.0,0.58,11.34,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Hacim | R/R 2.0
