symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,strength,why,reason
ORCL,314.05,1,True,True,2.082879,False,2025-09-23 19:45,True,True,False,True,2,2.55,0.64,3.44,True,1.0,True,0.67,False,False,309.88,322.38,48,2.0,1.33,12.34,67,Trend Up | Uyum Z100%/M67% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
ASML,963.18,1,True,True,3.165565,False,2025-09-23 19:45,False,True,False,True,2,2.0,0.42,5.34,True,1.0,True,0.5,False,False,956.85,975.84,31,2.0,0.66,12.0,66,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
TSM,282.8,1,True,True,1.130884,False,2025-09-23 19:45,True,True,False,True,2,2.52,0.17,3.84,True,1.0,True,0.5,False,False,280.54,287.32,88,2.0,0.8,12.0,66,Trend Up | Uyum Z100%/M50% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
CAT,471.36,1,True,True,1.896541,False,2025-09-23 19:45,False,True,False,True,2,3.22,0.09,3.21,True,1.0,False,0.33,False,False,467.57,478.95,52,2.0,0.8,11.66,64,Trend Up | Uyum Z100%/M33% | Filtre 2/3,"Bekleyin: Eksik Momentum,Mom.Uyum | R/R 2.0"
XLI,153.04,2,True,True,0.254352,False,2025-09-23 19:45,True,True,False,False,1,3.17,0.16,0.32,True,1.0,True,0.67,False,False,152.53,154.06,393,2.0,0.33,11.34,62,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
MU,166.461,1,True,True,0.852359,False,2025-09-23 19:45,True,True,False,True,2,1.92,-0.14,3.83,True,1.0,False,0.17,False,False,164.76,169.87,117,2.0,1.02,11.34,62,Trend Up | Uyum Z100%/M17% | Filtre 2/3,"Bekleyin: Eksik Momentum,Mom.Uyum | R/R 2.0"
CRWD,484.22,1,True,True,2.045129,False,2025-09-23 19:45,False,True,False,True,2,1.62,-0.12,3.31,False,0.67,False,0.33,False,False,480.13,492.4,48,2.0,0.84,11.0,60,Trend Up | Uyum Z67%/M33% | Filtre 2/3,"Bekleyin: Eksik Momentum,Uyum | R/R 2.0"
JPM,312.75,2,True,True,0.74775,False,2025-09-23 19:45,False,True,False,False,1,3.22,0.36,0.81,True,1.0,False,0.33,False,False,311.25,315.74,133,2.0,0.48,10.66,58,Trend Up | Uyum Z100%/M33% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
XLK,280.18,2,True,True,0.464569,False,2025-09-23 19:45,True,True,False,False,1,2.37,0.17,1.53,True,1.0,False,0.33,False,False,279.25,282.04,215,2.0,0.33,10.66,58,Trend Up | Uyum Z100%/M33% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
INTC,29.35,2,True,True,0.196948,False,2025-09-23 19:45,True,False,False,True,1,1.11,-0.17,5.33,True,1.0,False,0.33,False,False,28.96,30.14,507,2.0,1.34,10.66,58,Trend Up | Uyum Z100%/M33% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
