date,equity,open_positions
2025-11-20,99990.0055881729,1
2025-11-21,99648.02015238188,2
2025-11-24,100348.6952642984,2
2025-11-25,100916.59470887847,2
2025-11-26,101282.45283265777,2
2025-11-28,101524.66837722679,3
2025-12-01,100322.22906143089,3
2025-12-02,101311.23633605857,3
2025-12-03,101561.51435806174,4
2025-12-04,99775.56982097068,3
2025-12-05,100672.74785670676,3
2025-12-08,100395.46707972922,3
2025-12-09,100867.2702604238,3
2025-12-10,101413.39901614585,4
2025-12-11,100242.97402543464,5
2025-12-12,97401.26345743537,4
2025-12-15,97052.29040775032,3
2025-12-16,96759.54017123909,3
2025-12-17,96148.97859888802,2
2025-12-18,96403.49761133919,2
2025-12-19,96567.89885645638,2
2025-12-22,96629.0585549427,2
2025-12-23,96783.56327950326,1
2025-12-24,96769.78276192513,1
2025-12-26,96739.04347359505,1
2025-12-29,96741.6928266224,1
2025-12-30,96757.06327950326,1
2025-12-31,96712.01295601693,1
2026-01-02,96811.5853925728,3
2026-01-05,97066.1343226265,4
2026-01-06,97452.64869308702,5
2026-01-07,98306.85032268419,5
2026-01-08,98025.30189792832,4
2026-01-09,99448.94221272325,4
2026-01-12,99456.89055774889,5
2026-01-13,100554.71666086413,5
2026-01-14,100646.37681711413,5
2026-01-15,100944.64599741198,5
2026-01-16,100658.82031264636,5
2026-01-20,100136.54090133045,5
2026-01-21,101085.20256586414,5
2026-01-22,101098.5025536571,5
2026-01-23,100625.34116144519,5
2026-01-26,101009.78239984851,5
2026-01-27,101109.48109979968,5
2026-01-28,101209.76132746082,5
2026-01-29,101393.06178827625,5
2026-01-30,101332.76128168445,5
2026-02-02,101978.01942968249,4
2026-02-03,101936.85575095752,5
2026-02-04,101808.55408807666,5
2026-02-05,101595.62559420458,4
2026-02-06,101762.5145985924,4
2026-02-09,101645.26514790881,4
2026-02-10,101181.58411763537,4
2026-02-11,101307.72487233508,4
2026-02-12,101146.99502156604,4
2026-02-13,100944.78531239856,4
